.,Spanish
EventRockBonusEvade.text,"<i>Una fuerza invisible se agita desde el objeto, despejando la zona ante ti.</i>\n\nEl investigador con el Marcador de Interacción no necesita realizar pruebas de evasión esta ronda."
EventRockBonusClue.text,"<i>El conocimiento inunda tu mente, mas allá incluso que tu entendimiento.</i>\n\nEl investigador con el Marcador de Interacción gana 2 pistas."
EventRockBonusHeal.text,<i>La energía del objeto baña todo tu cuerpo y te sientes renovado.</i>\n\nEl Investigador con el Marcador de Interacción descarta 2 Heridas.
EventFailSpell.text,<i>Tu mente esta enfocada en los símbolos que no paran de moverse en la página. Parpadeas y cuando vuelves a mirar los símbolos ya no están ahi.</i>
EventRockMythos1.text,"Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como el extraño poder del objeto invade tu cuerpo y lucha por controlarte ({will}; 2).  Si fallas tus músculos se niegan a obedecerte, recibes 1 horror y quedas Retrasado."
EventRockMythos2.text,"Este evento afecta al investigador con el Marcador de Interacción.\n\nRecitas todas las oraciones que conoces, con la esperanza de que alguna de ellas te ayude a defenderte de la presencia omnipotente del exótico objeto ({lore}; 2). Si la superas, mantienes el control de tus acciones. Si fallas te distraes pensando en viejos manuscritos y pierdes la concentración en tu tarea, recibe 1 Horror y el estado Aturdido."
EventRockMythos3.text,"Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como  si el objeto intentara comunicarse contigo ({influence}; 2).  Si la superas le envias un mensaje de fortaleza y determinación. Si fallas te llenas de deseos y pensamientos contradictorios, recibe 1 Horror y el estado Aturdido."
EventRockMythos4.text,"Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como si caminaras contra un viento huracanado, sin embargo todo parece calmado ({strength}; 2).  Si fallas eres zarandeado por una fuerza silenciosa, recibes 2 Heridas."
EventRockMythos5.text,"Este evento afecta al investigador con el Marcador de Interacción.\n\nEl objeto comba tu percepción del espacio y luchas por calcular dónde esta el suelo ({agility}; 2).  Si lo superas tu cuerpo mantiene la compostura.  Si fallas caes al suelo con fuerza, recibes 1 Herida y quedas Aturdido."
EventTakeRock.text,El espacio alrededor del objeto está deformado y te esfuerzas en tocar el objeto ({observation}; 2).
EventFailRock.text,"Tu mente se acelera por descrifrar contra qué está apoyado el objeto.  En tu confusión resbalas con un adoquín, recibes 1 Herida y 1 Horror."
SpawnAttackSquareRiot.text,<i>El grupo recupera la vitalidad.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
TokenRock.text,"<i>Parece ser una roca oscura, aunque , por alguna extraña razón, es dificil verla con claridad.</i>\n\nUn investigador en su mismo espacio puede intentar recoger la roca."
TokenRock.button1,{action} Recoger
SpawnAttackShopCultist.text,<i>Tus acciones han interrumpido el trance.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
EventSquareRiot.text,"<i>Después de ponerse el sol, se empieza a escuchar a traves de las calles una melodía propia de otro mundo.  Los lugareños que se encuentran en la calle se quedan paralizados, embrujados por los estraños sonidos.</i>\n\nColoca al monstruo {ffg:MONSTER_RIOT} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo."
EventAddShopExplore.text,<i>Esta pequeña tienda aún tiene las luces encendidas.</i>\n\nColoca una ficha de Exploración en el lugar señalado.
EventAddSearchSquare.text,<i>El viento ha atraido hasta esta esquina un pequeño monton de basura.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.
EventPlaceInvestigators.text,Coloca a los investigadores en el espacio indicado.
EventAddShopCultist.text,<i>El tendero ignora que has entrado y se mantiene inmóvil con la mirada perdida..</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.
EventAddStreetExplore.text,<i>Esta es la puerta trasera de la tienda</i>\n\nColoca una ficha de Exploración en el lugar señalado.
EventAddStreet.text,Coloca los módulos {ffg:TILE_STREET_CORNER_1_MAD20} y {ffg:TILE_WAREHOUSE_MAD20} en los lugares señalados.
EventAddStreetCultist.text,"<i>Un lugareño permanece inmóvil, ignorando el frío.</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo."
EventAddWarehouseExplore.text,<i>La puerta lleva a un almacén. La música parece venir del otro lado de este edificio.</i>\n\nColoca una ficha de Exploración en el lugar señalado.
EventAddWarehouseCultist.text,<i>Una mujer permanece inmóvil en la esquina del almacén</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.
EventAddBasementExplore.text,<i>La puerta conduce a un sótano.</i>\n\nColoca una ficha de Exploración en el lugar señalado.
EventAddBasement.text,Coloca el módulo {ffg:TILE_BASEMENT_MAD20} en el lugar señalado.
EventAddBasementCultist.text,<i>Una figura permanece inmóvil.</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.
EventAddCellarExplore.text,<i>La extraña música proviene de esta dirección.</i>\n\nColoca una ficha de Exploración en el lugar señalado.
EventAddCellar.text,Coloca el módulo {ffg:TILE_ROOT_CELLAR_MAD20} en el lugar señalado.
EventAddPondExplore.text,"<i>La puerta lleva de nuevo a la superficie, ahora el sonido está muy cerca.</i>\n\nColoca una ficha de Exploración en el lugar señalado."
EventAddPond.text,<i>El tablón deteriorado que bloqueaba la puerta se rompe en mil pedazos y la puerta se abre de golpe.</i>\n\nColoca los módulos {ffg:TILE_PARK_POND_MAD20} y {ffg:TILE_YARD_2_MAD20} en los lugares señalados.
EventAddPondRiot.text,<i>Un grupo de vecinos permanecen paralizados por el extraño objeto</i>\n\nColoca al monstruo {ffg:MONSTER_RIOT} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo.
EventAddPriest.text,"<i>Un sacerdote está ejecutando algún tipo de ritual, sin embargo no parece controlar sus acciones.</i>\n\nColoca al monstruo {ffg:UNIQUE_MONSTER_PRIEST_OF_DAGON} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo."
EventAddRock.text,"<i>Hay un objeto flotando encima del estanque.  Parece ser una roca oscura, aunque, por alguna extraña razón, es dificil verla con claridad.</i>\n\nColoca una ficha de Interacción en el lugar señalado."
EventAwake.text,"<i>Los vecinos despiertan todos a la vez, su trance se interrumpe.</i>\n\nA partir de ahora todos los monstruos requieren pruebas de evasión y de horror."
EventAddEscape.text,Coloca una ficha de Interacción en el lugar señalado.  Los investigadores deben llevar el objeto hasta esta casilla para escapar del pueblo.
EventEndEscape.text,<i>Mientras te alejas de Rowley luchas constantemente contra el poder del extraño objeto y contra la tormentosa melodía que ahora parece provenir de vuestras propias cabezas.  Rápidamente asumes que sería demasiado peligroso permitir que alguien posea este objeto y conduces el vehículo hasta lo mas profundo del bosque.\n\nEncuentras una zona propicia para enterrarlo con la esperanza de que permanezca escondido por el bien de la humanidad.</i>
EventEndEliminated.text,<i>Los supervivientes huyen despavoridos.  Sea lo que sea que calló de los cielos esta por encima del conocimiento humano y es mejor mantenerse lo mas alejado posible de él.</i>
TokenStreetCultist.text,"<i>Un lugareño permanece inmóvil, ignorando el frío.</i>"
TokenPondPriest.text,<i>Un sacerdote está ejecutando algún tipo de ritual.</i>
TokenWarehouseCultist.text,<i>Una mujer permanece inmóvil en la esquina del almacén</i>
TokenBasementCultist.text,<i>Una figura permanece inmóvil.</i>
TokenSearchStreet.text,<i>Varios objetos se amontonan en las esquinas de este oscuro callejón.</i>
TokenExit.text,¿Está el investigador con el Marcador de Interacción en esta casilla?
TokenExit.button1,Escapar
TokenPondRiot.text,<i>Los vecinos están totalmente paralizados.</i>
TokenExploreShop.text,<i>Esta pequeña tienda aún tiene las luces encendidas.</i>
TokenExploreStreet.text,<i>Esta es la puerta trasera de la tienda</i>
TokenExploreBasement.text,<i>La puerta conduce a un sótano.</i>
TokenExploreCellar.text,<i>La extraña música proviene de esta dirección.</i>
TokenShopCultist.text,<i>El tendero se mantiene inmóvil con la mirada perdida..</i>
TokenSquareRiot.text,<i>Los vecinos te ignoran.</i>
SpawnAttackPriest.text,<i>El sacerdote despierta.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
SpawnAttackPondRiot.text,<i>El grupo se pone a gritar tras ser interrumpido.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
SpawnAttackBasementCultist.text,<i>Tus acciones han interrumpido el trance.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
SpawnAttackWarehouseCultist.text,<i>La mujer reacciona a tu ataque.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
SpawnAttackStreetCultist.text,<i>El lugareño tiembla bruscamente y vuelve a la vida.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.
