.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
TokenExploreWarehouse.text,<i>This door leads into a warehouse and has a coded padlock on the door.  The music appears to be coming from the other side of this building.</i>,<i>La puerta lleva a un almacén pero tiene un candado de combinación. La música parece venir del otro lado de este edificio.</i>,,,,,,,,
TokenExploreWarehouse.button1,{action} Unlock,{action} Abrir,,,,,,,,
EXPLORE,{action} Explore,{action} Explorar,,,,,,,,
EventJammedDoor.text,<i>The door appears to be jammed.</i>\n\nTest {strength}.,<i>La puerta parece atascada ({strength}).</i>,,,,,,,,
EventJammedDoor.button1,{qst:CONTINUE},,,,,,,,,
EventJammedDoor.button2,Hidden,Oculto,,,,,,,,
EventJammedDoorFail.text,<i>The door refuses to budge.</i>,<i>La puerta no se mueve.</i>,,,,,,,,
EventJammedDoorFail.button1,{qst:CONTINUE},,,,,,,,,
TokenExplorePond.text,"<i>This door leads back up to ground level, the sound is very close now.</i>","<i>La puerta lleva de nuevo a la superficie, ahora el sonido está muy cerca.</i>",,,,,,,,
TokenExplorePond.button1,{qst:EXPLORE},,,,,,,,,
EventRockBonus.button1,Hidden,Oculto,,,,,,,,
TokenSearchYard.text,<i>The light from a nearby lamp reflects off something in this bush.</i>,<i>Algo en los arbustos refleja la luz de una lámpara cercana.</i>,,,,,,,,
TokenSearchSquare.text,<i>The wind has blown a small pile of rubbish into this corner.</i>,<i>El viento ha atraido hasta esta esquina un pequeño monton de basura.</i>,,,,,,,,
TokenSearchShop.text,<i>The shop keeper wouldn't mind if you look around...</i>,<i>Al tendero no le importará si echas un vistazo...</i>,,,,,,,,
TokenSearchWarehouse.text,<i>This crate may contain something usefull.</i>,<i>Este contenedor puede que contenga algo útil.</i>,,,,,,,,
TokenSearchBasement.text,<i>A box on the floor has been opened.</i>,<i>Hay una caja abierta en el suelo.</i>,,,,,,,,
TokenSearchCellar.text,<i>Various items fill this shelf.</i>,<i>Varios objetos ocupan la estantería.</i>,,,,,,,,
EventStart.text,"A collector of rare metals tracked a meteorite which fell near the town of Rowley.\n\nOn visiting the town she found the locals to be very unhelpful and slightly disturbing, and has tasked you with finding and retreiving the meteorite.\n\nYou arrive at Rowley in the morning and spend the entire day questioning the locals with no progress being made.","Una coleccionista de metales extraños siguió el rastro de un meteorito caido cerca de la aldea de Rowley.\n\nTras una visita donde los lugareños se negaron a colaborar y se comportaban de forma inquietante, decidió encargaros a vosotros la tarea de encontrar y recuperar el meteorito.\n\nLlegais a Rowley por la mañana y dedicais el dia entero a preguntar a los lugareños. Aunque no conseguís ninguna información al respecto.",,,,,,,,
EventRock.text,<i>You grab the object which appears to have no weight.</i>\n\nPlace the Interact Token on their investigators sheet.  The investigator may spend an Action ({action}) to give the token to another investigator in their space.,<i>Coges el objeto. Es ligero como una pluma.</i>\n\nColoca una ficha de Interacción en la ficha del investigador. El investigador puede gastar una Accion ({action}) para darle el marcador a otro investigador en su espacio.,,,,,,,,
EventRockPool.button1,Hidden,Oculto,,,,,,,,
EventGetItem.button1,Hidden,Oculto,,,,,,,,
EventRockBonusFocus.button1,{qst:CONTINUE},,,,,,,,,
EventRockBonusFocus.text,<i>You gain a clarity of purpose never before experienced.</i>\n\nThe invesitgator with the Interact Token on their sheet becomes Focused.,<i>Tus objetivos son ahora mas claros de lo que nunca antes habias experimentado.</i>\n\nEl investigador con el Marcador de Interacción adquiere el estado Concentrado.,,,,,,,,
EventRockBonusEvade.button1,{qst:CONTINUE},,,,,,,,,
EventRockBonusEvade.text,"<i>An unseen force lashes out from the object, clearing the path ahead.</i>\n\nThe invesitgator with the Interact Token on their sheet does not need to perform Evade checks this round.","<i>Una fuerza invisible se agita desde el objeto, despejando la zona ante ti.</i>\n\nEl investigador con el Marcador de Interacción no necesita realizar pruebas de evasión esta ronda.",,,,,,,,
EventRockBonusClue.button1,{qst:CONTINUE},,,,,,,,,
EventRockBonusClue.text,"<i>Knowledge fills your head, much of it beyond your comprehension.</i>\n\nThe invesitgator with the Interact Token on their sheet gains 2 clues.","<i>El conocimiento inunda tu mente, mas allá incluso que tu entendimiento.</i>\n\nEl investigador con el Marcador de Interacción gana 2 pistas.",,,,,,,,
EventRockBonusHeal.button1,{qst:CONTINUE},,,,,,,,,
EventRockBonusHeal.text,<i>Energy from the object washes over you and you feel renewed.</i>\n\nThe invesitgator with the Interact Token on their sheet discards 2 Damage.,<i>La energía del objeto baña todo tu cuerpo y te sientes renovado.</i>\n\nEl Investigador con el Marcador de Interacción descarta 2 Heridas.,,,,,,,,
EventGetItem1.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem1.text,Take Common Item: .38 Revolver.,Obtienes el Objeto Común: {ffg:COMMON_ITEM_38_REVOLVER}.,,,,,,,,
EventGetItem2.text,"Take Common Item: Bandages, Gain 2 clues.",Obtienes el Objeto Común: {ffg:COMMON_ITEM_BANDAGES}.,,,,,,,,
EventGetItem2.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem3.text,"Take Common Item: Candles, Gain 1 clue.","Obtienes el Objeto Común: {ffg:COMMON_ITEM_CANDLES}, Obtienes 1 pista.",,,,,,,,
EventGetItem3.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem4.text,Take Common Item: Dynamite.,Obtienes el Objeto Común: {ffg:COMMON_ITEM_DYNAMITE},,,,,,,,
EventGetItem4.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem5.text,Take Common Item: King James Bible and become Focused.,Obtienes el Objeto Común:{ffg:COMMON_ITEM_KING_JAMES_BIBLE} y Obtienes el estado Concentrado.,,,,,,,,
EventGetItem5.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem6.text,"Take Common Item: Shovel, Gain 1 clue.","Obtienes el Objeto Común: {ffg:COMMON_ITEM_SHOVEL}, Obtienes 1 Pista.",,,,,,,,
EventGetItem6.button1,{qst:CONTINUE},,,,,,,,,
EventGetItem7.text,<i>You come across an old tome.</i>\n\nTest {lore}.,<i>Encuentras un viejo libro.</i> Lo examinas ({lore}).,,,,,,,,
EventGetItem7.button1,Pass,Conseguido,,,,,,,,
EventGetItem7.button2,Fail,Fallo,,,,,,,,
EventGetSpell.text,Receive Spell: Instill Bravery.,Recibes el Hechizo: {ffg:SPELL_INSTILL_BRAVERY}.,,,,,,,,
EventGetSpell.button1,{qst:CONTINUE},,,,,,,,,
EventFailSpell.text,<i>Your mind is lost in the symbols that will not stay still on the page.  You break your gaze and when you look back the symbols are gone.</i>,<i>Tu mente esta enfocada en los símbolos que no paran de moverse en la página. Parpadeas y cuando vuelves a mirar los símbolos ya no están ahi.</i>,,,,,,,,
EventFailSpell.button1,{qst:CONTINUE},,,,,,,,,
EventRockMythos1.text,"This event affects the investigator with the Interact Token on their sheet.\n\nYou feel the object's strange power drifting over you and fight to retain control ({will}; 2).  If you fail your muscles refuse to follow your commands, you take 1 horror and become Restrained.","Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como el extraño poder del objeto invade tu cuerpo y lucha por controlarte ({will}; 2).  Si fallas tus músculos se niegan a obedecerte, recibes 1 horror y quedas Retrasado.",,,,,,,,
EventRockMythos1.button1,{qst:CONTINUE},,,,,,,,,
EventRockMythos2.text,"This event affects the investigator with the Interact Token on their sheet.\n\nYou rattle through every prayer you know, hoping one of them will help you fight off the overpowering presence of the unknown object ({lore}; 2). If you pass, you retain control of your actions.  If you fail you become distracted considering old texts and lose focus on the task at hand, take 1 Horror and become Dazed.","Este evento afecta al investigador con el Marcador de Interacción.\n\nRecitas todas las oraciones que conoces, con la esperanza de que alguna de ellas te ayude a defenderte de la presencia omnipotente del exótico objeto ({lore}; 2). Si la superas, mantienes el control de tus acciones. Si fallas te distraes pensando en viejos manuscritos y pierdes la concentración en tu tarea, recibe 1 Horror y el estado Aturdido.",,,,,,,,
EventRockMythos2.button1,{qst:CONTINUE},,,,,,,,,
EventRockMythos3.text,"This event affects the investigator with the Interact Token on their sheet.\n\nYou feel as if the object is attempting to communicate with you ({influence}; 2).  If you pass you send a clear message of strength and determination.  If you fail you are filled with conflicting thoughts and desires, take 1 Horror and become Dazed.","Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como  si el objeto intentara comunicarse contigo ({influence}; 2).  Si la superas le envias un mensaje de fortaleza y determinación. Si fallas te llenas de deseos y pensamientos contradictorios, recibe 1 Horror y el estado Aturdido.",,,,,,,,
EventRockMythos3.button1,{qst:CONTINUE},,,,,,,,,
EventRockMythos4.text,"This event affects the investigator with the Interact Token on their sheet.\n\nYou feel like your are trying to walk against a strong wind, though all appears still ({strength}; 2).  If you fail you are buffeted around by a silent force, take 2 Damage.","Este evento afecta al investigador con el Marcador de Interacción.\n\nSientes como si caminaras contra un viento huracanado, sin embargo todo parece calmado ({strength}; 2).  Si fallas eres zarandeado por una fuerza silenciosa, recibes 2 Heridas.",,,,,,,,
EventRockMythos4.button1,{qst:CONTINUE},,,,,,,,,
EventRockMythos5.text,"This event affects the investigator with the Interact Token on their sheet.\n\nThe object warps your perception of space and you struggle to determine where the floor is ({agility}; 2).  If you pass muscle memory takes over.  If you fail you fall heavily to the ground, take 1 Damage and become Stunned.","Este evento afecta al investigador con el Marcador de Interacción.\n\nEl objeto comba tu percepción del espacio y luchas por calcular dónde esta el suelo ({agility}; 2).  Si lo superas tu cuerpo mantiene la compostura.  Si fallas caes al suelo con fuerza, recibes 1 Herida y quedas Aturdido.",,,,,,,,
EventRockMythos5.button1,{qst:CONTINUE},,,,,,,,,
EventTakeRock.text,Space around the object is distorted and you struggle to touch the object ({observation}; 2).,El espacio alrededor del objeto está deformado y te esfuerzas en tocar el objeto ({observation}; 2).,,,,,,,,
EventTakeRock.button1,Pass,Conseguido,,,,,,,,
EventTakeRock.button2,Fail,Fallo,,,,,,,,
EventFailRock.text,"Your mind races attempting to decipher where the object lies in space.  In your confusion you slip over on the cobblestones, take 1 damage and 1 horror.","Tu mente se acelera por descrifrar contra qué está apoyado el objeto.  En tu confusión resbalas con un adoquín, recibes 1 Herida y 1 Horror.",,,,,,,,
EventFailRock.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackSquareRiot.text,<i>The group bursts into life.</i>\n\nInvestigators must now perform evade and horror checks as normal for this monster.  Use the monster panel to attack.,<i>El grupo recupera la vitalidad.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.,,,,,,,,
TokenRock.text,"<i>This appears to be a dark rock, though it is difficult to see clearly for some unknown reason.</i>\n\nAn investigator in this space may attempt to take the rock.","<i>Parece ser una roca oscura, aunque , por alguna extraña razón, es dificil verla con claridad.</i>\n\nUn investigador en su mismo espacio puede intentar recoger la roca.",,,,,,,,
TokenRock.button1,{action} Take,{action} Recoger,,,,,,,,
SpawnAttackSquareRiot.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackShopCultist.text,<i>The shop keeper suddenly reacts to your presence.</i>\n\nInvestigators must now perform evade and horror checks as normal for this monster.  Use the monster panel to attack.,<i>Tus acciones han interrumpido el trance.</i>\n\nA partir de ahora este monstruo requiere pruebas de evasión y de horror.  Utiliza el panel de monstruos para atacar.,,,,,,,,
SpawnAttackShopCultist.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackStreetCultist.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackWarehouseCultist.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackBasementCultist.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackPondRiot.button1,{qst:CONTINUE},,,,,,,,,
SpawnAttackPriest.button1,{qst:CONTINUE},,,,,,,,,
EventStart.button1,{qst:CONTINUE},,,,,,,,,
EventAddSquare.text,Add Town Square {MAD20} and Storefront {MAD20} tiles as shown.  Investigators gain 2 clues each.,Coloca los módulos {ffg:TILE_TOWN_SQUARE_MAD20} y {ffg:TILE_STOREFRONT_MAD20} en los lugares señalados. Cada investigador obtiene 2 pistas.,,,,,,,,
EventAddSquare.button1,{qst:CONTINUE},,,,,,,,,
EventSquareRiot.text,"<i>After night falls an otherworldly music can be heard drifting through the streets.  The locals who are still outdoors stop and stare, enchanted by the strange sounds.</i>\n\nPlace a Riot figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.","<i>Después de ponerse el sol, se empieza a escuchar a traves de las calles una melodía propia de otro mundo.  Los lugareños que se encuentran en la calle se quedan paralizados, embrujados por los estraños sonidos.</i>\n\nColoca al monstruo {ffg:MONSTER_RIOT} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo.",,,,,,,,
EventSquareRiot.button1,{qst:CONTINUE},,,,,,,,,
EventAddShopExplore.text,<i>The lights are on in this small shop.</i>\n\nPlace an Explore Token as shown.,<i>Esta pequeña tienda aún tiene las luces encendidas.</i>\n\nColoca una ficha de Exploración en el lugar señalado.,,,,,,,,
EventAddShopExplore.button1,{qst:CONTINUE},,,,,,,,,
EventAddSearchSquare.text,<i>The wind has blown a small pile of rubbish into this corner.</i>\n\nPlace a Search Token as shown.,<i>El viento ha atraido hasta esta esquina un pequeño monton de basura.</i>\n\nColoca una ficha de Búsqueda en el lugar señalado.,,,,,,,,
EventAddSearchSquare.button1,{qst:CONTINUE},,,,,,,,,
EventPlaceInvestigators.text,Place investigators in the indicated space.,Coloca a los investigadores en el espacio indicado.,,,,,,,,
EventPlaceInvestigators.button1,{qst:CONTINUE},,,,,,,,,
EventSearchSquare.text,Hidden,Oculto,,,,,,,,
EventSearchSquare.button1,{qst:CONTINUE},,,,,,,,,
EventAddShopCultist.text,<i>The shop keeper ignores your entrance and stares into space.</i>\n\nPlace a Cultist figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.,<i>El tendero ignora que has entrado y se mantiene inmóvil con la mirada perdida..</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.,,,,,,,,
EventAddShopCultist.button1,{qst:CONTINUE},,,,,,,,,
EventAddStreetExplore.text,<i>This door exits the rear of the shop</i>\n\nPlace an Explore Token as shown.,<i>Esta es la puerta trasera de la tienda</i>\n\nColoca una ficha de Exploración en el lugar señalado.,,,,,,,,
EventAddStreetExplore.button1,{qst:CONTINUE},,,,,,,,,
EventAddStreet.text,Add Street Corner 1 {MAD20} and Warehouse {MAD20} tiles as shown.,Coloca los módulos {ffg:TILE_STREET_CORNER_1_MAD20} y {ffg:TILE_WAREHOUSE_MAD20} en los lugares señalados.,,,,,,,,
EventAddStreet.button1,{qst:CONTINUE},,,,,,,,,
EventAddStreetWall.text,Place a wall token as shown.,Coloca una ficha de pared en el lugar señalado.,,,,,,,,
EventAddStreetWall.button1,{qst:CONTINUE},,,,,,,,,
EventAddStreetCultist.text,"<i>This local stands still, appearing oblivious to the cold.</i>\n\nPlace a Cultist figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.","<i>Un lugareño permanece inmóvil, ignorando el frío.</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.",,,,,,,,
EventAddStreetCultist.button1,{qst:CONTINUE},,,,,,,,,
EventAddWarehouseExplore.text,<i>This door leads into a warehouse.  The music appears to be coming from the other side of this building.</i>\n\nPlace an Explore Token as shown.,<i>La puerta lleva a un almacén. La música parece venir del otro lado de este edificio.</i>\n\nColoca una ficha de Exploración en el lugar señalado.,,,,,,,,
EventAddWarehouseExplore.button1,{qst:CONTINUE},,,,,,,,,
EventSearchStreet.text,Hidden,Oculto,,,,,,,,
EventSearchStreet.button1,{qst:CONTINUE},,,,,,,,,
EventAddWarehouseCultist.text,<i>A woman stands still in the corner of the warehouse</i>\n\nPlace a Cultist figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.,<i>Una mujer permanece inmóvil en la esquina del almacén</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.,,,,,,,,
EventAddWarehouseCultist.button1,{qst:CONTINUE},,,,,,,,,
EventAddBasementExplore.text,<i>This door leads down to a basement.</i>\n\nPlace an Explore Token as shown.,<i>La puerta conduce a un sótano.</i>\n\nColoca una ficha de Exploración en el lugar señalado.,,,,,,,,
EventAddBasementExplore.button1,{qst:CONTINUE},,,,,,,,,
EventSearchWarehouse.text,Hidden,Oculto,,,,,,,,
EventSearchWarehouse.button1,{qst:CONTINUE},,,,,,,,,
EventAddBasement.text,Add Basement {MAD20} tile as shown.,Coloca el módulo {ffg:TILE_BASEMENT_MAD20} en el lugar señalado.,,,,,,,,
EventAddBasement.button1,{qst:CONTINUE},,,,,,,,,
EventAddBasementCultist.text,<i>A figure stands idle.</i>\n\nPlace a Cultist figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.,<i>Una figura permanece inmóvil.</i>\n\nColoca un monstruo {ffg:MONSTER_CULTIST} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este montruo.,,,,,,,,
EventAddBasementCultist.button1,{qst:CONTINUE},,,,,,,,,
EventAddCellarExplore.text,<i>The strange music is coming from this direction.</i>\n\nPlace an Explore Token as shown.,<i>La extraña música proviene de esta dirección.</i>\n\nColoca una ficha de Exploración en el lugar señalado.,,,,,,,,
EventAddCellarExplore.button1,{qst:CONTINUE},,,,,,,,,
EventAddBasementWall.text,Place a wall token as shown.,Coloca una ficha de pared en el lugar señalado.,,,,,,,,
EventAddBasementWall.button1,{qst:CONTINUE},,,,,,,,,
EventSearchBasement.text,Hidden,Oculto,,,,,,,,
EventSearchBasement.button1,{qst:CONTINUE},,,,,,,,,
EventAddCellar.text,Add Root Cellar {MAD20} tile as shown.,Coloca el módulo {ffg:TILE_ROOT_CELLAR_MAD20} en el lugar señalado.,,,,,,,,
EventAddCellar.button1,{qst:CONTINUE},,,,,,,,,
EventAddPondExplore.text,"<i>This door leads back up to ground level, the sound is very close now.</i>\n\nPlace an Explore Token as shown.","<i>La puerta lleva de nuevo a la superficie, ahora el sonido está muy cerca.</i>\n\nColoca una ficha de Exploración en el lugar señalado.",,,,,,,,
EventAddPondExplore.button1,{qst:CONTINUE},,,,,,,,,
EventSearchCellar.text,Hidden,Oculto,,,,,,,,
EventSearchCellar.button1,{qst:CONTINUE},,,,,,,,,
EventAddPond.text,<i>A rotten plank barring the door snaps and the door flies open.</i>\n\nAdd Pond {MAD20} and Yard 2 {MAD20} tiles as shown.,<i>El tablón deteriorado que bloqueaba la puerta se rompe en mil pedazos y la puerta se abre de golpe.</i>\n\nColoca los módulos {ffg:TILE_PARK_POND_MAD20} y {ffg:TILE_YARD_2_MAD20} en los lugares señalados.,,,,,,,,
EventAddPond.button1,{qst:CONTINUE},,,,,,,,,
EventAddPondRiot.text,<i>A group of townsfolk stand transfixed by the strange object</i>\n\nPlace a riot figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.,<i>Un grupo de vecinos permanecen paralizados por el extraño objeto</i>\n\nColoca al monstruo {ffg:MONSTER_RIOT} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo.,,,,,,,,
EventAddPondRiot.button1,{qst:CONTINUE},,,,,,,,,
EventAddPriest.text,"<i>A priest is performing some form of ritual, though he does not appear to be in control of his own actions.</i>\n\nPlace a Priest of Dagon figure in the indicated space.  Investigators do not need to perform horror or evade checks for this monster.","<i>Un sacerdote está ejecutando algún tipo de ritual, sin embargo no parece controlar sus acciones.</i>\n\nColoca al monstruo {ffg:UNIQUE_MONSTER_PRIEST_OF_DAGON} en el espacio indicado.  Los investigadores no tienen que hacer pruebas de evasión ni de horror contra este monstruo.",,,,,,,,
EventAddPriest.button1,{qst:CONTINUE},,,,,,,,,
EventAddRock.text,"<i>There is a large object floating in space near the pond.  It appears to be a dark rock, though it is difficult to see clearly for some unknown reason.</i>\n\nPlace an Interact Token as shown.","<i>Hay un objeto flotando encima del estanque.  Parece ser una roca oscura, aunque, por alguna extraña razón, es dificil verla con claridad.</i>\n\nColoca una ficha de Interacción en el lugar señalado.",,,,,,,,
EventAddRock.button1,{qst:CONTINUE},,,,,,,,,
EventSearchYard.text,Hidden,Oculto,,,,,,,,
EventSearchYard.button1,{qst:CONTINUE},,,,,,,,,
EventRock.button1,{qst:CONTINUE},,,,,,,,,
EventAwakeSquareRiot.button1,Hidden,Oculto,,,,,,,,
EventAwakeShopCultist.button1,Hidden,Oculto,,,,,,,,
EventAwake.text,"<i>The townsfolk all stir at once, their trance interrupted.</i>\n\nPlace ID Tokens as required.  All monsters now require horror and evade checks.","<i>Los vecinos despiertan todos a la vez, su trance se interrumpe.</i>\n\nA partir de ahora todos los monstruos requieren pruebas de evasión y de horror.",,,,,,,,
EventAwake.button1,{qst:CONTINUE},,,,,,,,,
EventAwakeStreetCultist.button1,Hidden,Oculto,,,,,,,,
EventAwakeWarehouseCultist.button1,Hidden,Oculto,,,,,,,,
EventAwakeBasementCultist.button1,Hidden,Oculto,,,,,,,,
EventAwakePondRiot.button1,Hidden,Oculto,,,,,,,,
EventAwakePriest.button1,Hidden,Oculto,,,,,,,,
EventAddEscape.text,Place an Interact Token in the indicated space.  The investigators must take the object to this space to escape the town.,Coloca una ficha de Interacción en el lugar señalado.  Los investigadores deben llevar el objeto hasta esta casilla para escapar del pueblo.,,,,,,,,
EventAddEscape.button1,{qst:CONTINUE},,,,,,,,,
EventEndEscape.text,<i>As you leave Rowley you constantly struggle against the strange objects power and the odd music that now sounds as if it is coming from inside your own heads.  You quickly agree that it would be too dangerous to let anyone have this object and drive far into the woods.\n\nFinding a secluded spot you bury the object and hope that it remains hidden for the benifit of all.</i>,<i>Mientras te alejas de Rowley luchas constantemente contra el poder del extraño objeto y contra la tormentosa melodía que ahora parece provenir de vuestras propias cabezas.  Rápidamente asumes que sería demasiado peligroso permitir que alguien posea este objeto y conduces el vehículo hasta lo mas profundo del bosque.\n\nEncuentras una zona propicia para enterrarlo con la esperanza de que permanezca escondido por el bien de la humanidad.</i>,,,,,,,,
EventEndEscape.button1,The End,Fin,,,,,,,,
EventEndEliminated.text,<i>The remaining investigators flee in terror.  Whatever fell from the sky is clearly beyond their capabilities and is best left well alone.</i>,<i>Los supervivientes huyen despavoridos.  Sea lo que sea que calló de los cielos esta por encima del conocimiento humano y es mejor mantenerse lo mas alejado posible de él.</i>,,,,,,,,
EventEndEliminated.button1,The End,Fin,,,,,,,,
TokenStreetCultist.text,"<i>This local stands still, appearing oblivious to the cold.</i>","<i>Un lugareño permanece inmóvil, ignorando el frío.</i>",,,,,,,,
TokenStreetCultist.button1,{qst:ATTACK},,,,,,,,,
TokenPondPriest.text,<i>This priests appears to be performing some type of ritual.</i>,<i>Un sacerdote está ejecutando algún tipo de ritual.</i>,,,,,,,,
TokenPondPriest.button1,{qst:ATTACK},,,,,,,,,
TokenWarehouseCultist.text,<i>A woman stands still in the corner of the warehouse</i>,<i>Una mujer permanece inmóvil en la esquina del almacén</i>,,,,,,,,
TokenWarehouseCultist.button1,{qst:ATTACK},,,,,,,,,
TokenBasementCultist.text,<i>A figure stands idle.</i>,<i>Una figura permanece inmóvil.</i>,,,,,,,,
TokenBasementCultist.button1,{qst:ATTACK},,,,,,,,,
TokenSearchYard.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchSquare.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchShop.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchStreet.text,<i>Numerous objects lie in the dark corners of this alley.</i>,<i>Varios objetos se amontonan en las esquinas de este oscuro callejón.</i>,,,,,,,,
TokenSearchStreet.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchWarehouse.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchBasement.button1,{action} Search,{action} Buscar,,,,,,,,
TokenSearchCellar.button1,{action} Search,{action} Buscar,,,,,,,,
TokenExit.text,Is the investigator with the Interact Token in this space?,¿Está el investigador con el Marcador de Interacción en esta casilla?,,,,,,,,
TokenExit.button1,Escape,Escapar,,,,,,,,
TokenPondRiot.text,<i>The Group of townsfolk stand completely still.</i>,<i>Los vecinos están totalmente paralizados.</i>,,,,,,,,
TokenPondRiot.button1,{qst:ATTACK},,,,,,,,,
TokenExploreShop.text,<i>The lights are on in this small shop.</i>,<i>Esta pequeña tienda aún tiene las luces encendidas.</i>,,,,,,,,
TokenExploreShop.button1,{qst:EXPLORE},,,,,,,,,
TokenExploreStreet.text,<i>This door exits the rear of the shop</i>,<i>Esta es la puerta trasera de la tienda</i>,,,,,,,,
TokenExploreStreet.button1,{qst:EXPLORE},,,,,,,,,
TokenExploreBasement.text,<i>This door leads down to a basement.</i>,<i>La puerta conduce a un sótano.</i>,,,,,,,,
TokenExploreBasement.button1,{qst:EXPLORE},,,,,,,,,
TokenExploreCellar.text,<i>The strange music is coming from this direction.</i>,<i>La extraña música proviene de esta dirección.</i>,,,,,,,,
TokenExploreCellar.button1,{qst:EXPLORE},,,,,,,,,
TokenShopCultist.text,<i>The shop keeper stares into space.</i>,<i>El tendero se mantiene inmóvil con la mirada perdida..</i>,,,,,,,,
TokenShopCultist.button1,{qst:ATTACK},,,,,,,,,
TokenSquareRiot.text,<i>The townsfolk ignore you.</i>,<i>Los vecinos te ignoran.</i>,,,,,,,,
TokenSquareRiot.button1,{qst:ATTACK},,,,,,,,,
ATTACK,Attack,Atacar,,,,,,,,
