.,English
UIStarSpawnCrushText.uitext,"The hulking monstrosity lashes out at one of your fellow investigators, smashing them into the ground. You can only watch in horror as the life drains from their eyes.\n\nYou close your eyes hoping that all the horror will just disappear. Should you be surprised that you got your wish? Crunch……………\n\nGame Over\n"
UIStarAndIntKilledText.uitext,"You let out a long sigh as the beast falls next to the corpse of its faithful servant. Any other creatures lurking about have surely fled seeing your resolve in taking on such a formidable foe.\n\nAs you look across the room you see the once lively form of Othera and a great shame washes over you. While her call to you has helped prevent a much worse fate from occurring, you are sorry that you couldn’t protect her in the process.\n\nAll you can hope is that in destroying the beast, you may have released her stolen soul to find peace\n\nGame Over\n\n"
UIStarKilledIntEscapesText.uitext,"The bloody battle finally comes to an end with the great beast succumbing to the onslaught of attacks that you have made against it. You look over just in time to see the Interloper tear another hole in the fabric of reality creating an escape for itself and its followers.\n\nYou fear that this may not be the last time these events play out and can only hope that whoever has to face it will be able to bring it down.\n\nAs you look across the room you see the once lively form of Othera, and a great shame washes over you. While her call to you has helped prevent a much worse fate from occurring, you are sorry that you couldn’t protect her in the process.\n\nAll you can hope is that in destroying the beast, you may have released her stolen soul to find peace.\n\nGame Over\n\n"
quest.name,In Places Unseen
quest.description,"An adventure for Mansion of Madness 2nd Edition. No expansions required.\n\nAs your day is coming to an end, one final call comes in requesting your help at the old Foster mansion. What lies in wait for you in the unseen spaces of the estate?"
quest.authors,LordPyrex
EventSetDeathCounter.button1,Button1
EventPedestalsGoingDown.button1,Button 1
EventCountThemDown.button1,Button 1
SpawnBobbySacrificed.text,"\nOut of the mists a Star Spawn lumbers into view. In one swipe, it knocks a panel from the cage and grabs the soul of Bobby Foster. You watch in abject horror as it raises the spirit to its mouth and consumes the man’s soul whole… Only the man’s scream remains until that too is lost to the void. \n\nRemove the Blue Man Token from the board and spawn a \nStar Spawn as indicated."
SpawnBobbySacrificed.button1,Continue
SpawnAngryInterloperChangeB.text," The rest of the body begins peeling away, revealing a much more sinister creature in its place. Remove the Bobby Foster Token from the board.\n\nSpawn a Deep One as indicated. This represents the Dimensional Interloper."
SpawnAngryInterloperChangeB.button1,Continue
EventAngryInterloperToCage.text,"Taking a talon and moving it like a hook, the creature creates a tear in reality and jumps through the void landing next to the cage.\n\nMove the Interloper as indicated.\n"
EventAngryInterloperToCage.button1,Continue
EventInterloperDestroysPedestals.text,"The man begins chanting before letting out a maniacal laugh that echoes through the house. The words cause the pedestals to shake before shattering into stone fragments. In the distance, you hear a loud, deep growl as something approaches.\n\nRemove the remaining pedestal Interact Tokens from the board."
EventInterloperDestroysPedestals.button1,Continue
EventInterloperAngryReturn.text,<i>You fools! Did you truly believe that you could stop what was destined to come? I knew I was right to return and dispatch that insolent woman. \nWatch as the bearer of madness comes for you all!</i>
EventInterloperAngryReturn.button1,Continue
EventAngryInterloperChangeA.text,<i>I guess this ruse is no longer needed...</i>\n\nThe man pullls at the flesh surrounding his hand and exposes several sharp talons where fingers should be. He then drags one of the talons along his body leaving large gashes in many places.
EventAngryInterloperChangeA.button1,Continue
UIStarKilledIntEscapesText.button1,The End
EventEneryDisperse.text,"As the energy clears a much different man stands in the place of the imposter. All that is left before you is a rotting corpse that had been held together with foul magick.\n<i>\nYou dare to use our power against us?!? Very well, if I can’t use the power of your soul then hers will do! </i> "
EventEneryDisperse.button1,Continue
EventPlaceBox.text,In the back corner of the basement sits a half opened box. Place a Search Token as indicated.
EventPlaceBox.button1,Continue
EventTooLongInterloperReturns.text,The front door flies open as the man in the body of Bobby Foster storms in.\n\nPlace the Bobby Foster Token on the board as indicated.\n
EventTooLongInterloperReturns.button1,Continue
SpawnWellMonster.text,A chill runs down your spine as you hear the sound of something slithering closer. Through the thick mists you begin to see a black
SpawnWellMonster.button1,Continue
TokenBaesmentToDark.text,A door that appears to be made from darkness itself.
TokenBaesmentToDark.button1,{action} Explore
EventDarkBasementReveal.text,"As you place a hand on the door the darkness latches onto it and the door flies open. On the other side is a realm that seems to be coated in dark ooze, pulsing with an almost alien, life-like appearance. Place the Alley Corner 1 {MAD20} as indicated. You are drawn one space into the explored area. Then discard the Explore Token leading to this space."
EventDarkBasementReveal.button1,Continue
EventPlaceBasementStatue.text,You notice that there is a statue sitting at the heart of the dark pulse. Place a Search Token as indicated.
EventPlaceBasementStatue.button1,Continue
TokenDarkBasementStatue.text,A statue that appears to be the embodiment of madness itself.
TokenDarkBasementStatue.button1,{action} Take Statue
EventDarkStatueBasementEvent.text,You lift the statue thinking that it is much heavier than it should be. Just as you begin to get used to the awkward weight it feels like it gets heavier. \n \n Test {strength}
EventDarkStatueBasementEvent.button1,Confirm
EventDarkStatueBasementEvent.button2,Fail
EventMakeDarkDR.text,As the door swings open you feel yourself drawn into a space that is wrapped in darkness. Place the Side Street Corner 1 {MAD20} as indicated. Then remove the Explore Token leading into this space.\n\nMove your investigator one space into the explored area.
EventMakeDarkDR.button1,Continue
TokenWellToDark.text,A door that seems to be formed from the darkness itself is beside the well.
TokenWellToDark.button1,{action} Explore
EventPlaceSideStreet2.text,The door opens into a place that reeks of evil. In the distance you hear the howl of something not quite natural. \n \n Place the Side Street Corner 2 {MAD20} Tile as indicated and discard the Explore Token as indicated. You may move one space into the explored area.
EventPlaceSideStreet2.button1,Continue
EventWellStatue.text,Across the cursed space you see one of the statues. Place a Search Token as indicated.
EventWellStatue.button1,Continue
EventGardenStatuePull.text,"As you pull the statue from the vortex, you feel it start pulling you instead. You close your eyes as panic begins to set in.\n\nTest {observation}"
EventGardenStatuePull.button1,Continue
EventGardenStatuePull.button2,Fail
TokenPatioToDark.text,A door stands in the grass without any frame.
TokenPatioToDark.button1,{action} Explore
EventPlaceDarkGarden.text,As your hand comes in contact with the knob the door flies open into a swirling void. You find that you cannot look away and feel yourself slipping within your own mind. All investigators in this space become Dazed and Stunned. \n\nAdd the Side Alley 2 {MAD20} as indicated and remove the Explore Token leading to this space. 
EventPlaceDarkGarden.button1,Continue
TokenDiningToDark.text,You swear this door wasn't here before. This must be what the spirit was talking about.
TokenDiningToDark.button1,{action} Explore
SpawnDRCultist.text,Appearing from the mists comes a robed figure brandishing some kind of arcane staff. He points it menacingly at you and screams <i> I will not let you take it! </i> \n \n Spawn a Cultist as indicated. 
SpawnDRCultist.button1,Continue
TokenDarkGardenStatue.text,Amidst a swirl of purple haze and dark energy sits a statue.
TokenDarkGardenStatue.button1,{action} Take statue.
SpawnDeckCultist.text,"Drawn to the disturbance of the power, a robed figure comes towards you from the swirl. Pointing a gnarled finger at you he says,\n<i>You should flee if you cherish your life!</i>\n\nSpawn a Cultist as indicated.\n"
SpawnDeckCultist.button1,Continue
EventPlaceDRStatue.text,Across the dark space sits one of the statues on a rough stone table. Place a Search Token as indicated.
EventPlaceDRStatue.button1,Continue
EventPlaceDarkDeck.text,<i>The only other place that I heard them speak of was deck by the bedrooms.</i> \n \n Add an Explore Token as indicated.
EventPlaceDarkDeck.button1,Continue
EventPedestalsAppear.text,"You can barely believe that you overlooked them, but at the mere mention of the other statues the other pedestals are suddenly there... or were they there all along?\n \n Place 4 Interact Tokens around the cage as indicated."
EventPedestalsAppear.button1,Continue
EventDarkPlacesRevealed.text,<i>This is what I've overheard them talking about.</i>
EventDarkPlacesRevealed.button1,Continue
EventPlaceDarkDR.text,<i>They made mention of the Dining room.</i> \n \n Remove the Wall Token and place an Explore Token as indicated.
EventPlaceDarkDR.button1,Continue
EventPlaceWellToDark.text,<i>They mentioned a point of power by the well.</i> \n \n Place an explore token beside the well as indicated.
EventPlaceWellToDark.button1,Continue
EventPlaceDarkBasement.text,<i>They also spoke of the basement.</i> \n \n Remove the Wall Token and place an Explore Token as indicated.
EventPlaceDarkBasement.button1,Continue
EventSpiritIntruducesStatues.text,"<i>I think that it has something to do with those statues. There used to be five of them, but since I’ve been trapped here I’ve watched as robed figures have come along and taken them off those pillars.  They spoke of hiding them throughout the manor to keep them safe until the beast arrives. I’ve also overheard them talking about using my soul's energy to break the barrier here that keeps the ancient one lost in this place.</i>"
EventSpiritIntruducesStatues.button1,Continue
EventSpiritsShowsStatueLocations.text,"<i>They’ve been using their occult magiks to create warped spaces all around. If the statue that you returned has allowed you to see me, then maybe the doors leading to these dark places can be seen.</i>"
EventSpiritsShowsStatueLocations.button1,Continue
EventSpiritTrusts.text,You reassure the man that you will do everything in your power to protect Othera. \n \n <i> I have a little more information that might help. </i>
EventSpiritTrusts.button1,Continue
EventSpiritAskedWhere.text,<i>I’m not quite sure how to answer that. I was cleaning the attic and after wiping the mirror I found myself here. I picked up that strange statue there and I was suddenly attacked by a monster that came from this cell. It jumped into my body and threw my spirit in here. Then I witnessed as it summoned all other manners of horrors to come to its aid.</i> 
EventSpiritAskedWhere.button1,Continue
EventWhoAfterWhere.text,<i>I am Bobby Foster. I stumbled upon this unusual space while searching my family’s manor a few weeks back.</i> 
EventWhoAfterWhere.button1,Continue
EventWhereAfterWho.text,<i>I’m not quite sure how to answer that. I was cleaning the attic and after wiping the mirror I found myself here. I picked up that strange statue there and I was suddenly attacked by a monster that came from this cell. It jumped into my body and threw my spirit in here. Then I witnessed as it summoned all other manners of horrors to come to its aid.</i> 
EventWhereAfterWho.button1,Continue
EventSpiritAskedWho.button1,Continue
EventSpiritAskedWho.text,<i>I am Bobby Foster. I stumbled upon this unusual space while searching my family’s manor a few weeks back.</i> 
EventCameraBack.text,<i>Search in those places and maybe you can find the hidden statues.</i>
EventCameraBack.button1,Continue
EventSpiritAfterTwo.text,"<i>Have you heard from Othera? I fear for her safety with these monsters lurking about. Please, you must get her out of here.</i> \n \n Test {influence}"
EventSpiritAfterTwo.button1,Continue
EventSpiritAfterTwo.button2,Fail
EventSpiritUnsure.text,"	<i> I'm really concerned... Please, you have to get whatever that thing is away from her! </i>"
EventSpiritUnsure.button1,Continue
EventSpiritSpeaks.text,<i>Oh! Thank the stars you’ve found me. I was beginning to think I was truly lost forever.</i>
EventSpiritSpeaks.button1,Continue
TokenSpiritTwoQuestions.text,An investigator can use an action to speak with the spirit.
TokenSpiritTwoQuestions.button1,{action} Who are you?
TokenSpiritTwoQuestions.button2,{action} Where are we?
EventPedestalOne.text,Before you lies a large gilded cage that appears to have no doors leading into it. In front of it sits a pedestal with an indentation that looks like it would hold the statue. Place an Interact Token as indicated.
EventPedestalOne.button1,Continue
TokenPedastalOne.text,A pedestal with an indentation.  \n \n The investigator carrying the Grotesque Stone can place it on the pedestal.
TokenPedastalOne.button1,{action} Place Statue
EventGetRidOfStoneOne.text,Discard the Grotesque Stone Unique item card.
EventGetRidOfStoneOne.button1,Continue
EventSummonBobbyFosterSpirit.text,As you place the statue on the pedestal it snaps down firmly. The smell of ozone and rotted earth fills the air. You see a gathering of shadows and light coalesce into the form of a man within the cage. \n \n Place the Blue Man Character Token as indicated.
EventSummonBobbyFosterSpirit.button1,Continue
TokenMirrorToVoid.text,This token represents the connection to the Unseen Realm. You can travel to marked space on the other side.
TokenMirrorToVoid.button1,Continue
TokenTheMirror.text,A large mirror in an ornate frame. 
TokenTheMirror.button1,{action} Inspect
EventMirrorInspection.text,Closer inspection reveals that there are many different runes and other occult symbols seared into the frame. It is what is in the mirror that has you most intrigued. Every time you look away you swear that you see the reflection doing something other than your own actions. You feel that you can make sense of these runes and solve that which is unseen. \n \n Test {lore}
EventMirrorInspection.button1,Continue
EventMirrorInspection.button2,Fail
EventMitrrorIn.text,"As your fingertips connect to the various glyphs and signs, your mind races to make sure that every step is correct. The mirror glass wavers before your eyes and your find that the glass pulls inward before completely disappearing. "
EventMitrrorIn.button1,Continue
EventMirrorTransport.text,"All that is left of where the glass previously was is a black void. Before you can react, it draws you in to the realm unseen. \n \n All investigators in this space are drawn into the void. "
EventMirrorTransport.button1,Continue
EventPlaceConservatory.text,Place the Conservatory {MAD20} Tile as Shown.  This tile represents a place in the Unseen Realm. This tile should be treated as a void and is not an outdoor space.
EventPlaceConservatory.button1,Continue
EventInvestigatorsOutVoid.text,You land on the ground with a thud. As you try to get your bearings you get the sense that you are very lost. You are unable to see very far due to a dense layer of fog.
EventInvestigatorsOutVoid.button1,Continue
EventPlacePortalBack.text,Behind you the portal remains open. Place an Interact Token as indicated.
EventPlacePortalBack.button1,Continue
EventMirrorOut.text,"As your fingertips connect to the various glyphs and signs, your mind races to make sure that every step is correct. You begin to worry that you have made a mistake as the frame takes on an angry red glow. The glass begins to shake and before you can protect yourself shatters outward at you. All investigators in this space takes 1 Damage and 1 facedown Horror. \n"
EventMirrorOut.button1,Continue
EventMirrorRevealed.text,"You notice something glinting in the far corner of the room and jump back when you think you see someone else there with you. As you look closer you see it's just a mirror with an ornate wooden frame. You feel there is something wrong, and it seems to be giving off its own dark light. Place an Interact Token as indicated."
EventMirrorRevealed.button1,Continue
EventMoveIntoAttic.text,You may move 1 additional space into the explored area.
EventMoveIntoAttic.button1,Continue
TokenAtticSight.text,An investigator in this space may interact with this token to reveal the rest of the attic.
TokenAtticSight.button1,Continue
EventAtticRevealed.text,As you stand at the top of the stairs your eyes begin to adjust to the lower level of light. You begin looking around to see what could be so important up here. \n\nRemove the Sight Token from the Attic space.
EventAtticRevealed.button1,Continue
TokenLobbyAhead.button1,{action} Explore
TokenLobbyAhead.text,A door leading into the bedroom at the top of the stairs.
EventPlaceBedroom1.text,"Behind the door is a large bedroom. While most of the bedroom appears used on a regular basis, you notice that the bed seems to be a bit dusty as if it doesn’t get used. Place the Bedroom 1 {MAD20} as indicated, then remove the Explore Token leading to this space.\n\nMove one space into the explored area."
EventPlaceBedroom1.button1,Confirm
TokenAtticDoorOpen.text,The door is now slightly ajar.
TokenAtticDoorOpen.button1,{action} Explore
EventPlaceAttic.text,"Upon pushing the door the rest of the way, you find a set of dusty attic stairs. Place the Attic {MAD20} as shown."
EventPlaceAttic.button1,Continue
EventAtticWallToken.text,Place a Wall Token as indicated.
EventAtticWallToken.button1,Continue
EventAtticDarkness.text,The lights in the storage space appear to all be broken or blown out. Place Darkness Tokens in each of the Attic spaces.
EventAtticDarkness.button1,Continue
EventAtticUnseen.text,"From your current viewpoint you cannot see what lies at the top of the stairs. Place a Sight Token as indicated,"
EventAtticUnseen.button1,Continue
EventStartAct2.text,As you are studying everything you can about the mansion you are surprised to hear a bell coming from the Dining Room. You decide to make your way to see what Othera may need.\n\nMove all Investigators to the Dining Room with one Investigator per chair.
EventStartAct2.button1,Continue
EventGetRitualComponents.text,"As you rifle through the box you find a collection of candles, vials, and skulls - everything necessary for one to work with Dark Magick. Just holding them makes you feel uneasy, as if they have an energy of their own. Gain the Ritual Components Unique Item and 1 clue. Then discard this Search Token.\n\nIs this some of the proof Othera wants you to find?"
EventGetRitualComponents.button1,Continue
TokenBoxWithRitualStuff.text,A half-opened box pushed into the back corner of the basement.
TokenBoxWithRitualStuff.button1,{action} Search
EventOtherSeesRitualComponents.text,"	<i>So, this is what was in the basement… There is definitely something dark taking place here. You don’t think Bobby is involved, do you?</i>\n\nGain one clue."
EventOtherSeesRitualComponents.button1,Continue
EventOtheraSeesManuscript.text,"	<i>This was hidden in the well? What an unusual book… I can’t believe that Bobby could have anything to do with something like this….\n Please, keep this. I don't want to have something full of so much evil and horrible things near me.</i>\n\nGain one clue.\n"
EventOtheraSeesManuscript.button1,Continue
TokenChestRightIHBedroom.text,A sturdy chest sits in the corner. Upon closer inspection you believe that you can pick the lock.\n\nAttempt to solve the puzzle using {agility}.
TokenChestRightIHBedroom.button1,Confirm
TokenBasementDoorUnlocked.text,A sturdy metal door with a tag that reads 'Basement'. The door is currently locked. An Investigator with the Brass Key can explore this area.
TokenBasementDoorUnlocked.button1,{action} Explore
EventPlaceBasementTile.text,You peer down the stairs to see a dimly lit basement.
EventPlaceBasementTile.button1,Confirm
EventPlaceBasementWalls.text,Place 3 Wall Tokens covering the other doors.
EventPlaceBasementWalls.button1,Confirm
EventDarknessBasement.text,"You flick the switch on the wall to get a better look around the room. The lights start to come up, but just as quickly go dim before going out. When you try the switch again nothing changes, and the only light is what little is coming from the furnace. Place Darkness Tokens in each space of the Basement."
EventDarknessBasement.button1,Continue
EventPlaceCoalBin.text,At the bottom of the stairs you can see a coal bin. It looks recently turned over as if something could be hidden within.
EventPlaceCoalBin.button1,Confirm
EventMoveIntoBasement.button1,Continue
EventMoveIntoBasement.text,You may move 1 additional space into the explored area.
EventPlacePapers.text,Looking to your right you see a picture of a stately man standing in front of a large Victorian style home. Upon closer inspection you notice that there is a page sticking slightly out from behind the frame.
EventPlacePapers.button1,Confirm
PuzzleChestIHRightBedroom.button1,Confirm
EventChestOpened.text,The lock springs open and you lift the lid to find what contents have been hidden. You rifle through the trinkets and scarves and find among them a brass key. Gain the Brass Key Unique item and 1 clue token. Then discard this Search Token.
EventChestOpened.button1,Confirm
EventWellPass.text,After what feels like hours of pulling you finally bring the bucket to the well's edge. Inside you are surprised to find an ancient-looking tome. \n\nGain the Arcane Manuscript Common Item and discard this search token. Treat this item as evidence.\n\nYou wonder if this is some of the proof Othera would like to see.
EventWellPass.button1,Confirm
TokenPapersBehindPicture.text,A piece of paper
TokenPapersBehindPicture.button1,{action} Search
TokenIHRightBedroom.text,A door on the right side of the Hall leading into a bedroom.
TokenIHRightBedroom.button1,Continue
EventUnlockBedroomDoor.text,An investigator with the Silver Key can unlock this door.
EventUnlockBedroomDoor.button1,{action} Unlock Door
EventUnlockBedroomDoor.button2,Cancel
EventExploreIHBedroom2.text,You walk into a well-organized room. Remove the explore token leading into this room.
EventExploreIHBedroom2.button1,Confirm
EventPlaceChest.text,In one corner of the room sits a sturdy looking
EventPlaceChest.button1,Confirm
EventPlaceMagGlass.text,On the table sits a white lilac and next to it a magnifying glass. You’re beginning to think it's out of place until you notice the insect larvae in the plant on the table. \n\nPlace the Magnifying Glass common item as indicated. 
EventPlaceMagGlass.button1,Confirm
TokenWellInYard.text,You peer into the depths of the well wondering just how deep it runs into the ground. You find yourself shaken at the thought of finding out first hand. 
TokenWellInYard.button1,{action} Search
EventSearchWell.text,You notice rope attached to a bucket and begin to pull it up from the darkness. \n\nTest {strength}
EventSearchWell.button1,Confirm
EventSearchWell.button2,Fail
EventWellFail.text,"You pull the rope, finding yourself winded after pulling for just a few moments. Luckily you see a place to tie the rope so that you can take a break."
EventWellFail.button1,Confirm
EventPlaceElderWard.text,Beside the house is a flower bed with blooms of many colors and shapes. It appears that someone may have recently been rooting through the bed.
EventPlaceElderWard.button1,Confirm
EventMoveIntoYard1.text,You may move 1 additional space into the explored area.
EventMoveIntoYard1.button1,Continue
TokenExploreYard1.text,Behind this door you hear the wind blowing.
TokenExploreYard1.button1,{action} Explore
EventPlaceYard1.text,The door opens onto a private patio. Across the yard sits a table that would probably be perfect for taking afternoon tea. Place the Yard 1 {MAD20} Tile as indicated. Discard the Explore token leading to this room. 
EventPlaceYard1.button1,Confirm
EventBibleInNightstand.text,As you open the nightstand the rest of the way you find an old Bible sitting in the drawer. As you look upon it a sense of calm washes over you. \n\nGain the King James Bible Common Item and discard this Search Token.
EventBibleInNightstand.button1,Confirm
EventMoveIntoLeftBedroom.text,You may move one additional space into the explored area.
EventMoveIntoLeftBedroom.button1,Continue
EventPlaceGunToken.text,On the other side of the room you see something just under the bed's edge. Add a Search Token as indicated.
EventPlaceGunToken.button1,Confirm
EventPlaceHalfOpenNightstand.text,To your right you notice a nightstand with a drawer partially opened. Place a Search Token as indicated.
EventPlaceHalfOpenNightstand.button1,Confirm
TokenHalfOpenedNightstand.text,A nightstand sits with a drawer half open.
TokenHalfOpenedNightstand.button1,{action} Search
Token18IHLeftBed.text,You see something sticking out just under the bed.
Token18IHLeftBed.button1,{action} Search
EventPlaceTokenToYard.text,Across the kitchen is a door. You can hear the sounds of the rain falling lightly from the otherside. Place an Explore Token as indicated.
EventPlaceTokenToYard.button1,Confirm
TokenKitchenYard.text,A door leading out from kitchen. You hear the rain sill coming down softly on the other side.
TokenKitchenYard.button1,{action} Explore
EventExploreYard.text,The door opens into a small side yard and it looks like the rain is starting to let up. \n\nPlace the Yard 2 {MAD20}  Tile as indicated. Then remove the Explore token leading to this space. You may move 1 additional space into the explored area.
EventExploreYard.button1,Confirm
EventShovelInYard.text,Off the edge of the path you see a shovel that was left from someone doing yardwork. Place the Shovel Common Item as indicated.
EventShovelInYard.button1,Confirm
EventPlaceWell.text,Across the yard you see a small well that was probably used to provide the kitchen with water prior to the modernization of indoor plumbing. Place a Search Token as indicated.
EventPlaceWell.button1,Confirm
TokenIHLeftRoom.text,A door on the left side of the Hall leading into a bedroom.
TokenIHLeftRoom.button1,{action} Explore
EventExploreIHBedroom1.text,A quaint tidy bedroom lies behind the door. Remove the explore token leading into this room.
EventExploreIHBedroom1.button1,Confirm
EventBobbyIntro.text,"<i>Who do you think you are barging into my room like this. I know that daft woman said she was calling exterminators, but she had no reason to send you here. There are no vermin of any kind upstairs. Now please leave me alone!</i>"
EventBobbyIntro.button1,Continue
TokenLobby1stLeft.text,A door leading away from the mansion's expansive Lobby.
TokenLobby1stLeft.button1,{action} Explore
EventPlaceDRKitchen.text,Opening the door reveals a lavish dining room. The table is decorated in swaths of delicate linens and fine china waiting for the next service. You can see a large kitchen just beyond the Butlers Service Station. \n\nPlace the Dining Room {MAD20} as indicated. Remove the Explore Token leading to this room. 
EventPlaceDRKitchen.button1,Confirm
EventPlaceWallDR.text,Place a Wall Token as indicated.
EventPlaceWallDR.button1,Confirm
EventOtheraAppearsInDR.text,"You find Othera where she said she'd be. Sitting at the table, she nods to you as you enter the room."
EventOtheraAppearsInDR.button1,Continue
EventBandagesInKitchen.text,It looks as if someone may have recently needed to take care of a kitchen incident. A roll of bandages sits on the counter.\n\nPlace the Bandages Common Item as indicated.
EventBandagesInKitchen.button1,Continue
EventMoveIntoDR.button1,Continue
EventMoveIntoDR.text,You may move one additional space into the newly explored area.
EventPlaceSafePicture.text,"On the wall you notice a picture, however something seems off about it. Parts of it seem out of place. You realize that you can slide the pieces back into place."
EventPlaceSafePicture.button1,Continue
EventDoorNoHandleClosed.text,To your left is a door without any handle. Why anyone would go to the trouble of building a door with no handle confounds you. Place an Explore Token as indicated.
EventDoorNoHandleClosed.button1,Continue
EventBobbyStartPoint.text,A man with a stern look on his face sits in the chair facing the door as if keeping watch.\n\nPlace the Bobby Foster Token as indicated.
EventBobbyStartPoint.button1,Continue
EventPlaceWhiskey.text,"On the bar sits a bottle of whiskey, half-full. Place the Whiskey Common Item as indicated."
EventPlaceWhiskey.button1,Confirm
EventMoveIntoIH.text,You may move 1 additional space into the newly explored area.
EventMoveIntoIH.button1,Continue
EventPlaceBilliards.text,The door opens into a small billiards room. Several chairs and a sofa provide places to relax and enjoy a drink from the well-stocked bar.\n\nPlace the Billiards {MAD20} tile as indicated. Remove the Explore Token leading into this room.
EventPlaceBilliards.button1,Confirm
EventAddPoolToken.text,As you move about the room you notice a glint of light from a corner of the pool table. Place a search token as indicated.
EventAddPoolToken.button1,Confirm
EventMoveIntoBilliards.button1,Continue
EventMoveIntoBilliards.text,You may move one additional space into the newly explored area.
EventPlaceInteriorHall.text,"Opening the door, you find yourself in a hallway. On one side pictures of the house's former occupants, on the other are a few doors leading to bedrooms. \n\nPlace the Interior Hall {MAD20} as indicated. Then remove the Explore token leading into the Hall.\n"
EventPlaceInteriorHall.button1,Confirm
EventPlaceIHWall.text,Place a wall token as indicated.
EventPlaceIHWall.button1,Confirm
EventPlaceIHExploreTokens.text,Add 3 Explore Tokens as indicated.
EventPlaceIHExploreTokens.button1,Confirm
TokenLobby1stRight.text,A sturdy metal door with a tag that reads 'Basement'. The door is locked securely and you cannot budge it no matter how hard you try.
TokenLobby1stRight.button1,Confirm
TokenLobby2ndRight.text,A solid oak door leads further into the mansion.
TokenLobby2ndRight.button1,{action} Explore
EventOtheraGivesKey.text,"	Gain the Silver Key Unique item.\n\n	<i>I hid the key to the basement in a chest in the second bedroom. I couldn’t bring myself to go down there. Something feels off down there, and because of the darkness I'm too afraid to go.\n</i>"
EventOtheraGivesKey.button1,Continue
EventOtheraMovesToDR.text,<i>I will wait for you in the dining room. If you find anything please bring it to me.</i>
EventOtheraMovesToDR.button1,Continue
EventStart.text,As you step in out of the rain you find yourself in a large hall. \n\n Place the Lobby Tile {MAD20} as shown. 
EventStart.button1,Confirm
EventOtheraCaged.button1,Continue
EventOtheraCaged.text,With one clean toss the spirit of Othera lands in the cage.
EventMoveToCage.text,With its free hand the Interloper tears a hole in the fabric of reality and moves through
EventMoveToCage.button1,Continue
EventStarKilledInterloperEscapes.button1,Continue
EventOtheraTakenAway.text,"The Interloper curses loudly. <i>This has gone on long enough!</i>\nHe snaps a finger, disappearing, only to reappear next to Othera.\nHis hand takes on a violet glow as he lays it on her chest and pulls away a glowing orb."
EventOtheraTakenAway.button1,Continue
EventBodySlump.text,With her life force removed Othera's body drops to the floor. The spirit of Bobby
EventBodySlump.button1,Continue
EventInterHorrorCheck8.text,"The Interloper begins talking to you about the riches and power that it can offer you. All you have to do is submit your soul to the will of the great beast ({influence}, 2). If you pass, you deny him any consideration in the matter, become Focused. If you fail, you begin to consider the rewards before snapping back to you better judgment, suffer 1 Horror. Then suffer 1 Damage as the Interloper slaps you, laughing at you for believing he would truly offer you anything."
EventInterHorrorCheck8.button1,Continue
CustomMonsterInterloper.monstername,Dimensional Interloper
EventInterloperHorrorChecks.button1,Button1
