.,English
TokenSearchSalaoJogos.text,You notice something under the table {observation}.
EventMito17B.text,"You here voices and confuse them with your friends ({observation}; 2). If you succeed, you notice, that there is no one. If you fail, nothing happens."
EventMito19B.text,"Duke goes berserk and bites you. Suffer 1 Damage and 1 Horror ({will} negates)."
EventMito9B.text,"You feel stained. Suffer 3 Horror ({agility} negates)."
EventAddInvestigadores.text,"Place the investigators as indicated."
EventWIN.text,"You win the game"
EventTodosEscaparam.text,"You managed to sneak past the dog and can enter the house."
EventPassForcaP.text,For a moment you feel totally dazed. The creature takes this moment to her advantage and flees. Remove the monster from the board.
EventFailAgilidadeP.text,You try to leave the mansion without alerting someone to avoid anyones attention ({strength}; 2).
EventPassAgilidadeP.text,You managed to escape the mansion. Remove the miniature of the investigator from the board.
EventPassInfluence1.text,"You tell her, that you are here to restorate the bathroom. She believes you and turns back to her work. Remove the miniature of the investigator from the board."
EventPassInfluence2.text,"You tell her, that you are here to count the billiard balls. She believes you and turns back to her work. Remove the miniature of the investigator from the board."
EventPassInfluence3.text,"You tell her, that you are here to repair the broken table in the hall. She believes you and turns back to her work. Remove the miniature of the investigator from the board."
TokenSearchCocoCao.text,"She notices, that something is fishy."
EventMito22.text,This event affects the investigator with the most Clues.
EventMito21.text,This event affects the investigator with the normal Item Duke.
EventPassFalarDog.text,"You give something of your Roastbeef to the dog and he becomes your friend. Take the normal Item: Duke. If some other investigator already have that item, you get 1 Clue as a compensation. Remove the Person token of the dog."
EventMito18.text,"This event affects all investigators, that are male."
EventAddCachorro.text,"You see a stay dog in the garden of the mansion. Place the Person token of the dog as indicated."
EventMito17.text,"This event affects the investigator with the most {influence}."
EventMito11.text,"This event affects two investigators (one male, one female) in the same room."
EventMito9.text,"This event affects all investigators in a room, with only one door."
EventAddLobby.text,"The main entrance can now be opened. Place the tile {ffg:TILE_LOBBY_MAD20} as indicated."
EventRemoverCocoCao.text,"You fall to ground, as you slip on a steaming pile of dog shit. Suffer 1 Damage ({agility} negates). Remove this Search token."
EventItensConfiscados.text,"The idol was taken from you. Remove the Unique Item {ffg:UNIQUE_ITEM_GROTESQUE_STONE} from the game and place Search token as indicated."
EventAddSalaLeitura.text,"You and every other investigator is imprisoned in the Library. Place the tile {ffg:TILE_LIBRARY_MAD20} as indicated. Then place all investigators on a field of that tile (you can choose which)."
EventAddQuartoP.text,"The door is leading to a bedroom. Place the tile {ffg:TILE_MASTER_BEDROOM_MAD01} as indicated. Then remove this marker."
EventGetCaixaEnigmatica.text,"You see a locked box. You could try to open it, if you got the Unique Item {ffg:UNIQUE_ITEM_GOLD_KEY}. Take the Unique Item {ffg:UNIQUE_ITEM_PUZZLE_BOX}. Then remove this Search token."
EventAskIdoloConfiscado.text,"Was the investigator with the Unique Item {ffg:UNIQUE_ITEM_GROTESQUE_STONE} imprisoned in the {ffg:TILE_LIBRARY_MAD20}?"
EventProcurarIdolo1.text,There is nothing here
EventFailInfluenceF.text,The cook don't believe any of your lies. Suffer 1 Horror.
EventFailAgilidadeF.text,"You make a lot of noise on your attempt to leave the mansion, which could catch the attention of the cook ({influence}; 2)."
EventAddEscritorio.text,Place the tile {ffg:TILE_OFFICE_MAD20} as indicated. Then remove the Search token.
EventAddSaidaP.text,"You finally got the item, you where here for. You can leave thought the main entrance or take the back door, where you came from. Place Interaction token as indicated."
EventAddSaida2.text,"Place Interaction token as indicated."
EventAvisoFim.text,"The robbery is successful, if all investigator could flee the mansion and one of them takes the idol with him."
EventGetEstatua.text,"You managed to open the box and find item you are here for. Take the Unique Item: {ffg:UNIQUE_ITEM_GROTESQUE_STONE}."
EventAddFimCorredor.text,"You see a door at the end of the hall. Place the tile  {ffg:TILE_HALLWAY_3_MAD01} as indicated. Then remove the Search token."
EventAddSearchCozinha.text,"The pantry is untidy and confusing. Place a Search token as indicated."
SpawnAbissal.text,"A ugly creature appears. Place the monster {ffg:MONSTER_DEEP_ONE} as indicated."
TokenCachorro.text,Woof! Woof! Woof!\nWhat do you wnat to do?
TokenCachorro.button1,Ignore the dog
TokenCachorro.button2,Talk to the dog
TokenCachorro.button3,Attack the dog
EventAddCorredor2.text,"There don't seem to be something of interest. It's only an empty hall. Place the tile {ffg:TILE_HALL_2_MAD20} as indicated. Then remove the token."
EventAddQuarto1.text,"The door is leading to one of the bedrooms of the mansion. Place the tile {ffg:TILE_BEDROOM_1_MAD20} as indicated."
EventFim.text,"Mr. Ramon will be very pleased. You hope that this luck don't run out on you and you won't get imprisoned again.\nThe End"
EventMito7.text,"{rnd:hero} stumbles and falls head first on a railing. Suffer one damage. You hold your head ({will}; 1). If you fail, you get Dazed."
EventMito6.text,You begin to head voices. Suffer 1 Horror ({observation} negates).
EventMito2.text,"This event affects the investigator with the most items. You suffer from all your weight ({strength}; 2). If you succeed, you are strong enough to take everything with you. If you fail, you have to drop one item (place it under you on the field)."
EventMito3.text,"This event affects the investigator with the most spells. All those spell confuse you. Suffer 3 Horror ({will} negates)."
EventMito4.text,"This event affects the investigator with no items. You feel bad for not having anything, but you are proud of it."
EventMito5.text,"{rnd:hero} is intoxicated by the beauty of this mansions. This way {rnd:hero} is wasting a lot of time by looking at the surroundings. Get Restrained."
EventMito1.text,"{rnd:hero} looses all hope to complete the mission and considers to give up. Suffer 2 Horror ({will} negates)."
EventMoveIn.text,You can move one more space into the room.
TokenExploreLobby.text,"The door is leading to the main hall of the house. Do you want to open it?"
TokenSearchLobby2.text,You inspect all details of the drawing on the wall ({observation}; 1).
EventFailFalarCao.text,You "Du decide to go ahead, so that the dog follows you. But hes just sitting there, ignoring you and staring at the object."
EventFailEscaparCao.text,"The dog is suspecting your move and snaps at you. You suffer 1 Damage and are afraid to move."
EventAcharIdolo.text,You have found the idol. Take the Unique Item {ffg:UNIQUE_ITEM_GROTESQUE_STONE} and escape the mansion. Remove all Search token from the board.
TokenExploreCozinha.text,The strange sounds seem to come from the other side of the door. Do you want to explore the room?
EventAddCantoDoCorredor1.text,You see a branching floor with a door. Place the tile {ffg:TILE_HALL_CORNER_1_MAD20} as indicated.
TokenExploreLock1.text,The door is locked.
EventAbrirLeitura.text,The door doesn't look very sturdy ({strength}; 2).
EventAbrirEscritorio.text,"With some patience, you might be able to open the lock ({will}; 2)."
EventFailForcaP.text,The butler is striking at you. Suffer 1 Damage.
EventPassAbrirEsc.text,You succeed in opening the door. Remove the Explore token.
EventAbrirQuartoP.text,"If you have a key, you could try to unlock the door."
EventAbrirQuartoP.button2,I have no key.
EventAbrirComChaveB.text,Which key do you have in your possession.
EventAbrirComChaveB.button1,Gold Key
EventAbrirComChaveB.button2,Brass Key
EventVocenaotemchave.text,"Before you can steal anything, you need a key."
EventMatandoManiaco.text,"After the maniac is collapsing in front of you on the floor, you search through his clothes. You find a key. Take the Unique Item: {c:QItemChaveDeBronze}."
TokenExploreCorredor1.text,The door is half open. You can't hear anything from the other side.
TokenExploreSalaJogos.text,The door is leading to a small room.
TokenExploreCorredor2.text,The door is leading to a hall.
TokenExploreQuarto1.text,The door seem to lead to one of the rooms of the mansion.
TokenExploEscritorio.text,The side entrance isn't locked. Do you want to enter?
EventClickCaixaEnigmatica.text,"The lock is massive and seems to have a quite complex opening mechanism. You can try your luck with {agility}, if you have the Unique Item {c:QItemChaveDourada}."
EventFailSearchLobby2.text,You inspect the painting and wallow in your thoughts.
SpawnCaoTindalo.text,"The dogs noticed your attempt to attack him and the air around him swirls. Remove the Person token of the dog and place the monster {ffg:MONSTER_HOUND_OF_TINDALOS} as indicated. You are not allowed to do a action in this round."
EventMatarCao.text,"You kill the dog and skipped your chance to make him your ally. But finally, the path to the mansion is cleared."
EventEscaparCao.text,Maybe you could sneak past the dog ({agility}; 1).
EventFalarCao.text,You approach the dog with calming words and gestures ({influence}; 2).
EventPassEscaparCao.text,"You managed to sneak past the dog. Place the investigator on a field behind the door."
EventChaveNaoServe.text,The key doesn't fit in the lock of the door.
EventAddChaveDourada.text,"You see a item laying on the table. Place the Unique Item {c:QItemChaveDourada} as indicated."
SpawnManiaco.text,"The man in the room has lost his mind. Place the monster {ffg:MONSTER_MANIAC} as indicated."
EventOpcSearchCorredorNS.text,You don't understand the writing.
EventGetItensSearchLobby2.text,You need the right combination to get to it's content.
TokenSearchCorredor.text,"You see a table, that have been knocked over. Papers are scattered around him. Test your {will} (you can use Clues to turn a {clue} to a {success})."
TokenSearchCorredor.button2,{clue}
TokenSearchCorredor.button3,{clue}{clue}
TokenSearchCorredor.button4,{success}
TokenSearchCorredor.button5,{success}{clue}
TokenSearchCorredor.button6,{success}{success}
EventOpcSearchCorredorC.text,You have some ideas, where the idol might be hidden. You get 1 Clue. Then remove the Search token.
EventOpcSearchCorredorCC.text,You can read what's written on it. Finally some answers. You get 2 Clues.
EventOpcSearchCorredorCS.text,"You can read what's written on it, but it's still a riddle to you. You get 1 Clue and the following item."
EventOpcSearchCorredorS.text,"You can't read what's written on it. But you have found something."
EventOpcSearchCorredorSS.text,"There is something nice under the stack of papers. Take it and get Focused."
EventPassQuadroLobby.text,"The picture frame is crooked. As you staigten it, you find something behind it."
EventAddParedeLobby.text,"Place a Wall token as indicated."
EventAddSalaoJogos.text,"The door leads to a nice play room with a billiard table at the center. Place the tile {ffg:TILE_BILLIARDS_ROOM_MAD20} as indicated."
