.,Portuguese
EventAddInvestigadores.text,Coloque suas miniaturas de invstigador como indicado
EventAddInvestigadores.button1,Continuar
EventAddCocoCao2.text,Coloque 1 marcador de procura conforme indicado
EventAddCocoCao2.button1,Continuar
EventAddSearchSalaoJogos.text,Coloque 1 marcardor de procura conforme indicado
EventAddSearchSalaoJogos.button1,Continuar
EventWIN.text,Vocês venceram o jogo
EventWIN.button1,Continuar
EventTodosEscaparam.text,Vocês conseguiram escapar do cachorro e podem entrar na casa.
EventTodosEscaparam.button1,Continuar
EventPassForcaP.text,Você o deixou atordoado por alguns segundos e aproveita este momento para esscapar. Retire sua miniatura do tabuleiro
EventPassForcaP.button1,Continuar
EventFailAgilidadeP.text,Você fez muito barulho ao tentar sair da mansão e chamou a atenção do mordomo. Faça um teste de [{strength};2] 
EventFailAgilidadeP.button1,Passar
EventFailAgilidadeP.button2,Falhar
EventPassAgilidadeP.text,Você conseguiu escapar da mansão. Retire sua miniatura do tabuleiro.
EventPassAgilidadeP.button1,Continuar
EventPassInfluence1.text,"Você diz para ela que você estava consertando o encanamento do banheiro. Ela acredita e volta para os seus afazeres. Você consegue escapar da mansão, retire sua miniatura do tabuleiro."
EventPassInfluence1.button1,Continuar
EventPassInfluence2.text,"Você diz para ela que você veio fazer a contagem das bolinhas da mesa de sinuca. Ela acredita e volta para os seus afazeres. Você consegue escapar da mansão, retire sua miniatura do tabuleiro."
EventPassInfluence2.button1,Continuar
EventPassInfluence3.text,"Você diz para ela que você veio consertar a mesinha quebrada do corredor. Ela acredita e volta para os seus afazeres. Você consegue escapar da mansão, retire sua miniatura do tabuleiro."
EventPassInfluence3.button1,Continuar
TokenSearchCocoCao.text,Você percebe que algo não está cheirando muito bem
TokenSearchCocoCao.button1,Continuar {action}
EventMito22.text,Este evento afeta o jogador com menos pistas
EventMito22.button1,Continuar
EventMito21.text,Este evento afeta o investigador com o Duke (cão)
EventMito21.button1,Continuar
EventPassFalarDog.text,"	Você oferece rosbife para o cachorro e ele torna-se seu amigo. Pegue o item único Duke. Se ele já estiver em jogo, receba 1 pista e fique compenetrado. Em seguida, remova o marcador de cão"
EventPassFalarDog.button1,Continuar
EventMito18.text,Este evento afeta os investigadores (personagens) do sexo masculino 
EventMito18.button1,Continuar
EventAddCachorro.text,Vocês se deparam com um cachorro feroz rodeando a mansão. Coloque o tokem de cão no local indicado
EventAddCachorro.button1,Continuar
EventMito17.text,Este evento afeta o jogador com maior {influence}
EventMito17.button1,Continuar
EventMito13.button1,Continuar
EventMito11.text,Escolha 2 investigadores: um do sexo masculino e um do sexo feminino que estejam no mesmo espaço (se houver).
EventMito11.button1,Continuar
EventMito9.text,Este evento afeta o(s) jogador(es) em um comodo com apenas uma porta
EventMito9.button1,Continuar
EventAddLobby.text,"Você acessa a entrada principal da mansão, agora é possivel ir para os demais cômodos da casa. Coloque a peça Lobby  como indicado. "
EventAddLobby.button1,Continuar
TokenCocoCao.button1,Continuar {action}
EventRemoverCocoCao.text,"O cachorro cagou aqui e você pisou no cocô, receba 1 dano negado por {agility} e remova este marcador de procura"
EventGetItensCozinha.button1,Continuar
EventRemoverCocoCao.button1,Continuar
EventItensConfiscados.text,O ídolo foi confiscado. Devolva a carta de estátua grotesca e adicione um marcador de procura em cada espaço dos quartos e corredores
EventItensConfiscados.button1,Continuar
EventAddSalaLeitura.text,"Você e todos os jogadores ao seu alcance foram pegos e trancados na sala de leitura. Coloque a peça Sala de Leitura no local indicado. Em seguida, coloque sua miniatura e a dos jogadores nesta peça, onde desejarem"
EventAddSalaLeitura.button1,Continuar
EventAddQuartoP.text,A porta revela mais um quarto da mansão. Coloque a peça Quarto Principal {MAD01} e remova este marcador de exploração.
EventAddQuartoP.button1,Continuar
EventAddSearchQuarto.text,Coloque 1 marcardor de procura conforme indicado
EventAddSearchQuarto.button1,Continuar
EventAddParedeQuartoP2.text,Adicione um marcador de parede conforme indicado
EventAddParedeQuartoP2.button1,Continuar
EventAddParedeQuartoP.text,Adicione um marcador de parede conforme indicado
EventAddParedeQuartoP.button1,Continuar
EventAddParedeQuartoP1.text,Adicione um marcador de parede conforme indicado
EventAddParedeQuartoP1.button1,Continuar
EventGetCaixaEnigmatica.text,"Você encontrou uma caixa trancada. Para abri-la, você precisa da chave dourada. Pegue o item único Caixa Enigmática e remova este marcador de procura"
EventGetCaixaEnigmatica.button1,Continuar
EventMinCam.button1,Botão1
EventMaxCam.button1,Botão1
EventAddExpEscritorio.text,Coloque um marcador de exploração no local indicado
EventAddExpEscritorio.button1,Continuar
EventAskIdoloConfiscado.text,O jogador que está com o ídolo (estátua grotesca) foi preso na sala de leitura?
EventAskIdoloConfiscado.button1,Sim 
EventAskIdoloConfiscado.button2,Não
EventProcurarIdolo1.text,Não há nada aqui
EventProcurarIdolo1.button1,Continuar
EventFailInfluenceF.text,A cozinheira não acreditou nem um pouquinho na sua lorota. Receba 1 horror
EventFailInfluenceF.button1,Continuar
EventProcurarIdolo.button1,Continuar
EventFailAgilidadeF.text,Você fez muito barulho ao tentar sair da mansão e chamou a atenção da cozinheira. Faça um teste de [{influence};2] 
EventFailAgilidadeF.button1,Passar
EventFailAgilidadeF.button2,Falhar
EventAddEscritorio.text,Adicione a peça Escritório {MAD20} e remova este marcador de exploração
EventAddEscritorio.button1,Continuar
EventAddSaidaP.text,"Vocês já têm o que precisam para sair da mansão. Vocês podem optar por sair pela porta da frente, ou sair pela porta dos fundos, por onde entraram. Coloque um marcador de interação no local indicado"
EventAddSaidaP.button1,Continuar
EventAddSaida2.text,"Coloque outro marcador de interação, no local indicado"
EventAddSaida2.button1,Continuar
EventAvisoFim.text,A missão termina se o ídolo estiver com um de vocês e quando todos os investigadores saírem da mansão.
EventAvisoFim.button1,Continuar
EventGetEstatua.text,Você conseguiu abrir a caixa e encontrou exatamente o que estavam procurando! O ídolo que precisavam roubar estava nesta caixa. Pegue o item único Estátua Grotesca
EventGetEstatua.button1,Continuar
EventAddExploreLobbySuperior.text,Coloque 2 marcadores de exploração conforme indicador
EventAddExploreLobbySuperior.button1,Continuar
EventAddFimCorredor.text,Você avista o fim do corredor com um porta ao fundo. Adicione a peça Corredor 3 {MAD01} e em seguida remova este marcador de observação
EventAddFimCorredor.button1,Continuar
EventAddExploreQuartoP.text,Coloque 1 marcador de exploração como indicado
EventAddExploreQuartoP.button1,Continuar
EventAddOBS1.text,Coloque um marcador de observação conforme indicado
EventAddOBS1.button1,Continuar
TokenSearchQuarto.button1,Continuar
EventOBSMovIN.text,Remova este marcador de observação
EventOBSMovIN.button1,Continuar
EventAddOBS2.text,Coloque um marcador de observação conforme indicado
EventAddOBS2.button1,Continuar
EventGetArmaFogo.text, Você ganhou {c:QItemArmaFogo}.
EventGetArmaFogo.button1,Continuar
EventAddSearchCozinha.text,Há uma grande bagunça na dispensa da cozinha. Coloque um marcador de exporação conforme indicado.
EventAddSearchCozinha.button1,Continuar
SpawnAbissal.text,Um bicho feio apareceu! Coloque um Abissal no local indicado
SpawnAbissal.button1,Continuar
EventGetFeitico.text,Você ganhou um feitiço: {c:QItemFeitico}.
EventGetFeitico.button1,Continuar
TokenCachorro.text,Au! Au! Au!\nEscolha uma das opções abaixo
TokenCachorro.button1,Passar pelo cachorro
TokenCachorro.button2,Falar com o cachorro
TokenCachorro.button3,Atacar o cachorro
EventAddCorredor2.text,"Não parece haver nada aqui, apenas um pedaço do corredor da mansão. Adicione a peça Corredor 2  e em seguida remova os marcadores de exploração da parte inferior desta peça"
EventAddCorredor2.button1,Continuar
EventAddQuarto1.text,Realmente tratava-se de um dos quartos da mansão. Coloque a peça Quarto 1  e remova este marcador de exploração 
EventAddQuarto1.button1,Continuar
EventFim.text,"O Sr. Ramon fica muito satisfeito com o trabalho de vocês, parabens, agora deem o fora antes que sejam presos novamente. FIM"
EventFim.button1,Continuar
EventMito7.text,"{rnd:hero} Tropeça, cai e bate a cabeça em um móvel, receba 1 dano. Faça um teste de [{will};1], se falhar fique Atordoado"
EventMito7.button1,Continuar
EventMito6.text,Vocês começam a ouvir vozes. Recebam 2 horrores negados por {observation}
EventMito6.button1,Continuar
EventMito2.text,"Este evento afeta o jogador com mais itens. Faça um teste de [{strength};2]. Se passar, você sente-se forte o suficiente para carregar tudo que possui. Se falhar, você sente que não possui forças para carregar tantas coisas, largue um item "
EventMito2.button1,Continuar
EventMito3.text,"Este evento afeta o jogador que possuir mais feitiços. Você está muito confuso diante de tanta magia. Receba 3 horrores voltados para baixo, negados por {will}"
EventMito3.button1,Continuar
EventMito4.text,"Este evento afeta um jogador que não possua item algum. Você sente-se muito pobre por não possuir nada, mas não fica desanimado com isso, pelo contrário, fique compenetrado"
EventMito4.button1,Continuar
EventMito5.text,{rnd:hero} Está muito encantad@ com a beleza da mansão e perde algum tempo observando as coisas ao redor. Fique Pres@ durante o próximo turno
EventMito5.button1,Continuar
EventMito1.text,"{rnd:hero} sente-se sem esperança e pensa em desistir. Receba 2 horrores, negados por {will}"
EventMito1.button1,Continuar
EventAddExploreNada.text,Adicione um marcador de exploração conforme indicado
EventAddExploreNada.button1,Continuar
EventAddSearchLobby1.text,Coloque 1 marcardor de procura conforme indicado
EventAddSearchLobby1.button1,Continuar
EventAddExploreCozinha.text,Coloque um marcador de exploração conforme indicado
EventAddExploreCozinha.button1,Continuar
EventMoveIn.text,Você tem a opção de se mover 1 espaço para a área explorada
EventMoveIn.button1,Continuar
TokenExploreLobby.text,Essa porta dá para o hall principal da mansão. Deseja explorar o local?
TokenExploreLobby.button1,Explorar {action}
TokenSearchLobby2.text,Você observa atentamente o quadro na parede [{observation};1]
TokenSearchLobby2.button1,Passar
TokenSearchLobby2.button2,Falhar
EventAddSearchLobby2.text,Coloque 1 marcardor de procura conforme indicado
EventAddSearchLobby2.button1,Continuar
EventFailFalarCao.text,Você atira algo para que o cachorro vá pegar mas ele apenas observa o objeto e o ignora
EventFailFalarCao.button1,Continuar
PuzzleCaixa.button1,Continue
EventFailEscaparCao.text,O cachorro percebeu seu movimento e lhe deu uma mordida. Receba 1 dano voltado para baixo e fique onde está
EventFailEscaparCao.button1,Continuar
Token9.button1,Continuar
EventRemoverProcura.text,Remova este marcador de procura
EventRemoverProcura.button1,Continuar
EventAcharIdolo.text,Você encontrou a estátua do ídolo! Corram para sair da mansão! Pegue a carta estátua grotesca e remova todos os marcadores de procura
EventAcharIdolo.button1,Continuar
Token0.button1,Continuar
Token3.button1,Continuar
Token2.button1,Continuar
Token1.button1,Continuar
Token4.button1,Continuar
Token5.button1,Continuar
Token6.button1,Continuar
Token7.button1,Continuar
Token8.button1,Continuar
TokenExploreCozinha.text,Há barulhos estranhos vindos do outro lado da porta. Deseja mesmo explorar este local?
TokenExploreCozinha.button1,Continuar {action}
EventAddCantoDoCorredor1.text,Você avista apenas um corredor com uma porta logo a sua frente. Adicione a peça Canto do Corredor 1  e remova este marcador de exploração.
EventAddCantoDoCorredor1.button1,Continuar
TokenExploreLock1.text,A porta está trancada. 
TokenExploreLock1.button1,Continuar
EventAbrirLeitura.text,Você percebe que a porta é meio frágil e que talvez consiga arrombá-la. Faça um teste de [{strength};2]
EventAbrirLeitura.button1,Passar {action}
EventAbrirLeitura.button2,Falhar/Cancelar
EventAbrirEscritorio.text,Você percebe que com um pouco de paciência conseguirá destrancar a fechadura. Faça um teste de [{will};2]
EventAbrirEscritorio.button1,Passar {action}
EventAbrirEscritorio.button2,Falhar/Cancelar
EventFailForcaP.text,O mordomo o acertou em cheio. Receba 1 dano
EventFailForcaP.button1,Continuar
EventPassAbrirEsc.text,Você conseguiu abrir a porta. Remova este marcador de exploração
EventPassAbrirEsc.button1,Continuar
EventPassAbrirLeitura.text,Você conseguiu abrir a porta. Remova este marcador de exploração
EventPassAbrirLeitura.button1,Continuar
EventAbrirQuartoP.text,"Se você possuir alguma chave, pode tentar abrir essa porta"
EventAbrirQuartoP.button1,Tentar abrir {action}
EventAbrirQuartoP.button2,Não possuo chave
TokenExploreQuartoP.text,A porta está trancada.
TokenExploreQuartoP.button1,Continuar
EventAbrirLock.text,"Se você possuir alguma chave, pode tentar abrir essa porta"
EventAbrirLock.button1,Tentar abrir {action}
EventAbrirLock.button2,Não possuo chave
EventAbrirComChaveB.text,Qual chave você possui?
EventAbrirComChaveB.button1,Chave Dourada
EventAbrirComChaveB.button2,Chave de Bronze
EventAbrirComChaveB.button3,Não possuo chave
EventNaoAbrirCom2chaves.text,Qual chave você possui?
EventNaoAbrirCom2chaves.button1,Chave Dourada
EventNaoAbrirCom2chaves.button2,Chave de Bronze
EventNaoAbrirComChaveD.text,Qual chave você possui?
EventNaoAbrirComChaveD.button1,Chave Dourada
EventNaoAbrirComChaveD.button2,Cancelar
EventVocenaotemchave.button1,Continuar
EventVocenaotemchave.text,"Para de roubar, você não possui chave nenhuma!"
EventMatandoManiaco.text,Ao derrotar o maníaco você decide vasculhar a sua roupa e encontra uma chave! Receba o item único Chave de Bronze
EventMatandoManiaco.button1,Continuar
TokenExploreCorredor1.text,A porta parece entreaberta mas não é possivel ouvir o que se passa do outro lado
TokenExploreCorredor1.button1,Continuar {action}
TokenExploreSalaJogos.text,A porta leva a um pequeno cômodo da mansão
TokenExploreSalaJogos.button1,Explorar {action}
TokenExploreCorredor2.text,A porta parece dar para um dos corredores da mansão
TokenExploreCorredor2.button1,Explorar {action}
TokenExploreCorredor3.text,A porta parece dar para um dos corredores da mansão
TokenExploreCorredor3.button1,Continuar
TokenExploreQuarto1.text,Esta porta parece dar para um dos quartos da casa
TokenExploreQuarto1.button1,Explorar {action}
TokenSaidaF.text,Você está prestes a sair da mansão. Faça um teste [{agility};2] para tentar escapar sem ser percebido
TokenSaidaF.button1,Passar
TokenSaidaF.button2,Falhar
TokenSaidaP.text,Você está prestes a sair da mansão. Faça um teste [{agility};3] para tentar escapar sem ser percebido
TokenSaidaP.button1,Passar
TokenSaidaP.button2,Falhar
TokenExploEscritorio.text,A porta lateral está aberta. Deseja entrar?
TokenExploEscritorio.button1,Explorar {action}
TokenExploreLock2.text,A porta está trancada.
TokenExploreLock2.button1,Continuar
EventSaidaP.text,Você está prestes a sair da mansão. Faça um teste [{agility};3] para tentar escapar sem ser percebido
EventSaidaP.button1,Passar
EventSaidaP.button2,Falhar
EventClickCaixaEnigmatica.text,"A caixa parece possuir um complexo mecanismo de abertura, alem da fechadura. Para abri-la você deve possuir a chave dourada e resolver o enigma usando {agility}"
EventClickCaixaEnigmatica.button1,Continuar
PuzzleQuadro.button1,Continuar
EventAddParedeCorredor4.text,Coloque um marcador de parede conforme indicado
EventAddParedeCorredor4.button1,Continuar
EventFailSearchLobby2.text,Você observa atentamente a pintura e acha tudo muito bonito.
EventFailSearchLobby2.button1,Continuar
EventGetEquipamento.text,Você ganhou {c:QItemEquipamento}.
EventGetEquipamento.button1,Continuar
EventGetFaixas.text,Você ganhou {c:QItemFaixas}. 
EventGetFaixas.button1,Continuar
SpawnCaoTindalo.text,"O cachorro percebeu seu ataque e ficou extremamente feroz. Adicione a miniatura do Cão de Tindalo e remova o marcador de cão. Em seguida, ataque-o sem gastar uma nova ação pra isso"
SpawnCaoTindalo.button1,Continuar
EventMatarCao.text,"Você matou o cachorro e perdeu a chance de torná-lo seu aliado, mas agora o caminho estã livre para entrarem na casa"
EventMatarCao.button1,Continuar
EventAddExploreSalaoJogos.text,Coloque 1 marcador de exporação conforme indicado
EventAddExploreSalaoJogos.button1,Continuar
EventEscaparCao.text,Faça um teste de [{agility};1] para passar pelo cachorro sem ser percebido
EventEscaparCao.button1,Passar
EventEscaparCao.button2,Falhar
EventFalarCao.text,Faça um teste de [{influence};2] para conversar com o cachorro
EventFalarCao.button1,Passar
EventFalarCao.button2,Falhar
EventPassEscaparCao.text,Você conseguiu passar pelo cachorro sem ser percebido. Mova sua miniatura para o espaço onde se encontra a porta
EventPassEscaparCao.button1,Continuar
EventAddExploreLock1.text,Coloque um marcador de exploração conforme indicado
EventAddExploreLock1.button1,Continuar
EventChaveNaoServe.text,Sua chave não abre esta porta
EventChaveNaoServe.button1,Continuar
EventAddChaveDourada.text,Você observa que em cima da mesa há uma chave. Coloque o item único Chave Dourada neste cômodo
EventAddChaveDourada.button1,Continuar
EventAddParedeQuarto1.text,Adicione um marcador de parede conforme indicado
EventAddParedeQuarto1.button1,Continuar
SpawnManiaco.button1,Continuar
SpawnManiaco.text,Um homem doido estava no quarto. Adicione um Maníaco no local indicado
EventOpcSearchCorredorNS.text,Você não entendeu nada do que estava escrito
EventOpcSearchCorredorNS.button1,Continuar
EventGetItensSearchLobby2.text,Você conseguiu acertar a combinação do cofre e pegar o que tinha dentro
EventGetItensSearchLobby2.button1,Continuar
TokenSearchCorredor.text,Você observa uma mesa caída com vários papeis espalhados. Faça um teste {will} e escolha a opção conforme o resultado. (você pode gastar pistas para converter lupa em sucesso normalmente)
TokenSearchCorredor.button1,Nenhum sucesso
TokenSearchCorredor.button2,{clue}
TokenSearchCorredor.button3,{clue}{clue}
TokenSearchCorredor.button4,{success}
TokenSearchCorredor.button5,{success}{clue}
TokenSearchCorredor.button6,{success}{success}
EventOpcSearchCorredorC.button1,Continuar
EventOpcSearchCorredorC.text,"Você entende alguma coisa, mas não está muito claro pra você. Receba uma pista e remova este marcador de procura"
EventOpcSearchCorredorCC.text,Você entende bem o que está escrito e obtem respostas sobre o que está procurando. Receba duas pistas e remova este marcador de procura
EventOpcSearchCorredorCC.button1,Continuar
EventOpcSearchCorredorCS.button1,Continuar
EventOpcSearchCorredorCS.text,"Você entende alguma coisa mas não está muito claro pra você, no entanto você encontra um item. Receba uma pista e o item a seguir"
EventOpcSearchCorredorS.text,"Você não entende nada do que está escrito, mas parece ter encontrado algo"
EventOpcSearchCorredorS.button1,Continuar
EventOpcSearchCorredorSS.text,No meio dos papéis você encontrou alguma coisa. Receba o item a seguir e fique compenetrado
EventOpcSearchCorredorSS.button1,Continuar
EventPassQuadroLobby.text,"Você percebue que o quadro está meio torto. Ao tentar endireitá-lo, descobre que atras dele encontra-se um cofre"
EventPassQuadroLobby.button1,Continuar
EventGetItensSalaoJogos.button1,Continuar
TokenOBS2.text,Deseja observar o restante do corredor?
TokenOBS2.button1,Continuar
TokenOBS2.button2,Cancelar
TokenOBS1.button1,Continuar
EventOBS1_Corredor2.text,Deseja observar o restante do corredor?
EventOBS1_Corredor2.button1,Continuar
EventOBS1_Corredor2.button2,Cancelar
EventOBS1_CantoCorredor.text,Deseja observar o restante do corredor?
EventOBS1_CantoCorredor.button1,Continuar
EventOBS1_CantoCorredor.button2,Cancelar
EventOBS2MovIn.text,Remova este marcador de observação
EventOBS2MovIn.button1,Continuar
EventAddSearchCorredor.text,Coloque 1 marcardor de procura conforme indicado
EventAddSearchCorredor.button1,Continuar
EventAddExploreQuarto1.text,Coloque 1 marcador de exploração como indicado
EventAddExploreQuarto1.button1,Continuar
EventAddExploreLock2.text,Coloque um marcador de exploração conforme indicado
EventAddExploreLock2.button1,Continuar
EventAddExploreCorredor1.text,Coloque 1 marcador de exploração conforme indicado
EventAddExploreCorredor1.button1,Continuar
EventAddParedeLobby.text,Coloque 1 marcador de parede na porta direita superior da peça Lobby 
EventAddParedeLobby.button1,Continuar
EventAddSalaoJogos.text,A porta se abre e revela um agradável salão de jogos com uma mesa de sinuca ao centro. Adicione a peça sala de bilhar  conforme indicado.
EventAddSalaoJogos.button1,Continuar
