.,Italian
EventInvestigators.button1,{qst:CONTINUE}
EventFoyerExploreTokens.text,{qst:PLACE4EXPLORETOKEN}
PLACE4EXPLORETOKEN,Piazza 4 token esplorazione come mostrato.
EventFoyerExploreTokens.button1,{qst:CONTINUE}
EventPrologue3A.text,Come metti piede nella casa deserta, senti un tenue odore di cibo bruciato.  Forse qualcuno ha dimenticato di spegnere i fornelli?
EventPrologue3A.button1,{qst:CONTINUE}
UIBegin.button1,Button1
EventGetElderSign3B.text,{qst:EventGetElderSign3A.text}
EventGetElderSign3A.text,Prendi l'oggetto comune: {c:QItemPendant}.
EventGetExtinguisher.text,Prendi l'oggetto comune: {c:QItemExtinguisher}.
EventGetShotgun3B.text,{qst:EventGetShotgun3A.text}
EventGetShotgun3A.text,Prendi l'oggetto comune: {c:QItemShotgun}.
EventClue3B.text,"<i>Il corpo dell'uomo giace sul tavolo operatorio in un bagno di sangue.  Strumenti arrugginiti e attrezzi grezzi si trovano tutto intorno a lui.\nL'uomo senza pelle ti sussurra terrorizzato attraverso la sua bocca senza labbra.  ""Oh Dio, voleva la mia pelle...""\nCon il suo ultimo respiro mormora, ""Mi ha lasciato restare per la notte..."" e ti porge una chiave.</i>\n\nOttieni l'oggetto unico: {c:QItemSilverKey}."
EventClue2B.text,"<i>La tua vista si offusca e crolli a terra come consumato da una visione.  Un uomo fischietta una motivetto allegro mentre trascina il corpo incosciente di una donna lungo il pavimento.  Rabbrividisci mentre il corpo viene trascinato nella pioggia, attraverso una pozzanghera fangosa.  Una pala le scende sulla testa e la visione termina.</i>\n\nOttieni l'oggetto unico: {c:QItemCultSigil}."
EventClue3A.text,"<i>La stanza è vuota, fatta eccezzione per la sagoma bruciata di un essere umano sul tavolo della cucina.  Dopo un esame più ravvicinato, trovi una ordinaria chiave d'argento nascosta tra i resti fuligginosi.\nUna scia di impronte annerite conduce alle scale dell'Atrio e più in basso, verso l'ingresso.</i>\n\nOttieni l'oggetto unico: {c:QItemSilverKey}."
EventGetLantern.text,Prendi l'oggetto comune: {c:QItemLantern}.
EventClue2A.text,"<i>Trovi un ritaglio di un diario, datato 5 Luglio 1918.\n""Le condizioni di mia moglie hanno incominciato a peggiorare di recente.  So che è solo una questione di tempo e ho già preparato un posto per lei assieme agli altri corpi nel profondo del terreno.""</i>\n\nOttieni l'oggetto unico: {c:QItemCultSigil}."
EventGetItem5.text,Prendi l'oggetto comune: {c:QItemLantern}.
EventGetAxe.text,Prendi l'oggetto comune: {c:QItemAxe}.
EventGetItem4.text,Prendi l'oggetto comune: {c:QItemAxe}.
EventGetHeal.text,Ricevi l'Incantesimo: {c:QItemFleshWard}.
EventGetItem2.text,Prendi l'oggetto comune: {c:QItemWhiskey}.
EventGetItem1.text,Prendi l'oggetto comune: {c:QItemSedative}.
PuzzleGuestStorage.button1,{qst:CONTINUE}
PuzzlePuzzlebox.button1,{qst:CONTINUE}
PuzzleSuitcase.button1,{qst:CONTINUE}
PuzzleFrontDoor.button1,{qst:CONTINUE}
PuzzlePowerFailure.button1,{qst:CONTINUE}
ACTIONSEARCH,{action} Cerca
ACTIONEXPLORE,{action} Esplora
FORFEIT,Annulla
NO,No
PLACE1BARRICADE,Piazza 1 barricata come mostrato.
PLACE1EXPLORETOKEN,Piazza 1 Token Esplorazione come mostrato.
PLACE2EXPLORETOKEN,Piazza 2 Token Esplorazione come mostrato.
PLACE2SEARCHTOKEN,Piazza 2 Token Ricerca come mostrato.
PLACE3SEARCHTOKEN,Piazza 3 Token Ricerca come mostrato.
PLACE1WALLTOKEN,Piazza 1 Token Muro come mostrato.
PLACEWALLTOKEN,Piazza i Token Muro come mostrato.
THEEND,FINE
UNABLETOATTACK,Incapace di Attaccare
UNLOCK,Sblocca
WALTERLYNCH,Walter Lynch
YES,Si
TokenCeremonyBarred.text,<i>Questa porta conduce nelle profondità della casa.</i>
TokenCeremonyBarred.button1,{qst:ACTIONEXPLORE}
TokenBasement2A.text,<i>Strane fialee contenitori si trovano sulla panchina</i>
TokenBasement2A.button1,{qst:ACTIONSEARCH}
TokenBasement2B.text,{qst:TokenBasement2A.text}
TokenBasement2B.button1,{qst:ACTIONSEARCH}
TokenBasementDoor2A.text,<i>Una porta giace ai piedi delle scale.</i>
TokenBasementDoor2A.button1,{qst:ACTIONEXPLORE}
TokenBasementDoor2ALocked.text,<i>La porta che conduce in questa stanza è sigillata con un lucchetto che si aprirà solo se hai il sigillo corretto.</i>\n\nQuesto token può essere esplorato solamente da un investigatore che possiede il Simbolo del Culto.
TokenBasementDoor2ALocked.button1,{qst:ACTIONEXPLORE}
TokenBasementDoor2B.text,{qst:TokenBasementDoor2A.text}
TokenBasementDoor2B.button1,{qst:ACTIONEXPLORE}
TokenGuest3A.text,<i>I cassetti possono contenere qualcosa di interessante.</i>
TokenGuest3A.button1,{qst:ACTIONSEARCH}
TokenGuest3B.text,{qst:TokenGuest3A.text}
TokenGuest3B.button1,{qst:ACTIONSEARCH}
TokenGuestDoor3A.text,<i>La porta, di solido legno di faggio, è ben intagliata e lavorata...conduce alla camera degli ospiti.</i>
TokenGuestDoor3A.button1,{qst:ACTIONEXPLORE}
TokenGuestDoor3B.text,{qst:TokenGuestDoor3A.text}
TokenGuestDoor3B.button1,{qst:ACTIONEXPLORE}
TokenGuestDoor3BLocked.text,<i>Questa porta, di solido legno di faggio, è chiusa e conduce alla camera degli ospiti</i>\n\nQuesto token può essere esplorato solamente da un investigatore che possiede la Chiave d'Argento.
TokenGuestDoor3BLocked.button1,{qst:ACTIONEXPLORE}
TokenStorage3A.text,<i>Vi sono diverse scatole impilate le une sulle altre...una in particolare attira la tua attenzione in quanto presenta degli strani simboli.</i>
TokenStorage3A.button1,{qst:ACTIONSEARCH}
TokenStorage3B.text,{qst:TokenStorage3A.text}
TokenStorage3B.button1,{qst:ACTIONSEARCH}
TokenStorageDoor.text,<i>Questa porta conduce nel ripostiglio.</i>
TokenStorageDoor.button1,{qst:ACTIONEXPLORE}
TokenMaster3A.text,<i>I cassetti possono contenere qualcosa di interessante.</i>
TokenMaster3A.button1,{qst:ACTIONSEARCH}
TokenMaster3B.text,<i>Noti una valigia dietro la sedia, è ben tenuta ed in ottime condizioni.</i>
TokenMaster3B.button1,{qst:ACTIONSEARCH}
TokenMasterDoor3A.text,<i>Questa porta conduce alla Stanza da Letto Padronale.</i>
TokenMasterDoor3A.button1,{qst:ACTIONEXPLORE}
TokenMasterDoor3ALocked.text,"<i>Questa porta conduce alla Stanza da Letto Padronale, può essere esplorata da un investigatore in posesso della Chiave d'Argento.</i>"
TokenMasterDoor3ALocked.button1,{qst:ACTIONEXPLORE}
TokenMasterDoor3B.text,{qst:TokenMasterDoor3A.text}
TokenMasterDoor3B.button1,{qst:ACTIONEXPLORE}
TokenKitchen3A.text,<i>Qualcosa di sinistro giace sul tavolo.</i>
TokenKitchen3A.button1,{qst:ACTIONSEARCH}
TokenKitchen3B.text,<i>La porta dell'armadio della cucina è stata lasciata socchiusa, ma la scarsa illuminazione della stanza non ti consente di vedere cosa c'è all'interno.</i>
TokenKitchen3B.button1,{qst:ACTIONSEARCH}
TokenFreezer3A.text,<i>Il ghiaccio del refrigeratore si sta lentamente sciogliendo e gocciola sul pavimento.</i>
TokenFreezer3A.button1,{qst:ACTIONSEARCH}
TokenFreezer3B.text,{qst:TokenFreezer3A.text}
TokenFreezer3B.button1,{qst:ACTIONSEARCH}
TokenOperating3A.text,<i>Questa stanza sembra essere stata sede di azioni oscure e terribili, hai una brutta sensazione.</i>
TokenOperating3A.button1,{qst:ACTIONSEARCH}
TokenOperating3B.text,{qst:TokenOperating3A.text}
TokenOperating3B.button1,{qst:ACTIONSEARCH}
TokenGarden2A.text,<i>Qualcosa è appoggiato contro il muro.</i>
TokenGarden2A.button1,{qst:ACTIONSEARCH}
TokenGarden2B.text,<i>Quì il terreno è stato smosso di recente.</i>
TokenGarden2B.button1,{qst:ACTIONSEARCH}
TokenGardenDoor2A.text,<i>Questa porta conduce al giardino.</i>
TokenGardenDoor2A.button1,{qst:ACTIONEXPLORE}
TokenGardenDoor2B.text,{qst:TokenGardenDoor2A.text}
TokenGardenDoor2B.button1,{qst:ACTIONEXPLORE}
TokenGardenDoor2BLocked.text,<i>La porta che conduce al giardino è sigillata con un lucchetto che si aprirà solo se hai il sigillo corretto.</i>\n\nQuesto token può essere esplorato solamente da un investigatore con il Simbolo del Culto.
TokenGardenDoor2BLocked.button1,{qst:ACTIONEXPLORE}
EventNo1E.text,"Non hai selezionato Le Case della Follia Prima Edizione nelle opzioni di gioco.\n\nQuesto scenario non dispone ancora di una versione basata unicamente sulla Seconda Edizione, saranno quindi richieste Tessere della Mappa sostitutive."
EventNo1E.button1,{qst:CONTINUE}
EventPrologue.text,"Una leggera pioggia cade sulla tua faccia mentre esci dall'auto davanti alla tenuta. La casa è enorme e trascurata...mentre ti avvicini, un silenzio misterioso la avvolge. Bussi alla porta e non c'è risposta. Un attimo dopo, la porta si apre cigolando di sua spontanea volontà, e tu entri nell'atrio dell'enorme casa."
EventPrologue.button1,{qst:CONTINUE}
EventFoyerTile.text,Piazza la Tessera della Mappa {MAD01}Atrio come mostrato.
EventFoyerTile.button1,{qst:CONTINUE}
EventFoyerSearchToken.text,<i>Un piedistallo è posizionato contro al muro di questo pianerottolo</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventFoyerSearchToken.button1,{qst:CONTINUE}
EventPrologue3B.text,"Anche se la casa è antica, non fa un singolo cigolio. Sembra come se la casa stesse trattenendo il fiato, aspettando che qualcosa di terribile accada. Il silenzio è improvvisamente infranto da un urlo raccapricciante che riecheggia dalla direzione del laboratorio. La casa trema come se ci fosse un terremoto, e i quadri impolverati cadono dalle pareti ".
EventPrologue3B.button1,{qst:CONTINUE}
EventKitchenTile.text,Piazza la Tessera della Mappa {MAD01}Sala da Pranzo come mostrato.
EventKitchenTile.button1,{qst:CONTINUE}
EventExporeKitchen.text,{qst:PLACE3SEARCHTOKEN}
EventExporeKitchen.button1,{qst:CONTINUE}
EventExporeLabTile.text,Piazza la Tessera della Mappa {MAD01}Laboratorio come mostrato.
EventExporeLabTile.button1,{qst:CONTINUE}
EventExporeLabExplore.text,{qst:PLACE1EXPLORETOKEN}
EventExporeLabExplore.button1,{qst:CONTINUE}
EventExporeLab.text,{qst:PLACE3SEARCHTOKEN}
EventExporeLab.button1,{qst:CONTINUE}
EventHallTile.text,Piazza la Tessera della Mappa {MAD01}Corridoio 2 e {MAD01}Corridoio 4 come mostrato.
EventHallTile.button1,{qst:CONTINUE}
EventHallWallToken.text,{qst:PLACE1WALLTOKEN}
EventHallWallToken.button1,{qst:CONTINUE}
EventHallSearchTokens.text,{qst:PLACE2SEARCHTOKEN}
EventHallSearchTokens.button1,{qst:CONTINUE}
EventHallExploreToken3A.text,{qst:PLACE2EXPLORETOKEN}
EventHallExploreToken3A.button1,{qst:CONTINUE}
EventHallExploreToken3B.text,{qst:PLACE2EXPLORETOKEN}
EventHallExploreToken3B.button1,{qst:CONTINUE}
EventGardenTile.text,Piazza la Tessera della Mappa {MAD01}Giardino come mostrato.
EventGardenTile.button1,{qst:CONTINUE}
EventGardenAddSearch.text,<i>C'è qualcosa sotto la sedia.</i>\n\nPiazza 1 segnalino Ricerca come mostrato.
EventGardenAddSearch.button1,{qst:CONTINUE}
EventGardenExploreToken2A.text,{qst:PLACE1EXPLORETOKEN}
EventGardenExploreToken2A.button1,{qst:CONTINUE}
EventGardenExploreToken2B.text,{qst:PLACE1EXPLORETOKEN}
EventGardenExploreToken2B.button1,{qst:CONTINUE}
EventBasementTile.text,Piazza la Tessera della Mappa {MAD01}Piano dello Scantinato come mostrato.
EventBasementTile.button1,{qst:CONTINUE}
EventBasementAddSearch.text,<i>Noti qualcosa nelle ombre.</i>\n\nPiazza 1 segnalino Ricerca come mostrato.
EventBasementAddSearch.button1,{qst:CONTINUE}
EventBasementExploreToken2A.text,{qst:PLACE1EXPLORETOKEN}
EventBasementExploreToken2A.button1,{qst:CONTINUE}
EventBasementExploreToken2B.text,{qst:PLACE1EXPLORETOKEN}
EventBasementExploreToken2B.button1,{qst:CONTINUE}
EventMasterLock.text,"<i>Questa porta è solida e robusta ed è chiusa, dovrai trovare una chiave se vuoi aprirla.</i>"
EventMasterLock.button1,{qst:CONTINUE}
EventMasterLockKey.text,"<i>Questa porta è chiusa, può essere esplorata da un investigatore in possesso della Chiave d'Argento.</i>"
EventMasterLockKey.button1,{qst:CONTINUE}
EventMasterLockKey.button2,{qst:FORFEIT}
EventMasterTile.text,Piazza la Tessera della Mappa {MAD01}Stanza da Letto Padronale come mostrato.
EventMasterTile.button1,{qst:CONTINUE}
EventMasterSeal.text,{qst:PLACEWALLTOKEN}
EventMasterSeal.button1,{qst:CONTINUE}
EventMasterSearch3A.text,<i>I cassetti possono contenere qualcosa di interessante.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventMasterSearch3A.button1,{qst:CONTINUE}
EventMasterSearch3B.text,<i>Noti una valigia dietro la sedia.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventMasterSearch3B.button1,{qst:CONTINUE}
EventGuestLock.text,{qst:EventMasterLock.text}
EventGuestLock.button1,{qst:CONTINUE}
EventGuestLockKey.text,{qst:EventMasterLockKey.text}
EventGuestLockKey.button1,{qst:UNLOCK}
EventGuestLockKey.button2,{qst:FORFEIT}
EventGuestTile.text,Piazza la {MAD01}Stanza da Letto degli Ospiti come mostrato.
EventGuestTile.button1,{qst:CONTINUE}
EventGuestSearch3A.text,<i>I cassetti possono contenere qualcosa di interessante.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventGuestSearch3A.button1,{qst:CONTINUE}
EventGuestSearch3B.text,{qst:EventGuestSearch3A.text}
EventGuestSearch3B.button1,{qst:CONTINUE}
EventGuestStorageExplore.text,{qst:PLACE1EXPLORETOKEN}
EventGuestStorageExplore.button1,{qst:CONTINUE}
EventStorageExplore3A.text,<i>Vi sono diverse scatole impilate le une sulle altre...una in particolare attira la tua attenzione in quanto presenta degli strani simboli.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventStorageExplore3A.button1,{qst:CONTINUE}
EventStorageExplore3B.text,{qst:EventStorageExplore3A.text}
EventStorageExplore3B.button1,{qst:CONTINUE}
EventGardenLock.text,<i>La porta che conduce al Giardino è chiusa da un lucchetto che si aprirà solo se conosci la sequenza corretta.</i>
EventGardenLock.button1,{qst:CONTINUE}
EventGardenLockKey.text,<i>La porta che conduce al Giardino è sigillata con un lucchetto che si aprirà solo se hai il sigillo corretto.</i>\n\nQuesto segnalino può essere eplorato solamente da un investigatore in possesso del Simbolo del Culto.
EventGardenLockKey.button1,{qst:UNLOCK}
EventGardenLockKey.button2,{qst:FORFEIT}
EventGardenLockUnlocked.text,<i>Qui il terreno sembra essere stato mosso di recente.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventGardenLockUnlocked.button1,{qst:CONTINUE}
EventGardenJammed.text,<i>Grugnisci per lo sforzo mentre cerchi di forzare la porta.</i>\n\nTest {strength}.
EventGardenJammed.button1,{qst:CONTINUE}
EventGardenExplore2A.text,<i>Qualcosa è appoggiato contro il muro.</i>\n\nPiazza un segnalino Ricerca come mostrato.
EventGardenExplore2A.button1,{qst:CONTINUE}
EventGardenExplore2B.text,{qst:EventGardenLockUnlocked.text}
EventGardenExplore2B.button1,{qst:CONTINUE}
EventBasementLock.text,<i>La porta che conduce in questa stanza è sigillata con un lucchetto che si aprirà solo se hai il sigillo corretto.</i>
EventBasementLock.button1,{qst:CONTINUE}
EventBasementLockKey.text,<i>La porta che conduce in questa stanza è sigillata con un lucchetto che si aprirà solo se hai il sigillo corretto.</i>\n\nL'investigatore attivo può continuare se possiede il Simbolo del Culto.
EventBasementLockKey.button1,{qst:UNLOCK}
EventBasementLockKey.button2,{qst:FORFEIT}
EventBasementLockUnlocked.text,{qst:PLACE2SEARCHTOKEN}
EventBasementLockUnlocked.button1,{qst:CONTINUE}
EventBasementExplore2A.text,{qst:PLACE2SEARCHTOKEN}
EventBasementExplore2A.button1,{qst:CONTINUE}
EventBasementJammed.text,{qst:EventGardenJammed.text}
EventBasementJammed.button1,{qst:CONTINUE}
EventBasementExplore2B.text,{qst:PLACE2SEARCHTOKEN}
EventBasementExplore2B.button1,{qst:CONTINUE}
EventBasementExploreBarrier.text,{qst:PLACE1BARRICADE}
EventBasementExploreBarrier.button1,{qst:CONTINUE}
EventBasementCeremonyExplore.text,{qst:PLACE1EXPLORETOKEN}
EventBasementCeremonyExplore.button1,{qst:CONTINUE}
EventCeremonyExplore.text,"<i>Come afferri la maniglia percepisci un male oscuro permeare attraverso la porta.  Con tuo grande solievo, la porta, semplicemente non si apre.</i>"
EventCeremonyExplore.button1,{qst:CONTINUE}
EventGuestStorageDoor.text,<i>La porta che conduce in questa stanza è chiusa da un lucchetto a combinazione arrugginito.</i>
EventGuestStorageDoor.button1,{qst:CONTINUE}
EventPuzzlebox.text,<i>Trovi una scatola ricoperta di misteriose rune.</i>
EventPuzzlebox.button1,{qst:CONTINUE}
EventSuitcase.text,<i>Trovi una robusta valigia sigillata da un semplice lucchetto a combinazione.</i>
EventSuitcase.button1,{qst:CONTINUE}
EventGetLantern.button1,{qst:CONTINUE}
EventGetAxe.button1,{qst:CONTINUE}
EventGetShotgun3A.button1,{qst:CONTINUE}
EventGetShotgun3B.button1,{qst:CONTINUE}
EventGetEvidence3A.text,<i>Scopri prove schiaccianti riguardo agli eventi nella tenuta Lynch: Dopo che Walter Lynch ha perso suo figlio a causa di una malattia, ha tentato di contattarlo tramite una seduta spiritica, ma è diventato posseduto da uno spirito malvagio. Questo spirito non ha una vera agenda oltre a tormentare le menti e giocare con le sue vittime... cresce più forte mentre si nutre di anime. Il posseduto Walter smise di andare al lavoro e Il suo compagno in affari ha inviato diverse persone per indagare, ma non sono mai tornate... invece furono uccisi o finirono per essere posseduti anche loro dallo spirito....</i>\n\nGuadagni 2 Segnalini Indizio.
EventGetEvidence3A.button1,{qst:CONTINUE}
EventGetEvidence3B.text,{qst:EventGetEvidence3A.text}
EventGetEvidence3B.button1,{qst:CONTINUE}
EventGetElderSign3A.button1,{qst:CONTINUE}
EventGetElderSign3B.button1,{qst:CONTINUE}
EventGetExtinguisher.button1,{qst:CONTINUE}
EventGetItem1.button1,{qst:CONTINUE}
EventGetItem2.button1,{qst:CONTINUE}
EventGetItem3.text,<i>Ti imbati in un vecchio tomo impolverato ma le cui pagine sono in ottime condizioni.</i>\n\nTest {lore}.
EventGetItem3.button1,{qst:CONTINUE}
EventGetItem3.button2,{qst:CONTINUE}
EventGetHeal.button1,{qst:CONTINUE}
EventFailHeal.text,<i>La tua mente si perde nei simboli che sembrano non rimanere fermi sulla pagina.  Distogli lo sguardo e quando lo riporti nuovamente indietro i simboli sono spariti.</i>
EventFailHeal.button1,{qst:CONTINUE}
EventGetItem4.button1,{qst:CONTINUE}
EventGetItem5.button1,{qst:CONTINUE}
EventGetItem6.text,<i>Non trovi nulla di interessante.</i>
EventGetItem6.button1,{qst:CONTINUE}
EventGetItem7.text,"<i>Nulla degli oggetti che trovi sembra utile, ma sembrano fornire il giusto contesto all'ambiente circostante</i>\n\nGuadagni 1 Segnalino Indizio."
EventGetItem7.button1,{qst:CONTINUE}
EventGetItem8.text,"<i>Nulla degli oggetti che trovi sembra utile, ma sembrano fornire il giusto contesto all'ambiente circostante</i>\n\nGuadagni 1 Segnalino Indizio."
EventGetItem8.button1,{qst:CONTINUE}
EventGetItem9.text,"<i>Nulla degli oggetti che trovi sembra utile, ma sembrano fornire il giusto contesto all'ambiente circostante</i>\n\nGuadagni 2 Segnalini Indizio."
EventGetItem9.button1,{qst:CONTINUE}
EventGetItem10.text,"<i>Nulla degli oggetti che trovi sembra utile, ma sembrano fornire il giusto contesto all'ambiente circostante</i>\n\nGuadagni 2 Segnalini Indizio."
EventGetItem10.button1,{qst:CONTINUE}
EventClue1A.text,"<i>Sei consumato da una visione di Walter che conduce una seduta per comunicare con il suo defunto figlio.  Osservi uno spirito indesiderato apparire ed avvolgere la sua mente con un unico comando: ""NUTRIMI DI ANIME!""</i>"
EventClue1A.button1,{qst:CONTINUE}
EventClue1BShoggoth.text,"<i>Da qualche parte nella casa, Walter tenta di usare la tua stessa carne e sangue per attuare un'antico rituale di evocazione.  Il suolo trema, gettando a terra libri e ninnoli dagli scaffali.</i>"
EventClue1BShoggoth.button1,{qst:CONTINUE}
EventClue1BNoShoggoth.text,"<i>Da qualche parte nella casa, Walter tenta di usare la tua stessa carne e sangue per attuare un'antico rituale di evocazione.  Il suolo trema, gettando a terra libri e ninnoli dagli scaffali.</i>\n\nObiettivo: Impedisci al maniaco di prelevare dei campioni."
EventClue1BNoShoggoth.button1,{qst:CONTINUE}
EventClue1C.text,"<i>La voce di Walter rieccheggia attraverso la dimora: ""DOBBIAMO NUTRIRLO!"" Poi un doloroso coro di gemiti malaticci riempie il maniero.  E' un suono irritante...quasi, ma non del tutto...umano.</i>\n\nPiazza 1 Segnalino Esplorazione come mostrato.\nObiettivo: Fuggi attraverso l'Atrio."
EventClue1C.button1,{qst:CONTINUE}
EventClue2A.button1,{qst:CONTINUE}
EventClue2B.button1,{qst:CONTINUE}
EventClue3A.button1,{qst:CONTINUE}
EventClue3B.button1,{qst:CONTINUE}
SpawnManiac.text,<i>La porta esplode in mille schegge quando un pazzo furioso irrompe nella stanza.</i>\n\nPiazza un maniaco nella stessa casella di {rnd:hero}.
SpawnManiac.button1,{qst:CONTINUE}
EventShoggothMove.text,Lo Shoggoth si trova nella casella indicata?
EventShoggothMove.button1,{qst:YES}
EventShoggothMove.button2,{qst:NO}
EventShoggothMoveTowards.text,Lo Shoggoth muove di 2 caselle verso il punto indicato.
EventShoggothMoveTowards.button1,{qst:CONTINUE}
EventEndLose1B.text,"<i>Di sopra, in soffitta, dopo aver terminato il suo compito, Walter si impicca...e per voi e la vostra anima ora non vi è più alcuna salvezza.</i>"
EventEndLose1B.button1,{qst:THEEND}
EventManiacSample.text,<i>Il maniaco ti tira i capelli.</i>\n\nL'investigatore con meno {agility} nella stessa casella del Maniaco, effettua un test di ({agility}; 1).
EventManiacSample.button1,Nessuno nella casella
EventManiacSample.button2,Successo
EventManiacSample.button3,Fallimento
EventManiacSampleFail.text,<i>Il maniaco ti strappa i capelli e mentre li osserva con soddisfazione, li vedete svanire dalle sue mani e sentite che qualcosa dentro di voi è cambiato, come se un vuoto si fosse venuto a creare...nella vostra anima...</i>
EventManiacSampleFail.button1,{qst:CONTINUE}
SpawnShoggothBasement.text,Piazza uno Shoggoth nella casella indicata.\nObiettivo: Impedisci allo Shoggoth di fuggire.
SpawnShoggothBasement.button1,{qst:CONTINUE}
SpawnShoggothBasementEnter.text,{qst:SpawnShoggothBasement.text}
SpawnShoggothBasementEnter.button1,{qst:CONTINUE}
SpawnShoggothBasementStair.text,{qst:SpawnShoggothBasementEnter.text}
SpawnShoggothBasementStair.button1,{qst:CONTINUE}
SpawnShoggothBasementStairEnter.text,{qst:SpawnShoggothBasement.text}
SpawnShoggothBasementStairEnter.button1,{qst:CONTINUE}
SpawnShoggothFoyer.text,{qst:SpawnShoggothBasement.text}
SpawnShoggothFoyer.button1,{qst:CONTINUE}
EventEndWin1B.text,<i>Lo shoggoth cade a terra in una massa contorta di tentacoli.  Qualunque pazzia Walter avesse contratto nel suo viaggio e nelle sue ricerche arcane, ora è distrutta per sempre.</i>
EventEndWin1B.button1,{qst:THEEND}
EventTimer1NoClue.text,<b>L'orologio batte le 10</b>\n\nOgni investigatore subisce 1 Orrore.
EventTimer1NoClue.button1,{qst:CONTINUE}
EventTimer22ANoManiac.text,<b>L'orologio batte le 11</b>\n\n<i>L'orologio rompe l'inquietante silenzio.</i>
EventTimer22ANoManiac.button1,{qst:CONTINUE}
EventTimer22A.text,<b>L'orologio batte le 11</b>\n\n<i>Un pazzo raccoglie la sua ascia e corre lungo il corridoio.</i>\n\nIl maniaco si muove di 2 caselle verso l'investigatore più vicino.
EventTimer22A.button1,{qst:CONTINUE}
