.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese,Czech
EventIntro1.text,"The office is thick with cigarette smoke.  Filing cabinets line the wall, and a pile of magazines sticks out from under the leg of a cheap wooden desk.  Behind the desk sits a pudgy, bald man full of nervous energy.\n\n""It's about time you got here,"" he says while tapping his fingers on the desk.  ""Time is money, and we're losing it by the truckload.""\n\n""I need your help finding our missing business parter.""\nHe tosses you a dirty manila folder.  ""Our missing man is named Walter Lynch.  He's always been the brains of this operation, and without him, this business venture is a bust.  He hasn't been answering leters, and all our other investigations have been..."" he pauses, choosing his next word carefully, ""unsuccessful.""\n\nHe glances at the folder.  ""You have everything we know.  Bring him back to use, more than you know is at stake.",,,,,,,,,
EventIntro1.button1,Continue,,,,,,,,,
EventIntro2.text,"Later, in your car, you carefully open the soiled folder.  You find a crude map with directions to a mansion just outside Arkham, Massachusetts.  The drawing is primitive, as if sketched by a child.  Behind the map lies a turn journal entry:\n\n""June 8, 1918: It has been nearly a year since the illness came for my son.  The doctors were mystified as it slowly consumed his flesh.  I am a man of action and could not sit around and wait for my heir to deteriorate.\nI witnessed many mysteries and horrors, but the cure still eluded me.\n\nLittle did I know that it was already too late.  Back home, my son passed from this world wwith no father there to comfort him.\n\nI returned home to my wife Edith, intending to stay for good.  We frieved.  Life slowly returned to normal and I returned to work.  I started up new business ventures and grew my fortune while my soul languished.\n\nThe healing process was not easy, but I found that helping mend Edith's heart helped me ignore my own pain.",,,,,,,,,
EventIntro2.button1,Continue,,,,,,,,,
EventIntro3.text,"A breifer entry lies on the back.\n\n""January 21, 1919: How could this happen?  Why could this happen?\n\nYou try to protect yourself.  You try to protect your family, but it doesn't matter.\n\nOh Edith, your're all I have.  How could it happen to you?\n\nI MUST dig deeper.  I will turn over stones that I dared not touch.  I WILL find answers!",,,,,,,,,
EventIntro3.button1,Continue,,,,,,,,,
EventPrologue.text,"Light rain falls on your face as you exit your car in front of the estate.  The house is huge, unkept, and shrouded in eerie silence as you approach.  You rap on the door, and there is no response.  A moment later, the door creaks open of its own accord, and you enter the foyer of the enormous mansion.",,,,,,,,,
EventPrologue.button1,Continue,,,,,,,,,
EventMinCam.text,,,,,,,,,,
EventMinCam.button1,Continue,,,,,,,,,
EventMaxCam.text,,,,,,,,,,
EventMaxCam.button1,Continue,,,,,,,,,
EventFoyerTile.text,Place {MAD01}Foyer tile as shown.,,,,,,,,,
EventFoyerTile.button1,Continue,,,,,,,,,
EventInvestigators.text,Place investigators in the space shown.  Each investigator gains two Clue tokens.,,,,,,,,,
EventInvestigators.button1,Continue,,,,,,,,,
EventFoyerSearchToken.text,<i>A hall stand is against the wall on this landing.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventFoyerSearchToken.button1,Continue,,,,,,,,,
EventFoyerExploreTokens.text,Place 4 explore Tokens as shown.,,,,,,,,,
EventFoyerExploreTokens.button1,Continue,,,,,,,,,
EventPrologue3A.text,As you set foot in the vacant home you notice the faint smell of burnt food.  Perhaps someone forgot to turn off the stove?,,,,,,,,,
EventPrologue3A.button1,Continue,,,,,,,,,
EventPrologue3B.text,"Although the house is ancient, it doesn't make a single groan.  It feels like the house is holding its breath, waiting for something awful to happen.  The silence is suddenly shattered by a bloodcurdling screaming, echoing from the direction of the laboratory.  The house shakes like there's an earthquake, and disty paintings fall off the walls.",,,,,,,,,
EventPrologue3B.button1,Continue,,,,,,,,,
EventInitStory.text,,,,,,,,,,
EventInitStory.button1,Continue,,,,,,,,,
EventInit2A.text,,,,,,,,,,
EventInit2A.button1,Continue,,,,,,,,,
EventInit2B.text,,,,,,,,,,
EventInit2B.button1,Continue,,,,,,,,,
EventInit1A.text,,,,,,,,,,
EventInit1A.button1,Continue,,,,,,,,,
EventInit1B.text,,,,,,,,,,
EventInit1B.button1,Continue,,,,,,,,,
EventInit1C.text,,,,,,,,,,
EventInit1C.button1,Continue,,,,,,,,,
EventKitchenTile.text,Place {MAD01}Dining Room tile as shown.,,,,,,,,,
EventKitchenTile.button1,Continue,,,,,,,,,
EventStopKitchenMythos.text,,,,,,,,,,
EventStopKitchenMythos.button1,Continue,,,,,,,,,
EventExporeKitchen3A.text,,,,,,,,,,
EventExporeKitchen3A.button1,Continue,,,,,,,,,
EventExporeKitchen3B.text,,,,,,,,,,
EventExporeKitchen3B.button1,Continue,,,,,,,,,
EventExporeKitchen.text,Place 3 Search Tokens as shown.,,,,,,,,,
EventExporeKitchen.button1,Continue,,,,,,,,,
EventExporeLabTile.text,Place {MAD01}Laboratory tile as shown.,,,,,,,,,
EventExporeLabTile.button1,Continue,,,,,,,,,
EventExporeLabExplore.text,Place one Explore Token as shown,,,,,,,,,
EventExporeLabExplore.button1,Continue,,,,,,,,,
EventExporeLab3A.text,,,,,,,,,,
EventExporeLab3A.button1,Continue,,,,,,,,,
EventExporeLab3B.text,,,,,,,,,,
EventExporeLab3B.button1,Continue,,,,,,,,,
EventExporeLab.text,Place 3 Search Tokens as shown.,,,,,,,,,
EventExporeLab.button1,Continue,,,,,,,,,
EventHallTile.text,Place {MAD01}Hallway 2 and {MAD01}Hallway 4 tiles as shown.,,,,,,,,,
EventHallTile.button1,Continue,,,,,,,,,
EventStopHallMythos.text,,,,,,,,,,
EventStopHallMythos.button1,Continue,,,,,,,,,
EventHallWallToken.text,Place 1 wall token as shown.,,,,,,,,,
EventHallWallToken.button1,Continue,,,,,,,,,
EventHallSearchTokens.text,Place 2 search tokens as shown.,,,,,,,,,
EventHallSearchTokens.button1,Continue,,,,,,,,,
EventHallExploreToken3A.text,Place 2 Explore Tokens as shown.,,,,,,,,,
EventHallExploreToken3A.button1,Continue,,,,,,,,,
EventHallExploreToken3B.text,Place 2 Explore Tokens as shown.,,,,,,,,,
EventHallExploreToken3B.button1,Continue,,,,,,,,,
EventGardenTile.text,Place {MAD01}Garden tile as shown.,,,,,,,,,
EventGardenTile.button1,Continue,,,,,,,,,
EventGardenAddSearch.text,<i>There is something under the chair.</i>\n\nPlace 1 Search token as shown.,,,,,,,,,
EventGardenAddSearch.button1,Continue,,,,,,,,,
EventGardenExploreToken2A.text,Place 1 Explore Token as shown.,,,,,,,,,
EventGardenExploreToken2A.button1,Continue,,,,,,,,,
EventGardenExploreToken2B.text,Place 1 Explore Token as shown.,,,,,,,,,
EventGardenExploreToken2B.button1,Continue,,,,,,,,,
EventBasementTile.text,Place {MAD01}Basement Landing as shown.,,,,,,,,,
EventBasementTile.button1,Continue,,,,,,,,,
EventBasementAddSearch.text,<i>You notice something in the shadows.</i>\n\nPlace 1 Search token as shown.,,,,,,,,,
EventBasementAddSearch.button1,Continue,,,,,,,,,
EventBasementExploreToken2A.text,Place 1 Explore Token as shown.,,,,,,,,,
EventBasementExploreToken2A.button1,Continue,,,,,,,,,
EventBasementExploreToken2B.text,Place 1 Explore Token as shown.,,,,,,,,,
EventBasementExploreToken2B.button1,Continue,,,,,,,,,
EventMasterLock.text,"<i>This door is locked, you will need to find a key.</i>",,,,,,,,,
EventMasterLock.button1,Continue,,,,,,,,,
EventMasterLockKey.text,"<i>This door is locked, it can be explored by an investigator with the silver key.</i>",,,,,,,,,
EventMasterLockKey.button1,Continue,,,,,,,,,
EventMasterLockKey.button2,Forfeit,,,,,,,,,
EventMasterTile.text,Place {MAD01}Master Bedroom as shown.,,,,,,,,,
EventMasterTile.button1,Continue,,,,,,,,,
EventMasterSeal.text,Place wall token as shown.,,,,,,,,,
EventMasterSeal.button1,Continue,,,,,,,,,
EventMasterSearch3A.text,<i>The drawers may hold something of interest.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventMasterSearch3A.button1,Continue,,,,,,,,,
EventMasterSearch3B.text,<i>You notice a suitcase behind the chair.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventMasterSearch3B.button1,Continue,,,,,,,,,
EventGuestLock.text,"<i>This door is locked, you will need to find a key.</i>",,,,,,,,,
EventGuestLock.button1,Continue,,,,,,,,,
EventGuestLockKey.text,<i>This door is locked</i>\n\nThe exploring investigator may continue if they have the Silver Key.,,,,,,,,,
EventGuestLockKey.button1,Unlock,,,,,,,,,
EventGuestLockKey.button2,Forfeit,,,,,,,,,
EventGuestTile3B.text,,,,,,,,,,
EventGuestTile3B.button1,Continue,,,,,,,,,
EventGuestTile.text,Place {MAD01}Guest Bedroom as shown.,,,,,,,,,
EventGuestTile.button1,Continue,,,,,,,,,
EventGuestSearch3A.text,<i>The drawers may hold something of interest.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventGuestSearch3A.button1,Continue,,,,,,,,,
EventGuestSearch3B.text,<i>The drawers may hold something of interest.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventGuestSearch3B.button1,Continue,,,,,,,,,
EventGuestStorageExplore.text,Place an Explore Token as shown.,,,,,,,,,
EventGuestStorageExplore.button1,Continue,,,,,,,,,
EventGuestStorageExploreDark.text,,,,,,,,,,
EventGuestStorageExploreDark.button1,Continue,,,,,,,,,
EventStorageExplore3A.text,<i>One of the boxes has strange markings.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventStorageExplore3A.button1,Continue,,,,,,,,,
EventStorageExplore3B.text,<i>One of the boxes has strange markings.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventStorageExplore3B.button1,Continue,,,,,,,,,
EventGardenLock.text,<i>The door leading out to the Garden is sealed with a lock that will only open if you know the proper phrase.</i>,,,,,,,,,
EventGardenLock.button1,Continue,,,,,,,,,
EventGardenLockKey.text,<i>The door leading out to the Garden is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThis token can be explored by an investigator with the Cult Sigil.,,,,,,,,,
EventGardenLockKey.button1,Unlock,,,,,,,,,
EventGardenLockKey.button2,Forfeit,,,,,,,,,
EventGardenLockUnlocked.text,<i>The ground has been disturbed here.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventGardenLockUnlocked.button1,Continue,,,,,,,,,
EventGardenJammed.text,<i>You grunt with effort as you try to force the door open.</i>\n\nTest {strength}.,,,,,,,,,
EventGardenJammed.button1,Continue,,,,,,,,,
EventGardenJammedUnlock.text,,,,,,,,,,
EventGardenJammedUnlock.button1,Continue,,,,,,,,,
EventGardenExplore2A.text,<i>Something is proped up against the wall</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventGardenExplore2A.button1,Continue,,,,,,,,,
EventGardenExplore2B.text,<i>The ground has been disturbed here.</i>\n\nPlace a Search Token as shown.,,,,,,,,,
EventGardenExplore2B.button1,Continue,,,,,,,,,
EventBasementLock.text,<i>The door leading into this room is sealed with a lock that will only open if you have the correct sigil.</i>,,,,,,,,,
EventBasementLock.button1,Continue,,,,,,,,,
EventBasementLockKey.text,<i>The door leading into this room is sealed with a lock that will only open if you have the correct sigil.</i>\n\nThe exploring investigator may continue if they have the Cult Sigil.,,,,,,,,,
EventBasementLockKey.button1,Unlock,,,,,,,,,
EventBasementLockKey.button2,Forfeit,,,,,,,,,
EventBasementLockUnlocked.text,Place 2 Search Tokens as shown.,,,,,,,,,
EventBasementLockUnlocked.button1,Continue,,,,,,,,,
EventBasementExplore2A.text,Place 2 Search Tokens as shown.,,,,,,,,,
EventBasementExplore2A.button1,Continue,,,,,,,,,
EventBasementJammed.text,<i>You grunt with effort as you try to force the door open.</i>\n\nTest {strength}.,,,,,,,,,
EventBasementJammed.button1,Continue,,,,,,,,,
EventBasementJammedUnlock.text,,,,,,,,,,
EventBasementJammedUnlock.button1,Continue,,,,,,,,,
EventBasementExplore2B.text,Place 2 Search Tokens as shown.,,,,,,,,,
EventBasementExplore2B.button1,Continue,,,,,,,,,
EventBasementExploreBarrier.text,Place 1 barricade as shown.,,,,,,,,,
EventBasementExploreBarrier.button1,Continue,,,,,,,,,
EventBasementCeremonyExplore.text,Place 1 explore token as shown.,,,,,,,,,
EventBasementCeremonyExplore.button1,Continue,,,,,,,,,
EventBasementRemoveBarrier.text,,,,,,,,,,
EventBasementRemoveBarrier.button1,Continue,,,,,,,,,
EventCeremonyExplore.text,"<i>A dark evil permeates through the door as you grab the door handle.  To your relief, the door simply will not open.</i>",,,,,,,,,
EventCeremonyExplore.button1,Continue,,,,,,,,,
EventGuestStorageDoor.text,<i>The door leading into this room is sealed with a rusted combination lock.</i>,,,,,,,,,
EventGuestStorageDoor.button1,Continue,,,,,,,,,
EventGuestStorageUnlocked.text,,,,,,,,,,
EventGuestStorageUnlocked.button1,Complete,,,,,,,,,
PuzzleGuestStorage.text,,,,,,,,,,
PuzzleGuestStorage.button1,Complete,,,,,,,,,
EventPuzzlebox.text,<i>You find a box covered in cryptic runes.</i>,,,,,,,,,
EventPuzzlebox.button1,Continue,,,,,,,,,
PuzzlePuzzlebox.text,,,,,,,,,,
PuzzlePuzzlebox.button1,Complete,,,,,,,,,
EventSuitcase.text,<i>You find a sturdy suitcase sealed by a simple combination lock.</i>,,,,,,,,,
EventSuitcase.button1,Continue,,,,,,,,,
PuzzleSuitcase.text,,,,,,,,,,
PuzzleSuitcase.button1,Complete,,,,,,,,,
EventGetLantern.text,Take Common Item: Kerosene Lantern.,,,,,,,,,
EventGetLantern.button1,Continue,,,,,,,,,
EventGetAxe.text,Take Common Item: Axe.,,,,,,,,,
EventGetAxe.button1,Continue,,,,,,,,,
EventGetShotgun3A.text,Take Common Item: Shotgun.,,,,,,,,,
EventGetShotgun3A.button1,Continue,,,,,,,,,
EventGetShotgun3B.text,Take Common Item: Shotgun.,,,,,,,,,
EventGetShotgun3B.button1,Continue,,,,,,,,,
EventGetEvidence3A.text,<i>You uncover startling evidence.</i>\n\nGain 3 clue tokens.,,,,,,,,,
EventGetEvidence3A.button1,Continue,,,,,,,,,
EventGetEvidence3B.text,<i>You uncover startling evidence.</i>\n\nGain 3 clue tokens.,,,,,,,,,
EventGetEvidence3B.button1,Continue,,,,,,,,,
EventGetElderSign3A.text,Take Common Item: Elder Sign Pendant.,,,,,,,,,
EventGetElderSign3A.button1,Continue,,,,,,,,,
EventGetElderSign3B.text,Take Common Item: Elder Sign Pendant.,,,,,,,,,
EventGetElderSign3B.button1,Continue,,,,,,,,,
EventGetExtinguisher.text,Take Common Item: Fire Extinguisher and gain 1 clue token.,,,,,,,,,
EventGetExtinguisher.button1,Continue,,,,,,,,,
EventGetItem.text,,,,,,,,,,
EventGetItem.button1,Continue,,,,,,,,,
EventGetItem1.text,Take Common Item: Sedative,,,,,,,,,
EventGetItem1.button1,Continue,,,,,,,,,
EventGetItem2.text,Take Common Item: Whiskey,,,,,,,,,
EventGetItem2.button1,Continue,,,,,,,,,
EventGetItem3.text,<i>You come across an old tome.</i>\n\nTest {lore}.,,,,,,,,,
EventGetItem3.button1,Continue,,,,,,,,,
EventGetItem3.button2,Continue,,,,,,,,,
EventGetHeal.text,Receive Spell: Flesh Ward.,,,,,,,,,
EventGetHeal.button1,Continue,,,,,,,,,
EventFailHeal.text,<i>Your mind is lost in the symbols that will not stay still on the page.  You break your gaze and when you look back the symbols are gone.</i>,,,,,,,,,
EventFailHeal.button1,Continue,,,,,,,,,
EventGetItem4.text,Take Common Item: Axe,,,,,,,,,
EventGetItem4.button1,Continue,,,,,,,,,
EventGetItem5.text,Take Common Item: Kerosene Lantern,,,,,,,,,
EventGetItem5.button1,Continue,,,,,,,,,
EventGetItem6.text,<i>You find nothing of interest.</i>,,,,,,,,,
EventGetItem6.button1,Continue,,,,,,,,,
EventGetItem7.text,"<i>None of the items you find are of use, but the do provide additional context to your surroundings</i>\n\nGain 1 clue token.",,,,,,,,,
EventGetItem7.button1,Continue,,,,,,,,,
EventGetItem8.text,"<i>None of the items you find are of use, but the do provide additional context to your surroundings</i>\n\nGain 2 clue tokens.",,,,,,,,,
EventGetItem8.button1,Continue,,,,,,,,,
EventGetItem9.text,"<i>None of the items you find are of use, but the do provide additional context to your surroundings</i>\n\nGain 2 clue tokens.",,,,,,,,,
EventGetItem9.button1,Continue,,,,,,,,,
EventGetItem10.text,"<i>None of the items you find are of use, but the do provide additional context to your surroundings</i>\n\nGain 3 clue tokens.",,,,,,,,,
EventGetItem10.button1,Continue,,,,,,,,,
EventClue1A.text,"<i>You are consumed by a vision of Walter leading a seance to communicate with his dead son.  You watch as an uninvited spirit wraps around his mind with one command: ""FEED ME SOULS!""</i>",,,,,,,,,
EventClue1A.button1,Continue,,,,,,,,,
EventClue1B.text,,,,,,,,,,
EventClue1B.button1,Continue,,,,,,,,,
EventClue1BShoggoth.text,"<i>Somewhere in the house, Walter attempts to use your won flesh and blood to enact an ancient summoning.  The gound shakes, knocking books and trinkets off the shelves.</i>",,,,,,,,,
EventClue1BShoggoth.button1,Continue,,,,,,,,,
EventClue1BNoShoggoth.text,"<i>Somewhere in the house, Walter attempts to use your won flesh and blood to enact an ancient summoning.  The gound shakes, knocking books and trinkets off the shelves.</i>\n\nObjective: Prevent maniacs from taking samples.",,,,,,,,,
EventClue1BNoShoggoth.button1,Continue,,,,,,,,,
EventClue1C.text,"<i>Walkter's voice echoes through the mansion: ""WE MUST FEED IT!"" Then a painful chorus of sickly groans fills the manor.  It is an unnerving sound, almost, but not quite, human.</i>\n\nPlace 1 Explore token as show.\nObjective: Escape through the foyer.",,,,,,,,,
EventClue1C.button1,Continue,,,,,,,,,
EventClue2A.text,"<i>You find a journal entry dated July 5th 1918.\n""My wife's condition has begun to deteriorate as of late.  I know it is only a matter of time, and have prepared a place for her along with the other bodies deep within the ground.""</i>\n\nGain Unique Item: Cult Sigil",,,,,,,,,
EventClue2A.button1,Continue,,,,,,,,,
EventClue2B.text,"<i>Your sight blurs and you collapse to the ground as a vision consumes you.  A man whistles a cheerful tunes as he drags a woman's limp body along the floor.  You shiver as the body is dragged into the rain, through a muddy puddle.  A shovel comes down on her head as the vision ends.</i>\n\nGain Unique Item: Cult Sigil",,,,,,,,,
EventClue2B.button1,Continue,,,,,,,,,
EventClue3A.text,"<i>The room is empty except for the burnt outline of a human on the kitchen table.  Upon closer examination, you find a simple silver key hidden in the soot.\nA trail of blackened footprints leads up the foyer stairs and right down the hall.</i>\n\nGain Unique Item: Silver Key",,,,,,,,,
EventClue3A.button1,Continue,,,,,,,,,
EventClue3B.text,"<i>The bloody mess of a man's body lies on the operating table.  Rusted instruments and crude tools lie all around him.\nThe skinless man whispers to you in horror through his lipless mouth.  ""Oh god, he wanted my flesh...""\nWith his last breath he murmurs, ""He let me stay the night..."" and hands you a key.</i>\n\nGain Unique Item: Silver Key",,,,,,,,,
EventClue3B.button1,Continue,,,,,,,,,
EventNoManiac.text,,,,,,,,,,
EventNoManiac.button1,Continue,,,,,,,,,
EventNoManiacEnd.text,,,,,,,,,,
EventNoManiacEnd.button1,Continue,,,,,,,,,
SpawnManiac.text,<i>The door explodes into splinters as a crazed madman enters the room.</i>\n\n Place a maniac in the same space as {rnd:hero}.,,,,,,,,,
SpawnManiac.button1,Continue,,,,,,,,,
EventManiacEndRound.text,,,,,,,,,,
EventManiacEndRound.button1,Continue,,,,,,,,,
EventShoggothStun.text,,,,,,,,,,
EventShoggothStun.button1,Contine,,,,,,,,,
EventShoggothMove.text,Is the shoggoth on the indicated space?,,,,,,,,,
EventShoggothMove.button1,Yes,,,,,,,,,
EventShoggothMove.button2,No,,,,,,,,,
EventShoggothMoveTowards.text,The Shoggoth moves 2 spaces towards the indicated space.,,,,,,,,,
EventShoggothMoveTowards.button1,Continue,,,,,,,,,
EventEndLose1B.text,"<i>High in the attic, Walter, having finished his task, hangs himself.</i>",,,,,,,,,
EventEndLose1B.button1,The End,,,,,,,,,
EventManiacSample.text,<i>The maniac pulls at your hair.</i>\n\nThe investigator in the same space as a Maniac with the lowest {agility} tests ({agility}; 1).,,,,,,,,,
EventManiacSample.button1,None in Space,,,,,,,,,
EventManiacSample.button2,Success,,,,,,,,,
EventManiacSample.button3,Fail,,,,,,,,,
EventManiacSample1.text,<i>The maniac rips out some of your hair.</i>,,,,,,,,,
EventManiacSample1.button1,Continue,,,,,,,,,
EventManiacSample2.text,<i>The maniac rips out some of your hair.</i>,,,,,,,,,
EventManiacSample2.button1,Continue,,,,,,,,,
EventManiacSample3.text,<i>The maniac rips out some of your hair.</i>,,,,,,,,,
EventManiacSample3.button1,Continue,,,,,,,,,
EventManiacSample4.text,<i>The maniac rips out some of your hair.</i>,,,,,,,,,
EventManiacSample4.button1,Continue,,,,,,,,,
EventSample4Count.text,,,,,,,,,,
EventSample4Count.button1,Continue,,,,,,,,,
EventSample4Count2.text,,,,,,,,,,
EventSample4Count2.button1,Continue,,,,,,,,,
SpawnShoggothBasement.text,Place a Shoggoth in the indicated space.\nObjective: Prevent the Shoggoth from escaping.,,,,,,,,,
SpawnShoggothBasement.button1,Continue,,,,,,,,,
SpawnShoggothBasementEnter.text,Place a Shoggoth in the indicated space.\nObjective: Prevent the Shoggoth from escaping.,,,,,,,,,
SpawnShoggothBasementEnter.button1,Continue,,,,,,,,,
SpawnShoggothBasementStair.text,Place a Shoggoth in the indicated space.\nObjective: Prevent the Shoggoth from escaping.,,,,,,,,,
SpawnShoggothBasementStair.button1,Continue,,,,,,,,,
SpawnShoggothBasementStairEnter.text,Place a Shoggoth in the indicated space.\nObjective: Prevent the Shoggoth from escaping.,,,,,,,,,
SpawnShoggothBasementStairEnter.button1,Continue,,,,,,,,,
SpawnShoggothFoyer.text,Place a Shoggoth in the indicated space.\nObjective: Prevent the Shoggoth from escaping.,,,,,,,,,
SpawnShoggothFoyer.button1,Continue,,,,,,,,,
EventEndWin1B.text,<i>The shoggoth falls to the ground in a writhing mass of tentacles.  Whatever madness Walter contracted on his journey is destroyed forever.</i>,,,,,,,,,
EventEndWin1B.button1,The End,,,,,,,,,
EventPreTimer1.text,,,,,,,,,,
EventPreTimer1.button1,Continue,,,,,,,,,
EventTimer1.text,,,,,,,,,,
EventTimer1.button1,Continue,,,,,,,,,
EventTimer1NoClue.text,<b>Clock Strikes 10</b>\n\nEach investifator takes 1 horror.,,,,,,,,,
EventTimer1NoClue.button1,Continue,,,,,,,,,
EventPreTimer2.text,,,,,,,,,,
EventPreTimer2.button1,Continue,,,,,,,,,
EventTimer2.text,,,,,,,,,,
EventTimer2.button1,Continue,,,,,,,,,
EventTimer22ANoManiac.text,<b>Clock Strikes 11</b>\n\n<i>The clock disturbs the uneasy silience.</i>,,,,,,,,,
EventTimer22ANoManiac.button1,Continue,,,,,,,,,
