.,English
EventRemoveTilesAndTokens.text,"<b>Transition to Encounter 2</b>\n\nRemove all tiles, tokens and monsters.\n\nThe heroes keep all {heart} suffered.\nThe heroes recover all {fatigue}\nThe heroes keep all conditions they had at the end of Encounter 1\nEach hero player flips his Hero sheet faceup.\nThe Heroes keep all search cards; any flipped search cards remain flipped.\nAny knocked out hero may perform a stand up action for free.\n"
EventRemoveTilesAndTokens.button1,Confirm
EventEncounter2AllMaptiles.text,"<b>Setup:</b>\n\nSet aside the following tiles for encounter 2:\n\n9, 11, 15, 23, 26, 27, 1 Entrance, 3 end caps, 4 search tokens, and 2 doors."
EventEncounter2AllMaptiles.button1,Confirm
EventEncounter2Introduction.text,"<i>The goblins were not hard to follow and now you edge cautiously into a cave in the Caedwyn Wood.\nAhead, you hear deep laughter and a croaking voice.\n""Bring me the prisoners. One of them is the Shadow Binder! So speaks Splig, King of All Goblins""\n\nYou'd better hurry and take out Splig, whoever he is, before he figures out which of his prisoners is Frederick!</i>"
EventEncounter2Introduction.button1,Confirm
EventEncounter2PlaceEntrance.text,Place the Entrance as shown. Place the heroes on the Entrance.
EventEncounter2PlaceEntrance.button1,Confirm
EventEncounter2EndHeroTurn.text,Transition complete.\n\nAll KOed heroes should now choose recover. Then all heroes should end their turns without performing any actions.\n\nThen setup of encounter 2 will continue.
EventEncounter2EndHeroTurn.button1,Confirm
EventEncounter2PlaceSetupTiles.text,"Place 15B, 27B and 1 Door as shown."
EventEncounter2PlaceSetupTiles.button1,Confirm
EventPlaceSearchToken15B.text,Place 1 search token on 15B as shown.
EventPlaceSearchToken15B.button1,Confirm
EventSetupEncounter2Complete.text,Encounter setup complete.\n\n<b>Objective</b>: Find Splig before he finds Frederik.
EventSetupEncounter2Complete.button1,Confirm
EventOpenDoorCaveEntrance.text,<i>You open the door to reveal a dark cave. In the shadows something begins to move... </i>
EventOpenDoorCaveEntrance.button1,Confirm
EventOpenDoorCaveEntrance2.text,"A group of Goblins burst through the door, barricading it behind them."
EventOpenDoorCaveEntrance2.button1,Confirm
EventPlaceSearchToken9B.text,Place 1 search token on 9B as shown.
EventPlaceSearchToken9B.button1,Confirm
EventE2Objective2.text,<b>Objective</b>: Find Splig before he finds Frederik.
EventE2Objective2.button1,Confirm
EventOpenDoorCaveExit.text,<i>You open the door and reveal a long hallway. Down the hallway you spot one of the fattest goblins you have ever seen.\nThis might be the goblin you are looking for.</i>
EventOpenDoorCaveExit.button1,Confirm
EventOpenDoorCaveExit2.text,<i>Behind the door lies a long hallway.</i>
EventOpenDoorCaveExit2.button1,Confirm
EventPlaceSearchToken26B.text,Place 1 search token on 26B as shown.
EventPlaceSearchToken26B.button1,Confirm
EventPlaceSearchToken11B.text,Place 1 search token on 11B as shown.
EventPlaceSearchToken11B.button1,Confirm
EventInitializePrisoners4.text,Around a corner in the north you hear the distinct voices of at least three persons. They seem to be imprisoned but safe for the moment.
EventInitializePrisoners4.button1,Confirm
EventInitializePrisoners3.text,Around a corner in the north you hear the distinct voices of at least two persons. They seem to be imprisoned but safe for the moment.
EventInitializePrisoners3.button1,Confirm
EventInitializePrisoners2.text,Around a corner in the north you hear the voice of one person. He seems to be imprisoned but safe for the moment.
EventInitializePrisoners2.button1,Confirm
EventFlavorPrisoners4.text,"<i>Before you lies an old but nonetheless terrifying torture chamber. Admist a group of goblins you spot a man, who is knocked out and taken by the fatest goblin you have ever seen.\n\n""Impossible! How could you have found me that quickly. Oh how I hate you pesky heroes! I have to this one then, perhaps it is the right one.</i>"
EventFlavorPrisoners4.button1,Confirm
EventFlavorPrisoners3.text,"<i>Before you lies an old but nonetheless terrifying torture chamber. Admist a group of goblins you spot a man, who is knocked out and taken by the fatest goblin you have ever seen.\n\n""What? Who are you? I'm not finished! No more time, this one has to do... Perhaps he is the one we are looking for.</i>"
EventFlavorPrisoners3.button1,Confirm
EventFlavorPrisoners2.text,"<i>Before you lies an old but nonetheless terrifying torture chamber. Admist a group of goblins you spot a man, who is knocked out and taken by the fatest goblin you have ever seen.\n\n""Why is there an interruption? I was almost done with these dumb humans. Well I guess this one is the one we are looking for...</i>"
EventFlavorPrisoners2.button1,Confirm
EventFlavorPrisoners1.text,"<i>Before you lies an old but nonetheless terrifying torture chamber. Admist a group of goblins you spot a man, who is knocked out and taken by the fatest goblin you have ever seen.\n\n""Who is there? Well, whoever it is, you are too late to stop me. I found who I was looking for. Now drop your weapons and get out of my way.</i>"
EventFlavorPrisoners1.button1,Confirm
EventFlavorPrisoners0.text,"<i>Before you lies an old but nonetheless terrifying torture chamber. You spot a group of goblins and one of them, the fatest goblin you have ever seen, has taken a man over his shoulder.\n\n""What are you doing here? Doesn't matter, you are too late anyway. I found who I was looking for. Now drop your weapons and get out of my way.</i>"
EventFlavorPrisoners0.button1,Confirm
EventE2Objective3.text,<b>Objective</b>: Defeat Splig before he can escape with the prisoner.
EventE2Objective3.button1,Confirm
EventSpligEscaped.text,"Splig is uncatchable, but he turns around once more..."
EventSpligEscaped.button1,Confirm
EventFrederikFoundRandom.text,"The man on his shoulder looks you in the eye. ""Heroes, I'm Frederik. Tell me brother I will be okay."
EventFrederikFoundRandom.button1,Confirm
EventFrederikNotFoundRandom.text,"The man on his shoulder looks you in the eye. ""I'm not Frederik you monstrosity! He still sits in the cell!"
EventFrederikNotFoundRandom.button1,Confirm
EventWon.text,"<i>The self-styled ""king"" hurls his prisoner to the ground. ""Have him, then!"" he bellows. ""But you shall never defeat Splig, King of All Goblins!"" Then, putting on a surprising turn of speed for a goblin of such impressive girth, Splig rushes out the door. A big man with a scarred face and white in his hair steps forward to address you. ""Thank you, heroes. Reminds me of meself at younger age. Take me to the Barons... seems I've still got work to do.""</i>\n\nYou win!"
EventWon.button1,Confirm
EventLose.text,"<i>Once more, the pathetic minions of the Barons of Daqan are thwarted by the King of All Goblins!""\nThe goblin pauses to do a victory dance, his fatty bulk wobbling.\nThen, as he sees you approaching, the goblin claps his stolen helm to his head and scampers away.</i>\n\nYou lose!"
EventLose.button1,Confirm
EventLoseNoMorale.text,"<i>Once more, the pathetic minions of the Barons of Daqan are thwarted by the King of All Goblins!""\nThe goblin pauses to do a victory dance, his fatty bulk wobbling.\nThen, as he sees you approaching, the goblin claps his stolen helm to his head and scampers away.</i>\n\nYou lose!"
EventLoseNoMorale.button1,Confirm
EventEndCampaignPhaseLostTheShadowVault.text,"<b>Defeat</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during the quest, each hero recieves {var:RewardGold} additional Gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers must choose ""The Shadow Vault"" as the interlude quest."
EventEndCampaignPhaseLostTheShadowVault.button1,Close Quest
EventEndCampaignPhaseLostTheOverlordRevealed.text,"<b>Defeat</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during the quest, each hero recieves {var:RewardGold} additional Gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers must choose ""The Overlord Revealed"" as the interlude quest."
EventEndCampaignPhaseLostTheOverlordRevealed.button1,Close Quest
EventEndCampaignPhaseLostAct1Quest.text,"<b>Defeat</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during the quest, each hero recieves {var:RewardGold} additional Gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers may choose any unplayed Act I quest to be played next."
EventEndCampaignPhaseLostAct1Quest.button1,Close Quest
EventEndCampaignPhaseWonTheShadowVault.text,"<b>Victory</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during this quest, each hero recieves {var:RewardGold} additional gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers must choose ""The Shadow Vault"" as the interlude quest."
EventEndCampaignPhaseWonTheShadowVault.button1,Close Quest
EventEndCampaignPhaseWonTheOverlordRevealed.text,"<b>Victory</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during this quest, each hero recieves {var:RewardGold} additional gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers must choose ""The Overlord Revealed"" as the interlude quest."
EventEndCampaignPhaseWonTheOverlordRevealed.button1,Close Quest
EventEndCampaignPhaseWonAct1Quest.text,"<b>Victory</b>\n\n<b>Rewards:</b>\n\nDraw {var:RewardShopcards} cards from the current Shop Item deck. You may draw {var:PrisonersSaved} additonal cards for the prisoners you saved. Each hero recieves 1 XP.\nIn addition to the {var:FoundGold} Gold aquired during this quest, each hero recieves {var:RewardGold} additional gold. Note that the heroes spent {var:GoldSpent} gold during travel events.\n\n<b>Campaign Phase:</b>\n\nHeroes may spend XP and purchase available Shop Item cards.\n\nPlayers may choose any unplayed Act I quest to be played next."
EventEndCampaignPhaseWonAct1Quest.button1,Close Quest
EventPreviousQuestsOverview.text,<b>Previous Events</b>\n\nThe players now need to specify the outcome of previously played quests.
EventPreviousQuestsOverview.button1,Confirm
EventPreviousQuestCastleDaerion.text,"Did you play the quest ""Castle Daerion"" before?\n\nIf yes, did you win or lose?"
EventPreviousQuestCastleDaerion.button1,Not played
EventPreviousQuestCastleDaerion.button2,Played and won
EventPreviousQuestCastleDaerion.button3,Played and lost
EventPreviousQuestTheCardinalsPlight.text,"Did you play the quest ""The Cardinal's Plight"" before?\n\nIf yes, did you win or lose?"
EventPreviousQuestTheCardinalsPlight.button1,Not played
EventPreviousQuestTheCardinalsPlight.button2,Played and won
EventPreviousQuestTheCardinalsPlight.button3,Played and lost
EventPreviousQuestTheMasqueradeBall.text,"Did you play the quest ""The Masquerade Ball"" before?\n\nIf yes, did you win or lose?"
EventPreviousQuestTheMasqueradeBall.button1,Not played
EventPreviousQuestTheMasqueradeBall.button2,Played and won
EventPreviousQuestTheMasqueradeBall.button3,Played and lost
EventPreviousQuestDeathOnTheWing.text,"Did you play the quest ""Death on the Wing"" before?\n\nIf yes, did you win or lose?"
EventPreviousQuestDeathOnTheWing.button1,Not played
EventPreviousQuestDeathOnTheWing.button2,Played and won
EventPreviousQuestDeathOnTheWing.button3,Played and lost
EventTravelStart.text,<b>Travel Phase</b>\n\nThe heroes can now choose their travel encounters.
EventTravelStart.button1,Confirm
EventTravelEnd.text,<b>Travel Phase</b>\n\nYou have reached your destination.
EventTravelEnd.button1,Confirm
EventTravelEventExhaust.text,<b>Travel Phase</b>\n\nYou have exhausted all travel events.
EventTravelEventExhaust.button1,Confirm
EventTravelChoice.text,<b>Travel Step</b>\n\nPlease choose the type of your next travel step.
EventTravelChoice.button1,Road
EventTravelChoice.button2,Plains
EventTravelChoice.button3,Forest
EventTravelChoice.button4,Water
EventTravelChoice.button5,Mountains
EventTravelChoice.button6,Destination reached
EventTravelEventRoadNothing.text,<b>Road - Nothing happens</b>\n\n<i>You travel along the road.</i>\n\nNo Effect.
EventTravelEventRoadNothing.button1,Confirm
EventTravelEventPlainsNothing.text,<b>Plains - Nothing happens</b>\n\n<i>You travel through open plains.</i>\n\nNo Effect.
EventTravelEventPlainsNothing.button1,Confirm
EventTravelEventForestNothing.text,<b>Forest - Nothing happens</b>\n\n<i>You travel through a thick forest.</i>\n\nNo Effect.
EventTravelEventForestNothing.button1,Confirm
EventTravelEventWaterNothing.text,<b>Water - Nothing happens</b>\n\n<i>You travel along a river.</i>\n\nNo Effect.
EventTravelEventWaterNothing.button1,Confirm
EventTravelEventMountainsNothing.text,<b>Mountains - Nothing happens</b>\n\n<i>You travel through the mountains.</i>\n\nNo Effect.
EventTravelEventMountainsNothing.button1,Confirm
EventTravelEventRoad2.text,<b>Road - Traveling Merchant:</b>\n\n<i>You come across a traveling merchant.</i>\n\nEach hero tests {knowledge} and draws 1 Search card if he passes.
EventTravelEventRoad2.button1,Confirm
EventTravelEventRoad6.text,<b>Road - Hidden Path:</b>\n\n<i>You find a hidden path and make excellent time!</i>.\n\nSkip the next Travel event icon in this travel phase.
EventTravelEventRoad6.button1,Confirm
EventTravelEventRoad7.text,<b>Road - Traveling Sage:</b>\n\n<i>A traveling sage gives you access to his library.</i>\n\nHero players choose one hero to test {knowledge}. Did he pass?
EventTravelEventRoad7.button1,No
EventTravelEventRoad7.button2,Yes
EventTravelEventRoad7A.text,<b>Road - Traveling Sage:</b>\n\n<i>Unfortunately you do learn nothing of interest from the sage's library.</i>\n\nNo effect.
EventTravelEventRoad7A.button1,Confirm
EventTravelEventRoad7B.text,<b>Road - Traveling Sage:</b>\n\n<i>In the Sage's books you learn something about the possible plans of the overlord.</i>\n\nYou will be able to avoid some of the Overlord's reinforcements.
EventTravelEventRoad7B.button1,Confirm
EventTravelEventRoad9.text,<b>Road - The Overlord's Spies:</b>\n\n<i>The overlord's spies are everywhere.</i>
EventTravelEventRoad9.button1,Confirm
EventTravelEventRoad9H2.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H2.button1,None
EventTravelEventRoad9H2.button2,One
EventTravelEventRoad9H2.button3,Two
EventTravelEventRoad9H3.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H3.button1,None
EventTravelEventRoad9H3.button2,One
EventTravelEventRoad9H3.button3,Two
EventTravelEventRoad9H3.button4,Three
EventTravelEventRoad9H4.text,<b>Road - The Overlord's Spies:</b>\n\nEach hero tests {knowledge}.\n\nHow many heroes failed the test?
EventTravelEventRoad9H4.button1,None
EventTravelEventRoad9H4.button2,One
EventTravelEventRoad9H4.button3,Two
EventTravelEventRoad9H4.button4,Three
EventTravelEventRoad9H4.button5,Four
EventTravelEventRoad9A.text,<b>Road - The Overlord's Spies:</b>\n\nYou manage to avoid the Overlord's spies.\n\nNo effect.
EventTravelEventRoad9A.button1,Confirm
EventTravelEventRoad9B.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9B.button1,Confirm
EventTravelEventRoad9C.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9C.button1,Confirm
EventTravelEventRoad9D.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9D.button1,Confirm
EventTravelEventRoad9E.text,<b>Road - The Overlord's Spies:</b>\n\nThe overlord learns valuable informations about your whereabouts.\n\nThe Overlord's reinforcements will arrive sooner.
EventTravelEventRoad9E.button1,Confirm
EventTravelEventRoad11.text,"<b>Road - Wrong turn:</b>\n\n<i>You think you took a wrong turn...</i>\n\nEach hero tests {knowledge} and suffers 1 {fatigue} if he fails. If all heroes pass, skip the next Travel event icon in this travel phase."
EventTravelEventRoad11.button1,Confirm
EventTravelEventRoad12.text,"<b>Road - Mysterious Herald:</b>\n\n<i>As you make your way towards your destination, you are approached by a mysterious herald. ""Tread carefully, heroes,"" the cloaked strangers says. ""There are minions of evil everywhere! A terrible plot is afoot, just nearby, and it must be stopped! Come!""</i>\n\nYou will be able to avoid some of the Overlord's reinforcements."
EventTravelEventRoad12.button1,Confirm
EventTravelEventRoad15.text,<b>Road - Discarded Scroll:</b>\n\n<i>You come across a discarded scroll.</i>\n\nThe heroes choose a mage. He places one of his hero tokens besides the map. He may discard this after rolling defense dice to add a number of {shield} to his result equal to his {knowledge}.
EventTravelEventRoad15.button1,Confirm
EventTravelEventRoad17.text,<b>Road - Lost Messenger:</b>\n\n<i>A lost messenger is selling secrets.</i>\n\nThe heroes may choose to spend 25 gold (if available) to learn some of the Overlord's secrets.
EventTravelEventRoad17.button1,No
EventTravelEventRoad17.button2,Yes
EventTravelEventRoad17A.text,<b>Road - Lost Messenger:</b>\n\n<i>You do not respond the shady offer.</i>\n\nNo Effect.
EventTravelEventRoad17A.button1,Confirm
EventTravelEventRoad17B.text,"<b>Road - Lost Messenger:</b>\n\n<i>You learn about some of the Overlord's plans, for a price.</i>\n\nYou will be able to avoid some of the Overlord's reinforcements."
EventTravelEventRoad17B.button1,Confirm
EventTravelEventRoad20.text,<b>Road - Tall Tree:</b>\n\n<i>A tall tree offers a scouting vantage.</i>\n\nHero players choose 1 hero to suffer 1 {fatigue} and test {awareness}. Did he pass?
EventTravelEventRoad20.button1,No
EventTravelEventRoad20.button2,Yes
EventTravelEventRoad20A.text,<b>Road - Tall Tree:</b>\n\n<i>You do not manage to reach the treetop.</i>\n\nNo effect.
EventTravelEventRoad20A.button1,Confirm
EventTravelEventRoad20B.text,<b>Road - Tall Tree:</b>\n\n<i>You get a clear view from the top of the tree.</i>\n\nYou will be able to avoid some of the Overlord's reinforcements.
EventTravelEventRoad20B.button1,Confirm
EventTravelEventRoad22.text,"<b>Road - Shady Traveler:</b>\n\n<i>A shady traveler offers you directions, for a price.</i>\n\nThe heroes may choose to spend 25 gold (if available). Do you want to pay the fee?"
EventTravelEventRoad22.button1,No
EventTravelEventRoad22.button2,Yes
EventTravelEventRoad22A.text,<b>Road - Shady Traveler:</b>\n\n<i>You do not respond the shady offer.</i>\n\nNo effect.
EventTravelEventRoad22A.button1,Confirm
EventTravelEventRoad22B.text,<b>Road - Shady Traveler:</b>\n\n<i>You pay the usurer and he indeed provides you with a shortcut to your destination.</i>\n\nSkip the next Travel event icon in this travel phase.
EventTravelEventRoad22B.button1,Confirm
EventTravelEventRoad24.text,"<b>Road - Lone Knight:</b>\n\n<i>A lone knight in shining silver armor blocks your path, bellowing a challenge to your strongest warrior.</i>\n\nDraw cards from the current Act's Shop Item Deck until a Melee weapon is revealed. One hero may choose to perform an attack with a Melee weapon against a gray defense die. This hero is also targeted by an attack from the drawn Shop Item, using his normal defense pool. If the hero deals more {heart} than he suffers, he may take the drawn Shop Item. If he suffers more {heart} than he deals, discard the drawn Shop Item."
EventTravelEventRoad24.button1,Confirm
EventTravelEventRoad26.text,<b>Road - Tree Inscribed With Inspiring Words:</b>\n\n<i>A large tree in your path is inscribed with inspiring words.</i>\n\nEach hero applies +1 to each of his attributes until the end of this Travel phase.
EventTravelEventRoad26.button1,Confirm
EventTravelEventRoad27.text,<b>Road - TURN BACK:</b>\n\n<i>TURN BACK is scrawled in blood on an ancient road marker.</i>\n\nEach hero tests {will}. Did 2 or more heroes fail?
EventTravelEventRoad27.button1,No
EventTravelEventRoad27.button2,Yes
EventTravelEventRoad27A.text,"<b>Road - TURN BACK:</b>\n\n<i>You ignore the words, as they are clearly there to hinder you.</i>\n\nNo Effect."
EventTravelEventRoad27A.button1,Confirm
EventTravelEventRoad27B.text,"<b>Road - TURN BACK:</b>\n\n<i>You heed the warning, but this means you need to take a detour.</i>\n\nResolve another travel event of your choice."
EventTravelEventRoad27B.button1,Confirm
EventTravelEventRoad28MoB.text,"<b>Road - Ancient Graveyard:</b>\n\n<i>You stumble across an ancient graveyard. The statue of a hooded figure towers over the crumbling tombstones. In the statue's hands, a black crystal emanates a foreboding glow.</i>\n\nDo the heroes want to harvest the power of the crystal?"
EventTravelEventRoad28MoB.button1,No
EventTravelEventRoad28MoB.button2,Yes
EventTravelEventRoad28MoBA.text,<b>Road - Ancient Graveyard:</b>\n\n<i>You do not risk to touch the dark crystal.</i>\n\nNo effect.
EventTravelEventRoad28MoBA.button1,Confirm
EventTravelEventRoad28MoBB.text,"<b>Road - Ancient Graveyard:</b>\n\n<i>You touch the dark crystal...</i>\n\nEach hero tests {knowledge}. Each hero who fails is Terrified or Diseased. If all heroes pass, place a hero token from the hero with the highest {knowledge} besides the map. During his turn, that hero may discard this token. If he does, each hero may discard 1 condition."
EventTravelEventRoad28MoBB.button1,Confirm
EventTravelEventRoad29MoB.text,"<b>Road - The Remains of a Wagon:</b>\n\n<i>You find the remains of a wagon. A chest with a bizarre lock sits unopened among the wreckage. A voice whispers in your mind, ""By ogre and wraith, unleash that which waits.""</i>\n\nDo the heroes want to open the chest?"
EventTravelEventRoad29MoB.button1,No
EventTravelEventRoad29MoB.button2,Yes
EventTravelEventRoad29MoBA.text,<b>Road - The Remains of a Wagon:</b>\n\n<i>You leave the chest unopened.</i>\n\nNo effect.
