.,Spanish
quest.description,"La familia Gordon se ha puesto en contacto contigo para que encuentras a su hija, Felicia. Lleva unos días desaparecida y aunque la policía cree que ha huido con su novio, sus padres no están tan seguros. La última pista es una cita en su agenda personal: <i>En la pajarería a las 22.30h</i>."
quest.authors,Miss Fernwood & EtiCarasoft
EventDentroSotano2.text,"El olor a estiércol te provoca nauseas y la humedad impregna la estancia. No hay ninguna ventana que permita airear el espacio, solo las puertas permiten la ventilación del mismo. El suelo de barro parece recién removido en algunas partes. \n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados."
EventDentroSotano2.button1,Continuar
EventMostrarPuertaOculta1.text,"Este evento solo afecta a los investigadores en el final del pasillo. \n\nOyes una risita. Cuando te das cuenta que proviene del retrato al fondo del pasillo, la imagen de la niña te sonríe y el cuadro empieza a desvanecerse. Donde estaba el retrato, aparece una puerta tan real que incluso puedes oler la madera.\n\nSufres 3 de Horror boca abajo anulados por ({will}-1)."
EventMostrarPuertaOculta1.button1,Continuar
EventMostrarDespacho1.text,La luz del escritorio ilumina el penumbroso pero acogedor despacho. Descarta esta ficha de exploración y coloca el módulo de <b>Despacho</b> {MAD20}.
EventMostrarDespacho1.button1,Continuar
EventDentroDespacho.text,El escritorio del centro de la sala tiene dos cajones a un lado. Al fondo una puerta de color rojizo que parece fabricada con algún tipo de madera tropical. \n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados. Tienes la oportunidad de moverte un espacio a la zona explorada.
EventDentroDespacho.button1,Continuar
EventPuertaOculta12.text,Descarta la ficha de pared con cuadro y coloca una ficha de exploración en el lugar señalado.
EventPuertaOculta12.button1,Continuar
EventFinalRound4.text,"<b> {rnd:hero} </b> ve como la figura translucida de un niño se le aparece delante, ladea la cabeza y con una vocecita estridente dice: <i>\n- 4.- </i>\n\n<b> {rnd:hero} </b> sufre 1 de Horror anulado por ({will}-1)."
EventFinalRound4.button1,Continuar
EventFinalRound3.text,"<b> {rnd:hero} </b> ve como la figura translucida de un niño se le aparece delante, ladea la cabeza y con una vocecita estridente dice: <i>\n- 3.- </i>\n\n<b> {rnd:hero} </b> sufre 1 de Horror anulado por ({will}-1)."
EventFinalRound3.button1,Continuar
EventFinalRound2.text,"<b> {rnd:hero} </b> ve como la figura translucida de un niño se le aparece delante, ladea la cabeza y con una vocecita estridente dice: <i>\n- 2.- </i>\n\n<b> {rnd:hero} </b> sufre 1 de Horror anulado por ({will}-1)."
EventFinalRound2.button1,Continuar
EventFinalRounEnd.text,"<b> {rnd:hero} </b> ve como la figura translucida de un niño se le aparece delante, ladea la cabeza y con una vocecita estridente dice: <i>\n- 1.- </i>\n\n<b> {rnd:hero} </b> sufre 1 de Horror anulado por ({will}-2)."
EventFinalRounEnd.button1,Continuar
EventSotanoCaida2.text,"Te preguntas cuanto tiempo llevas cayendo y si esta madriguera tiene fondo. Al pensarlo, la velocidad de caída aumenta rápidamente hasta que aterrizas en un duro y frío fondo."
EventSotanoCaida2.button1,Continuar
EventHeridoCaidaSotano2.text,"Coloca al investigador que estaba cayendo por la trampilla del Campanario en el espacio del Sótano. Este investigador descarta todas sus cartas de Daño boca abajo y coge una carta de Herido. Queda <b>HERIDO</b>. A causa del golpe contra el suelo adquiere el estado <b>Aturdido</b>. \n\nSi el investigador ya estaba herido, este es retirado de la partida. El resto de los investigadores disponen de un solo turno adicional para completar la investigación. "
EventHeridoCaidaSotano2.button1,Continuar
EventLlegarSotanoPasadizo.text,Doblas una esquina y aparece una tenue luz amarilla al final del túnel. Te diriges hacia ella para llegar a lo que parece un sótano. 
EventLlegarSotanoPasadizo.button1,Continuar
EventEstas1Pieza2.text,"Coloca al investigador perdido en el pasadizo secreto detrás del armario, en el espacio de el Sótano."
EventEstas1Pieza2.button1,Continuar
EventEstas1Pieza.text,"Coloca al investigador perdido en el pasadizo secreto detrás del armario, en el espacio de el Sótano."
EventEstas1Pieza.button1,Continuar
EventDentroSotano3.text,"El olor a estiércol te provoca nauseas y la humedad impregna la estancia. No hay ninguna ventana que permita airear el espacio, solo las puertas permiten la ventilación del mismo. El suelo de barro parece recién removido en algunas partes. \n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados."
EventDentroSotano3.button1,Continuar
EventDentroSotano1.text,"El olor a estiércol te provoca nauseas y la humedad impregna la estancia. No hay ninguna ventana que permita airear el espacio, solo las puertas permiten la ventilación del mismo. El suelo de barro parece recién removido en algunas partes. \n\nColoca las fichas de Exploración y Búsqueda en los lugares señalados."
EventDentroSotano1.button1,Continuar
EventBusquedaHAB11.text,"Miras por el agujero del cerrojo pero no consigues ver nada. Golpeas la puerta con fuerza, pero sigue sin moverse. Ni tan solo cimbrea. De repente te das cuenta de que el tacto de la madera es inusualmente frio y un escalofrió recorre tu espalda, como si te estuvieran observando. Instintivamente te giras y algo llama tu atención. \n\nSufres 1 de Horror boca abajo anulado por ({will}).\nColoca las fichas de Búsqueda en los lugares señalados."
EventBusquedaHAB11.button1,Continuar
EventMythosHard02PACT.text,"Un niño pequeño con una camisa blanca y unos pantalones bombachos sujetados por unos tirantes aparece delante de <b> {rnd:hero} </b>. Se quita la boina y le pregunta con una sonrisa afable: \n <i>- Disculpe, parece cansado... -</i>\n El niño saca del bolsillo del pantalón un frasco de cristal con un líquido amarillo. Se lo ofrece: \n <i> - Con esto se sentirá mucho mejor. Se lo doy si luego juega un rato con nosotros. -</i>"
EventMythosHard02PACT.button1,Aceptar
EventMythosHard02PACT.button2,Ignorar
EventMythosHard03A.text,"Este evento de los mitos afecta a todos los investigadores. \n\nUna siniestra melodía te provoca un punzante dolor de cabeza, las orejas te sangran y te agarras la cabeza con fuerza, crees te va a estallar en cualquier momento. Unas manos se apoyan suavemente en las tuyas, levantas la mirada y una niña te dice: \n <i>-Los espíritus se niegan a escuchar.-</i> \n\nSufres 2 de Daño anulado por ({strength}-2) y 1 de Horror anulado por ({will}-2)."
EventMythosHard03A.button1,Continuar
EventMythosHard03B.text,"<b> {rnd:hero}</b> ve algo que brilla en el suelo. Se agacha para examinarlo y recoge un colgante con una pequeña herradura. Parece que la suerte le acompaña esta noche, pues no ha visto como durante unos segundos, el papel de la pared ha desaparecido dejando a la vista como los muros de la casa están hechos de huesos y vísceras aún latentes y sangrantes. \n\nTodos los investigadores excepto <b> {rnd:hero}</b> sufren 2 de Horror boca abajo anulado por ({influence}-1)."
EventMythosHard03B.button1,Continuar
EventMythosHard03C.text,"Solo el crujir de la madera a cada paso que das, te acompaña esta noche. No hay ningún efecto inmediato."
EventMythosHard03C.button1,Continuar
EventMythosHard04.text,"Este evento de los mitos afecta a todos los investigadores que no tengan una ficha violeta sobre su personaje. \n\nTus pertenencias te susurran, advirtiéndote de una grave amenaza. Sufres 1 de Horror boca abajo por cada objeto que tengas."
EventMythosHard04.button1,Continuar
EventMythosHard05A.text,"Este evento de los mitos afecta al investigador que tenga una ficha violeta sobre su personaje. \n\nEl niño con la camisa blanca y los pantalones bombachos aparece de nuevo ante ti, flotando a un palmo del suelo: \n<i>- Hola soñador. Hemos venido a jugar. Voy a llamar al resto.- </i>\nEl niño hace un chasquido con los dedos y unos gritos agónicos recorren toda la casa. Aparecen ante ti las figuras de un grupo de niños y niñas con los ojos en blanco, que susurran tu nombre. Aunque ahora son niños, reconoces a algunos de ellos como tus compañeros. \n\nTodos los investigadores excepto tú, han sido eliminados."
EventMythosHard05A.button1,Continuar
EventMythosHard05B.text,"<b> {rnd:hero} </b>, se paraliza al ver como una masa negra revolotea a sus pies. Rápidamente aumenta su tamaño y unos apéndices, que se convierten en brazos, se apoyan en el suelo para ponerse de pie. Una figura humana, alta y vestida con un traje elegante, estira el brazo y ofrece un whisky a <b> {rnd:hero} </b>: \n<i>- ¿Un última copa? –</i>. \nEl señor Ford despliega unas majestuosas alas negras a su espalda y le abraza suavemente con ellas mientras <b> {rnd:hero} </b> da un largo trago. \n\n<b> {rnd:hero} </b> queda eliminado y los investigadores disponen de un solo turno para completar la investigación."
EventMythosHard05B.button1,Continuar
EventMythosHard01.text,"Este evento de los mitos afecta a todos los investigadores. \n\nEmpiezas a estornudar, se te ha metido algo en la nariz y los ojos te lloran. Parece alergia, pero no recuerdas tener alergia a nada. Una sombra cruza por las paredes, luego por el techo, luego por el suelo. Intentas seguirlo con la mirada, pero es demasiado rápida ({observation}-1:2); \nSi superas la tirada, te das cuenta que se trata de la sombra de un gato y aunque no tiene relieve, puedes ver sus luminosos ojos azules clavados en ti. Sufres 2 de Horror y ganas 1 Pista {clue}. \nSi fallas no consigues esquivar la sombra y te ataca. Sufres 2 de Daño."
EventMythosHard01.button1,Continuar
EventMythosSotano01.text,"Este evento de los mitos afecta a todos los investigadores en el Sótano. \n\nEl suelo del sótano empieza a burbujear y una pátina brillante lo impregna todo. Como si fuesen arenas movedizas, el suelo empieza a tragarse todo lo que se apoya en él. Te hundes en el barro y crees que vas a desaparecer, pero consigues agarrarte a la barandilla de las escaleras. Te despiertas sentado en las escaleras del sótano con la cara manchada de barro y estiércol y con un hilo de baba aún cayendo del lateral de tu boca. \n\nColoca al investigador en las escaleras y sufres 1 de Horror y 2 de Daño."
EventMythosSotano01.button1,Continuar
TokenAtajo.button1,Botón1
EventCaidaTrampillaCampanario.text,"Aunque sigues cayendo, parece que lo haces a cámara lenta, como flotando pero siempre hacia abajo. \n\nRetira al investigador del tablero. \nUn investigador fuera del tablero de juego no puede sufrir Daño, Horror ni ser afectado por eventos durante la fase de mitos."
EventCaidaTrampillaCampanario.button1,Continuar
EventMostrarSotanoCaida.text,"Te preguntas cuanto tiempo llevas cayendo y si esta madriguera tiene fondo. Al pensarlo, la velocidad de caída aumenta rápidamente hasta que aterrizas en un duro y frío suelo.\n\nColoca el módulo de <b>Sótano</b> {MAD20}, la ficha de puerta y la ficha de pasadizo secreto en los lugares señalados."
EventMostrarSotanoCaida.button1,Continuar
EventHeridoCaidaSotano.text,"Coloca al investigador que estaba cayendo por la trampilla del Campanario en el espacio del Sótano. Este investigador descarta todas sus cartas de Daño boca abajo y coge una carta de Herido. Queda <b>HERIDO</b>. A causa del golpe contra el suelo adquiere el estado <b>Aturdido</b>. \n\nSi el investigador ya estaba herido, este es retirado de la partida. El resto de los investigadores disponen de un solo turno adicional para completar la investigación."
EventHeridoCaidaSotano.button1,Continuar
EventAccionarAdelante2.text,"Antes de terminar el primer tañido de la campana, el suelo desaparece bajo tus pies y caes por un oscuro túnel."
EventAccionarAdelante2.button1,Continuar
EventRESBusqueda2Sotano.text,Apartas algunos trastos que se deshacen entre tus dedos hasta encontrar una vieja herramienta manchada de sangre. \n\nObtén el objeto común <b>Almádena</b>. Descarta esta ficha de Búsqueda.
EventRESBusqueda2Sotano.button1,Continuar
TokenLibroBiblioteca.text,"Un libro decorosamente abierto por la página 3, descansa en una de las butacas."
TokenLibroBiblioteca.button1,{action} Coger libro
EventResBusquedaLibroBiblio.text,"En la portada pone: <i>Las metamorfosis: Libro III, de  Ovidio</i>. Te dispones a leer la página abierta, pero te das cuenta que el libro tiene una letra demasiado pequeña. En el  reposabrazos llama tu atención un objeto, que alguien ha debido usar para leerlo. \n\nObtén el objeto común <b>Lupa</b> y 1 Pista {clue}. Descarta esta ficha de Búsqueda."
EventResBusquedaLibroBiblio.button1,Continuar
EventAmariosCocina.text,"Al mirar dentro del armario, encuentras un nido de pájaro lleno de plumas de colores y restos de los cristales rotos. Con cuidado de no cortarte sacas del nido un huevo de color negro. En seguida te das cuenta que no se trata de un huevo, sino de una piedra pulida. \n\n Obtén el objeto común <b>Talismán Protector</b>. Descarta esta ficha de Búsqueda."
EventAmariosCocina.button1,Continuar
EventBuscarCajasCampanario.text,Retiras la gruesa capa de polvo para poder abrir cada una de la cajas. Pierdes la noción del tiempo al inspeccionar uno por uno los libros que encuentras en su interior ({lore}).
EventBuscarCajasCampanario.button1,Continuar
EventBuscarCajasCampanario.button2,Oculto
EventBIBLIA.text,"Después de lo que parece horas revisando cajas, abres una llena de plumas de colores. Entre las plumas encuentras una cajita con forma de sarcófago. \n\nObtén el objeto único <b>Caja Enigmática</b> y 1 Pista {clue}. \nSi has conseguido al menos 3 éxitos, obtén el objeto común <b>Biblia del Rey Jaime</b>. Descarta esta ficha de Búsqueda."
EventBIBLIA.button1,Continuar
EventSOLRebuscarMuebleComedor.text,"Después de un rato apartando botellas vacías, descubres un doble fondo con la única botella llena del armario. Al sacarla te das cuenta que tiene algo enrollado en el cuello. \n\n Obtén el objeto común <b>Agua Bendita</b>  y el objeto único <b>Emblema de Sectario</b>. Ganas 1 Pista {clue}. Descarta esta ficha de Búsqueda."
EventSOLRebuscarMuebleComedor.button1,Continuar
EventResMarcadorFake3.text,Coges el archivador con mucho cuidado. Parece que en cualquier momento va a desvanecerse entre tus dedos. Lo abres y un montón de plumas de colores caen al suelo y entre ellas un papiro enrollado y lacado. \n\nObtén el objeto único <b>Viejo diario</b> y adquieres el estado <b>Desconcertado</b>. Descarta esta ficha de Búsqueda.
EventResMarcadorFake3.button1,Continuar
EventBuscarNevera.text,"Toda la comida se ha estropeado y unos enormes gusanos se abren paso entre los restos. Abres el pequeño congelador y sacas una botella del fondo que te resulta familiar. \n\nObtén el objeto común <b>Whisky</b>, adquieres el estado <b>Desconcertado</b>. Descarta esta ficha de Búsqueda."
EventBuscarNevera.button1,Continuar
EventBuscarMesaDespacho.text,"Entre los pétalos de flores de colores que llenan el cajón, brilla un la esfera de un viejo reloj y un manojo de llaves oxidadas. \n\nObtén el objeto común <b>Reloj de bolsillo</b> y el objeto único <b>Llaves antiguas</b>, adquieres el estado <b>Desconcertado</b>. Descarta esta ficha de Búsqueda."
EventBuscarMesaDespacho.button1,Continuar
EventLibroBiblio1.text,"Sacas el libro y en la portada puedes leer: <i> Las metamorfosis: Libro XI, de Ovidio </i>. Al retirar el libro descubres un panel metálico con 4 botones retro iluminados. Están todos apagados. \n\nGanas 1 Pista {clue}. Descarta esta ficha de Búsqueda y coloca la ficha de Interacción en el lugar señalado."
EventLibroBiblio1.button1,Continuar
EventBuscarSotano1RES.text,Te pones de rodillas para escarbar cómodamente en el barro hasta que consigues desenterrar una enorme caja metálica. La abres con facilidad y dentro hay varios objetos que pueden ser de utilidad. \n\nObtén el objeto común <b>Vendas</b> y el objeto común <b>Pitillera de la Suerte</b>. Descarta esta ficha de Búsqueda.
EventBuscarSotano1RES.button1,Continuar
EventMythosFlavor03.text,"<b>{rnd:hero}</b>, no puede apartar la mirada de los ojos verdes del cuadro que tiene enfrente. Su sonrisa le llama y no puede evitar acercarse. \n<b>{rnd:hero}</b> puede decidir seguir mirando el cuadro y obtener el estado <b>Retenido</b> o bien, luchar contra su atracción y arrancar el retrato del marco; Si lo hace obtiene el objeto común <b>Manuscrito Arcano</b> y sufre 2 de Horror boca abajo."
EventMythosFlavor03.button1,Continuar
EventMeterManoDebajoCama.text,"Te agachas y tientas a ciegas debajo de la cama hasta que encuentras algo rígido y frío. Cuando te dispones a sacarlo a la luz, notas que te empieza a arrastrar con fuerza hacia la oscuridad. Sin soltarlo y ayudándote de todo el peso de tu cuerpo, forcejeas unos instantes hasta que consigues salir de debajo de la cama. \n\nSufres 2 de Daño boca abajo anulado por ({agility}). Ganas el Objeto común <b>Palanca</b>. Luego descarta esta ficha de Búsqueda."
EventMeterManoDebajoCama.button1,Continuar
EventResolucionTirarAlfHAB1.text,"Aún con el sudor en la frente por el esfuerzo, vislumbras un brillo metálico dentro del agujero que escondía la tablilla. Metes la mano para tantear el interior y tus dedos se cierran en torno a una pequeña llave metálica. \n\nGanas el objeto único <b>Llave de Plata</b> y una Pista {clue}. Luego descarta esta ficha de Búsqueda."
EventResolucionTirarAlfHAB1.button1,Continuar
EventResolucionPuzzle1.text,"Abres el cajón y registras lo que hay dentro. Encuentras una nota en la que se puede leer: <i>1,2,3,4... 3 maneras de morir 1 de salir.</i> Debajo de la nota, una pequeña llave.\n\nSufres 1 de Horror y consigues el objeto único <b>Prueba circunstancial</b>, el objeto único <b>Llave de latón</b> y una Pista {clue}. Descarta esta ficha de Búsqueda."
EventResolucionPuzzle1.button1,Continuar
EventRESObjetosEsquina.text,Examinas las plumas y algo brillante llama tu atención. Las apartas y con cuidado de no cortarte coges un cuchillo ornamentado enterrado en ellas. \n\n Obtén el objeto común <b>Daga ritual</b>. Descarta esta ficha de Búsqueda.
EventRESObjetosEsquina.button1,Continuar
TokenPuertaHAB11.text,La puerta está cerrada con llave. Un cerrojo plateado resalta debajo del pomo.
TokenPuertaHAB11.button1,{action} Examinar
TokenPuertaHAB12.text,La puerta está cerrada con llave. Un cerrojo plateado resalta debajo del pomo.
TokenPuertaHAB12.button1,Continuar
TokenDebajoCama.text,Antes te ha parecido ver un destello debajo de la cama.
TokenDebajoCama.button1,{action} Buscar
TokenDebajoAlfombra.text,"El color vivo de la alfombra, no cuadra con el estado polvoriento de la habitación."
TokenDebajoAlfombra.button1,{action} Buscar
TokenPuertaHAB13.text,"El investigador que posea el objeto único <b>llave de plata</b> puede abrir esta puerta. \n\nLa llave encaja a la perfección. Con el sonido del cerrojo al abrirse, te invade la esperanza de encontrar un poco de aire fresco al otro lado."
TokenPuertaHAB13.button1,{action} Abrir
TokenVistazo1.text,El pasillo sigue al doblar la esquina. \n\nUn investigador que este en el espacio del <b>Pasillo 2</b> {MAD20} puede dar un <b>Vistazo.</b>
TokenVistazo1.button1,Vistazo
TokenSalidaFINAL3.text,La mujer ha huido rápidamente hacia el bosque.
TokenSalidaFINAL3.button1,{action} Huir
EventResEntregarObj4.text,"Le muestras la caja enigmática. La gata suspira y te pide que la abras. Dentro solo hay cenizas. \n<i>-Demasiada pequeña para que quepa dentro. Esto no es lo que estoy buscando. Tengo poca paciencia.-</i> \nVuelve a sentarse. \n\n Sufres 1 de Horror anulado por ({will}-1). Ganas 1 Pista {clue}, después coloca la ficha de gato el lugar señalado."
EventResEntregarObj4.button1,Continuar
EventBlessBast.text,"<i>- De acuerdo, pero que se den prisa.-</i> \nLa mujer apoya el dedo índice y corazón en tu frente y estos empiezan a brillar y a ponerse calientes hasta que te quema la frente, aunque no consigues apartarte. \n<i>- Bien, creo que así nos iremos antes.-</i> \nAparta los dedos y te sonríe afablemente. \n \nEl investigador activo sufre 1 de Daño y 1  de Horror y puede descartar una carta de Locura de cualquier otro jugador. Coloca la ficha de personaje en el lugar señalado."
EventBlessBast.button1,Continuar
Event2nFailObjBast.text,"El animal se levanta sobre sus patas traseras. Sigue mirándote fijamente pero ahora su mirada es fría, oscura y distante <i>\n-Puede que lo hagáis mejor la próxima vez. -</i> \nA cada palabra que pronuncia su tamaño aumenta. El pelo deja lugar a la piel y las garras a manos y pies. Ante ti, la esbelta figura de una mujer joven de ojos felinos con unas orejas de gato que sobresalen de su oscura melena. Se vuelve y ves como se aleja mientras desaparece en la oscuridad. \n\n Descarta la ficha de gato y coloca la ficha de interacción en el lugar señalado."
Event2nFailObjBast.button1,Continuar
EventPrefinal1.text,"<i>- Bien, ya es hora de abrir los ojos.-</i> \nLa mujer empieza a andar hacia el bosque. <i>\n-Seguidme.-</i> \n\n Descarta la ficha de personaje y coloca la ficha de interacción en el lugar señalado."
EventPrefinal1.button1,Continuar
EventPrefinal3A.text,"<i>- Sabes que si me mientes estarás encerrando a los demás pajaritos para toda la eternidad… -</i> \nAntes de terminar la frase, oyes una carcajada detrás de ti. La mujer desaparece en el bosque de un brinco. Un hombre, con un rostro que te es familiar, bien vestido y con un baso de whiskey con dos hielos en la mano, aparece detrás de ti. \n\nRetira la ficha de gato y coloca la de personaje en el lugar señalado."
EventPrefinal3A.button1,Continuar
EventPrefinal3B.text,"<i>- Oh… Ya te marchas? La salida es por allí. Sigue al gatito.-</i> Da un largo trago a su copa y con una sonrisa burlona, dice como pensando en voz alta mientras entra en la casa: \n<i>-Bien, parece que tenemos nuevos pajaritos en la tienda...- </i> \n\nRetira del tablero a todos los investigadores que no estén en el espacio exterior del vivero. Han sido eliminados. \n\n Descarta la ficha de personaje y coloca la ficha de interacción en el lugar señalado."
EventPrefinal3B.button1,Continuar
EventMostrarRESET.text,Os despertáis en una pequeña habitación poco iluminada. La luz de la mesita de noche ilumina un bonito jarrón de porcelana lleno de amapolas rojas. Sólo la luz de un viejo escritorio os dejan ver que las paredes están llenas de cuadros de rostros desconocidos que parecen seguiros con la mirada. \n\n Coloca el módulo Dormitorio 1 {MAD20} y una ficha de pared en el lugar señalado. Cada investigador empieza con 1 Pista {clue}.
EventMostrarRESET.button1,Continuar
EventFailTablaSuelta.text,"La tablilla de madera cruje, pero no consigues arrancarla."
EventFailTablaSuelta.button1,Continuar
EventFailPuertaCampanario.text,"Te abalanzas contra la puerta, pero parece que tus esfuerzos no son suficiente para abrirla."
EventFailPuertaCampanario.button1,Continuar
EventFailBuscarCajas.text,"Pasas las horas buscando entre los libros, pero no hallas nada de interés."
EventFailBuscarBar.text,No consigues encontrar nada de interés.
EventFailBuscarBar.button1,Continuar
EventFailFake4.text,"Tiras de la cadena, pero no consigues desenterrarla."
EventFailFake4.button1,Continuar
EventMALTentaculo.text,"Al abrir la pesada puerta, la visión de una gran ciudad en llamas bajo el mar inmoviliza tu mente y tus cuerpo. Un tentáculo verde se enrolla alrededor de tu cuerpo, tira de ti con rapidez y te arrastra hacia la ciudad en llamas. Por un instante, puedes ver como la niña del vestido blanco cierra, sonriendo, la puerta.\n\nEl investigador ha sido eliminado. El resto de los investigadores disponen de un solo turno adicional para completar la investigación."
EventMALTentaculo.button1,Adiós
EventMALTentaculo2.text,"La puerta está entreabierta. Cuando te dispones a volver a abrirla, la niña del vestido blanco la cierra suavemente con una mano y mirándote a los ojos dice:\n<i>-Ya es suficiente, hoy ya ha cenado.- </i>"
EventMALTentaculo2.button1,Continuar
EventSalidaJardin.text,"Atraviesas en umbral de la puerta y el aire fresco llena tus pulmones. Sientes una leve brisa en la cara que trae consigo el sonido de un riachuelo lejano. A tus pies, un sendero empedrado que conduce al bosque de enfrente. Sigues con la mirada el camino y la esbelta figura de un gato blanco sentado delante de ti, te mira fijamente."
EventSalidaJardin.button1,Continuar
EventAzazoth1.text,"Abres la puerta y la agradable melodía de una flauta y unos tambores acompaña un intenso fogonazo de luz que te ciega momentáneamente. Intentas abrir los ojos de nuevo para darte cuenta que la mancha negra que ves en el centro no es un efecto del destello, sino un abismo negro que no para de crecer y proviene del centro de la estrella que estás contemplando. El calor es insoportable y la luz te quema. Empiezan a brotar ampollas en la piel que te queda al descubierto.\n\n Este investigador descarta todas sus cartas de Daño y Horror boca abajo y coge una carta de Herido y de Locura. Queda <b>HERIDO</b> y <b>LOCO</b>.  Ganas 2 Pistas {clue}. \n\nSi el investigador ya estaba herido y/o loco, este es retirado de la partida. El resto de los investigadores disponen de un solo turno adicional para completar la investigación."
EventAzazoth1.button1,Continuar
EventAzazoth2.text,"La melodía deja de sonar de repente. Un latigazo de luz te golpea en el pecho y caes de espaldas contra el suelo. Acto seguido, el pequeño tentáculo de luz cierra la puerta de golpe y el silencio vuelve a reinar en el Sótano.\n\n Sufres 2 de Daño anulados por ({strength}-1) y 1 de Horror. Ganas 1 Pista {clue}. Descarta esta ficha de Exploración."
EventAzazoth2.button1,Continuar
